"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.578586844850576,1.12207834331006,9.49491790075255,9.15125022666735e-06,0.000366761098564681,4.13963185358709,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_RANKL_PATHWAY",0.421971449012326,-0.845381638532343,12.5881000371396,9.94662639310494e-07,0.000198346560614758,6.35928753502215,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_STRIATED_MUSCLE_CONTRACTION",0.401386933661907,0.0824057762822171,6.22065015749532,0.000210186987681244,0.00195804232099071,0.874354089036165,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_RAP1_SIGNALLING",0.366964746071634,-0.163886814690433,14.9246866381212,2.52741683661714e-07,0.000198346560614758,7.66443593895644,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",0.358442447947725,0.875581493699123,7.69633466749924,4.50354091430169e-05,0.000858726021794813,2.4917208537088,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",0.357207282718329,-1.88793935047581,12.7151980092243,9.17901782031132e-07,0.000198346560614758,6.43738764420239,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES",0.355668670810434,0.881016453384348,7.64008810995752,4.75565900866351e-05,0.000877068259794499,2.43485057217159,"ConditionA5-ConditionG2B2"
"Pathway.KEGG_PRIMARY_IMMUNODEFICIENCY",0.331761871850306,-2.19761692587358,7.2264203342621,7.16867136081494e-05,0.00113403199246954,2.00550922820405,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_VDR_PATHWAY",0.322250582361443,2.18184568868732,11.2246353451835,2.47353019771948e-06,0.000254442473013064,5.46146872414641,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.31329109092999,-2.25473796715997,10.8090069329289,3.3302313459681e-06,0.000267607876015294,5.16404369713673,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_CD40_PATHWAY",0.30476980190641,-0.59465527695483,7.06972038376901,8.41342883788018e-05,0.00113403199246954,1.8376199379659,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY",0.296317454897464,-0.175858697859275,5.77719153844703,0.000351069680551454,0.00265069389678111,0.333044944739004,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_SYNTHESIS_OF_PC",0.296094318615563,-0.0728749692689567,10.7116103865118,3.57579843560345e-06,0.00026778904698927,5.09260281150474,"ConditionA5-ConditionG2B2"
"Pathway.KEGG_LONG_TERM_DEPRESSION",0.293411464110884,0.276441125890475,12.2009902149557,1.27619611911012e-06,0.000205102947714126,6.11578588153033,"ConditionA5-ConditionG2B2"
