"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_UNWINDING_OF_DNA",1.68690661075667,-1.36915196476226,8.05397037659906,4.70720407470183e-05,0.0018429686341173,2.60874794980216,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_G1_S_SPECIFIC_TRANSCRIPTION",1.32624226350981,-2.2238530363909,5.68127572407661,0.000502473331196285,0.00455872981932114,0.183637523218897,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_DNA_STRAND_ELONGATION",1.1418011764672,-1.65554510430986,6.43001263986832,0.000222476831297961,0.00331991469577132,1.026795870487,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_RANMS_PATHWAY",1.05126206379078,0.559731314943862,5.44129600877119,0.000662355849402601,0.0052242142607505,-0.103562643407753,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",1.01881695325607,-1.79889102094181,7.15147030122831,0.000107943922285931,0.00250666227625118,1.76848254795476,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_MCM_PATHWAY",1.01544224264884,-1.39968043942091,8.28484101612876,3.85269834542219e-05,0.0018429686341173,2.80945399237111,"ConditionD4-ConditionG2B2"
"Pathway.KEGG_DNA_REPLICATION",0.930405131568828,-1.36089889648633,5.88181931031926,0.000401203808183831,0.00406625481267396,0.417203676184952,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER",0.902325155941603,-1.41966113003194,5.49379540307443,0.000623101666416656,0.00515433363763778,-0.0400070207563372,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_G2_M_CHECKPOINTS",0.891251123951444,-1.74205261250697,6.03378044052638,0.000339451395787133,0.00374394921824044,0.590362165248558,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_POL_SWITCHING",0.87280295928144,-2.05585722021276,5.59780232435797,0.000552673799311049,0.00478275403249947,0.0846998593291621,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_LAGGING_STRAND_SYNTHESIS",0.826213819773292,-1.82135165878479,5.17917802116692,0.000903662328502081,0.0058092578260848,-0.42704627616297,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND",0.821046442850824,-1.69127011622954,5.58934357477789,0.000558061337341241,0.00478456010220712,0.0746171150419936,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND",0.807739169204692,-1.17058955567855,5.38832619049267,0.000704734722331929,0.00528551041748947,-0.168103236965136,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",0.806923589111301,-1.47368989456182,5.66345079641251,0.000512756000678284,0.00461480400610455,0.162595819692932,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.802983493656103,-1.78512442620321,6.36143705610789,0.000239033858095535,0.00331991469577132,0.95279094268644,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_G0_AND_EARLY_G1",0.783842918976184,-1.48867564426866,5.83226376225567,0.00042394570507338,0.00413106116838321,0.360026283218388,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION",0.768041608065546,-1.56423016340146,4.55610872683449,0.00196627040607819,0.009002007007367,-1.23784310891764,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_EXTENSION_OF_TELOMERES",0.754377733075977,-1.56970039754996,5.16435693899573,0.000919936955216808,0.00584934725182597,-0.445646274722121,"ConditionD4-ConditionG2B2"
"Pathway.PID_FOXM1_PATHWAY",0.691774019769409,-1.00007378249419,5.39748595543855,0.000697198175007735,0.00526408018042753,-0.1569126861442,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_RB_PATHWAY",0.686668497288271,0.213329209029245,5.47411446557531,0.000637509243702212,0.00519708622583325,-0.0637847843882851,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION",0.678727739644624,-2.08466787459794,5.09923084435104,0.000995358665862474,0.00608575271247437,-0.52777212197708,"ConditionD4-ConditionG2B2"
"Pathway.KEGG_MISMATCH_REPAIR",0.647603150101027,-1.09127513201794,5.85053124833235,0.00041540104336127,0.00409935240159148,0.381144251618343,"ConditionD4-ConditionG2B2"
"Pathway.PID_PLK1_PATHWAY",0.646669218477409,-0.754373952010028,4.8381240507821,0.00137343474636366,0.00753714190077617,-0.863519056332651,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_SRCRPTP_PATHWAY",0.599595076784301,-0.0946949116394287,4.63786201760453,0.00176989714096414,0.00849402369809433,-1.12808256396688,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_KINESINS",0.572142812522159,-1.11889686688353,5.20134929082859,0.000879902990614213,0.00572191251121959,-0.399284076273394,"ConditionD4-ConditionG2B2"
"Pathway.PID_ATR_PATHWAY",0.564087410347759,-0.941273604309553,5.43038065658337,0.000670854188358943,0.0052242142607505,-0.116828159773848,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1",0.559128030725179,-0.105859973537788,7.13967190037394,0.000109179068032274,0.00250666227625118,1.75687584242882,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_AKAP95_PATHWAY",0.533823063016762,0.47626680695705,4.58873445062988,0.00188519474591124,0.00876381855020721,-1.19391856596375,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS",0.51055597257414,-0.478491807867544,5.43481332819488,0.000667388685663578,0.0052242142607505,-0.111438959848899,"ConditionD4-ConditionG2B2"
