"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.KEGG_NITROGEN_METABOLISM",0.524531754426597,-0.775834705057917,13.3091016472116,4.22943802829418e-07,5.7319306057242e-05,7.17488941053149,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.494185243940084,-0.526496891995741,13.788898458108,3.14363912984785e-07,5.7319306057242e-05,7.46706510952937,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",0.473790758382932,-0.317800758622711,14.8249957757586,1.70896740641121e-07,5.7319306057242e-05,8.06026164349165,"ConditionH10-ConditionG2B2"
"Pathway.BIOCARTA_RAB_PATHWAY",0.46132372878722,0.916482982936938,9.92712756953484,4.73623430741934e-06,0.00021313054383387,4.72912071509974,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.384788845615928,-1.55627992204144,12.1853984783444,8.82001073058809e-07,9.02046551991964e-05,6.44245809688318,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_SHC_MEDIATED_CASCADE",0.371613236578071,0.375434828107393,11.2039062189703,1.76490470078202e-06,0.000132367852558652,5.74114958252523,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.371278193320721,0.300674747480758,13.1810485029037,4.58554448457936e-07,5.7319306057242e-05,7.09491530436682,"ConditionH10-ConditionG2B2"
"Pathway.PID_EPHA2_FWD_PATHWAY",0.325488621615159,1.10420721295505,10.1656588539755,3.9070572519493e-06,0.000199792700383771,4.92757046339537,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_UNWINDING_OF_DNA",0.324430990159237,-2.05038977506098,5.89918774253899,0.000257402257779258,0.00199708648277011,0.532936247654924,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_PHENYLALANINE_METABOLISM",0.317919977062411,-2.19837052461457,9.22319275043495,8.55936993816358e-06,0.000267480310567612,4.11590569417609,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_HS_GAG_BIOSYNTHESIS",0.306696904244992,-0.530323015211735,9.63995364758765,6.00293792243258e-06,0.000232872591818505,4.48405417114492,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.281069747617693,-1.08382725619713,10.0770425745313,4.19472608511533e-06,0.000205176819380641,4.85437468151086,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION",0.278572021638497,-0.304175482440224,6.30757725971286,0.000158695928046041,0.00147547866984956,1.0452293571259,"ConditionH10-ConditionG2B2"
"Pathway.PID_HDAC_CLASSIII_PATHWAY",0.276394920978677,0.580759091347386,8.64588108306946,1.43125201562264e-05,0.000371549465915432,3.57993152379384,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.263748127971614,-0.0871509792941971,9.02316451222543,1.0196841199552e-05,0.000294139649987077,3.93372183611481,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.261545018641553,-0.0357392962279664,6.85300416918643,8.59017778174424e-05,0.0010580524119069,1.69468604297941,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_ARGININE_AND_PROLINE_METABOLISM",0.258733188062458,-0.271727083364363,8.85435951711931,1.18498559905341e-05,0.000325148487545144,3.77709987320315,"ConditionH10-ConditionG2B2"
"Pathway.BIOCARTA_P53_PATHWAY",0.253571026991419,0.346797511766982,7.04049305162233,7.01223571327523e-05,0.000917298276445888,1.90916156798406,"ConditionH10-ConditionG2B2"
"Pathway.PID_EPHA_FWDPATHWAY",0.247026893919259,-0.411235050708426,9.84094472104919,5.08223498960465e-06,0.00021857841619771,4.65629084039459,"ConditionH10-ConditionG2B2"
