"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.853170265859432,-0.0844230494419392,3.45704591257635,0.0120423520764773,0.0302402814420467,-3.71733057193715,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.842781941247962,-1.19667805989205,9.53986481905904,4.87187721842861e-05,0.000711800242952231,2.38505129396235,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_STEROID_BIOSYNTHESIS",0.826637248101211,-0.749122198792659,3.61604229984402,0.00983805430149038,0.0257390955562248,-3.49789178403321,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_NITROGEN_METABOLISM",0.6754327970167,-0.777556938757573,13.0011439982835,7.22215473951826e-06,0.000289807557588788,4.47206637972298,"ConditionI45F-ConditionG2B2"
"Pathway.PID_RHODOPSIN_PATHWAY",0.659918067587922,-2.21420226863384,6.36617656212209,0.000528406404659775,0.00314527621821295,-0.264924845592593,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.656324026893309,-2.35079321309525,11.7523200302984,1.35365460481416e-05,0.000373051495077529,3.79098052981772,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",0.545307933580916,-0.577743085008773,3.31640293897185,0.0144459131943387,0.0346517107540108,-3.91405031278012,"ConditionI45F-ConditionG2B2"
"Pathway.PID_CONE_PATHWAY",0.52503616265302,-3.41355583758841,18.7676252953867,7.14323298114144e-07,0.000100451713797302,6.90196522663193,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_PHENYLALANINE_METABOLISM",0.523306892235467,-2.45989509562405,5.70752639240418,0.000972981328689625,0.00465788933947161,-0.94493098979895,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",0.484735650549161,-0.193669584265893,13.8672883403887,4.82456002415103e-06,0.000286947527509062,4.90554953792235,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_ACTIVATION_OF_RAC",0.475185173083211,0.606012548628984,26.8662952501391,7.24613986942428e-08,4.77020531981072e-05,9.10964013706362,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_SIGNALING_BY_HIPPO",0.428636630466872,0.947998703713079,24.6038168375549,1.27205475194953e-07,4.77020531981072e-05,8.59098037809704,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.425611227807178,-1.46269722137775,14.134410584741,4.28053724483913e-06,0.000286947527509062,5.03344241627513,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.419913457698427,-2.60670620157813,20.5567602715033,4.00361423669585e-07,6.73362573690929e-05,7.48332297523007,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY",0.410679727439617,-0.128874006182344,22.6202508572172,2.17598387185598e-07,5.70317991127914e-05,8.08022330427034,"ConditionI45F-ConditionG2B2"
