"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.KEGG_STEROID_BIOSYNTHESIS",1.03458433856321,-0.85309574402366,4.48470184932279,0.00363052923801557,0.0104458961451855,-2.12104845215768,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_CHOLESTEROL_BIOSYNTHESIS",1.01177308208895,-0.163724457556697,4.07161543011487,0.00582673908592839,0.0148641303212459,-2.63909545032282,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.82189342968266,-1.1862338041094,9.30780974916654,6.23550859350682e-05,0.000934369913142998,2.33550663719527,"ConditionI45F-ConditionI47F"
"Pathway.KEGG_NITROGEN_METABOLISM",0.696376534302506,-0.788028807400475,12.7991394340332,9.0447897183337e-06,0.00051721562319725,4.37763373316804,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.635402986660265,0.254511256896589,5.26027411289417,0.00159550307179449,0.00599816253290683,-1.21657342497305,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",0.625767452086411,-0.335272649878263,5.36963139980822,0.00143013030876922,0.00556711625385941,-1.09598038369052,"ConditionI45F-ConditionI47F"
"Pathway.KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",0.608108840411848,-0.609143538424239,3.65379455894633,0.00965233378663849,0.0218928941733232,-3.1886160708593,"ConditionI45F-ConditionI47F"
"Pathway.KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.583909632989453,0.190326379405319,6.38286470331122,0.000555658560375638,0.00311191662573122,-0.054010715746621,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_GLUCONEOGENESIS",0.551032843489075,0.388380295166628,4.94057825045355,0.00221682249766677,0.00739501795997413,-1.57880429130868,"ConditionI45F-ConditionI47F"
"Pathway.BIOCARTA_CELLCYCLE_PATHWAY",0.540220749986779,-1.84380419987248,11.6999020379339,1.56709620852647e-05,0.00056763154950786,3.80589668458887,"ConditionI45F-ConditionI47F"
