"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.PID_RHODOPSIN_PATHWAY",-0.282829229311042,-1.93506045270966,-9.81801550095454,7.14034356781931e-21,8.45416678429807e-18,36.5816237987891,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",0.316441248147917,-0.930236503221768,8.12884238903657,3.64447876211844e-15,2.15753142717412e-12,23.8390542457003,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_ALK_PATHWAY",0.218818438609808,-0.520971093583089,7.78495786610606,4.25323410962439e-14,1.44719221916577e-11,21.46268425409,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.273987907921212,-0.851951387617839,7.73507876225458,6.03452584621949e-14,1.44719221916577e-11,21.1245675106421,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",0.25108263552435,-1.25791540244453,7.73326805543352,6.11145362823382e-14,1.44719221916577e-11,21.1123249195831,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_ERK_PATHWAY",0.147085585346667,0.838982931176088,7.69689165851754,7.87880157925785e-14,1.46203896022634e-11,20.8668477203369,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_TOB1_PATHWAY",0.419223259508526,-0.73254433244829,7.68358873104362,8.64381142025706e-14,1.46203896022634e-11,20.7773009579477,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_G2_M_CHECKPOINTS",-0.197867158436013,-1.45066245091674,-7.55752316091675,2.06767531312773e-13,2.81794991800782e-11,19.9347177006825,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.PID_ANGIOPOIETIN_RECEPTOR_PATHWAY",0.205614756778687,-0.372538266501772,7.55238364115035,2.14202274172892e-13,2.81794991800782e-11,19.9005984262984,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.PID_FAK_PATHWAY",0.103861769073805,0.546567718742279,7.51650885381686,2.73962966190017e-13,3.2437215196898e-11,19.6629478306021,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX",-0.279715302745228,-1.87395238406368,-7.44007354894954,4.61419480332317e-13,4.73948627274172e-11,19.1595819274973,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
