"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_SIGNALING_BY_HIPPO",0.302829151226939,-0.229901881839206,6.02631171462518,2.70153758200617e-09,3.16079897094721e-06,10.8335726059087,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING",0.131978432770427,-0.609683125982369,5.71522707727748,1.61653498732835e-08,5.41155606518597e-06,9.14863314302199,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.PID_ERBB4_PATHWAY",0.0911365965101091,-0.254311212756796,5.71040606644708,1.66091838342425e-08,5.41155606518597e-06,9.12315757743693,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION",0.16990728919883,-0.572247580484037,5.69117116730349,1.85010463767042e-08,5.41155606518597e-06,9.02170952478411,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.BIOCARTA_RANMS_PATHWAY",-0.144457842898002,-0.198965599306578,-5.41595470307242,8.36743531918072e-08,1.95797986468829e-05,7.60440651849445,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.PID_HES_HEY_PATHWAY",0.170027341185687,-0.168875479947728,5.3501540675878,1.18888669152561e-07,2.31832904847493e-05,7.2750824636189,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC",-0.119876792489041,2.2695962113318,-5.291439075709,1.62144937851316e-07,2.710136818372e-05,6.98434724583053,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY",0.238296305500603,-0.707594128025197,5.24286300982355,2.09134251787678e-07,2.76714424114059e-05,6.74605075098788,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",-0.0872945478426945,0.427812566149865,-5.23100517568487,2.2246970895605e-07,2.76714424114059e-05,6.68818833137851,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",-0.15540908108139,1.61868014825458,-5.19034227687993,2.74746184478148e-07,2.76714424114059e-05,6.49068515909892,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.BIOCARTA_PTDINS_PATHWAY",-0.129835858267314,0.840919210799352,-5.18649767987044,2.80263189407438e-07,2.76714424114059e-05,6.47208529490685,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.PID_TGFBR_PATHWAY",0.115991488567072,0.310117942352042,5.18406475923619,2.8380966575801e-07,2.76714424114059e-05,6.46032159250761,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_RNA_POL_III_CHAIN_ELONGATION",-0.207008008282209,-0.799438799849481,-5.16442463826444,3.14073932126669e-07,2.77638968372469e-05,6.36554417321517,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_",-0.172433520236666,1.89778378726121,-5.12277248875567,3.88936037192212e-07,2.77638968372469e-05,6.16564462841252,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",-0.174264873822027,0.376316505596305,-5.11188349966381,4.11191000609781e-07,2.77638968372469e-05,6.11363262101048,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",-0.148297735945172,-2.11266679660313,-5.09644908536781,4.4485692344464e-07,2.77638968372469e-05,6.04008472693741,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.BIOCARTA_TGFB_PATHWAY",0.185246361476445,0.111279265784055,5.07924600560018,4.85521282971154e-07,2.77638968372469e-05,5.95835170411902,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0.13937759767123,0.872765653960426,5.07510653729524,4.95829657764604e-07,2.77638968372469e-05,5.9387230441689,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0627090035161619,0.0740623749713061,5.06941541461251,5.10347976227093e-07,2.77638968372469e-05,5.91176092718797,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER",-0.181838445036618,-0.894998110001194,-5.06504916553126,5.21764117809959e-07,2.77638968372469e-05,5.89109451652534,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",0.180041408397126,0.597576542938173,5.06103973699928,5.3246436379656e-07,2.77638968372469e-05,5.87213156299299,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.240203548592178,-0.824891712638596,5.05759298807598,5.41832169523112e-07,2.77638968372469e-05,5.85584098831876,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_HUNTINGTONS_DISEASE",-0.116909001769328,1.01595282340071,-5.05592995683517,5.46408827479292e-07,2.77638968372469e-05,5.84798458707227,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER",-0.181341559164347,-1.01989807812653,-5.04137420841536,5.88092628153096e-07,2.77638968372469e-05,5.77932344529433,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",0.109614661080068,0.1048518253948,5.039644496973,5.93245658915533e-07,2.77638968372469e-05,5.77117641051797,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_OXIDATIVE_PHOSPHORYLATION",-0.160753709804837,1.98534976778881,-4.99619978548739,7.37953611626925e-07,3.26237902890512e-05,5.56740112630419,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_RNA_POLYMERASE",-0.161471006690891,-0.778436768282602,-4.98576021468571,7.77502925319573e-07,3.26237902890512e-05,5.5186791394254,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",-0.158703978625799,1.99846068466566,-4.98492851155676,7.80740280421738e-07,3.26237902890512e-05,5.51480161482569,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_PHOSPHORYLATION_OF_THE_APC_C",-0.158386401756927,-0.796690206748076,-4.95303211647962,9.1520021978937e-07,3.69235950742608e-05,5.3665498564745,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_TGF_BETA_SIGNALING_PATHWAY",0.143548014200004,-0.558356923744715,4.93660833039232,9.92888453435903e-07,3.87226496840002e-05,5.29055887753495,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE",-0.119640443439973,0.0523095029453054,-4.92838556631871,1.03413654083115e-06,3.90303146055629e-05,5.25260136496509,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.BIOCARTA_MCALPAIN_PATHWAY",0.131862641012543,1.16382773877139,4.87812775403874,1.32455174337339e-06,4.84289231170897e-05,5.02188535271029,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_ALZHEIMERS_DISEASE",-0.111630426082773,1.32341824122357,-4.86226239717934,1.43154090672922e-06,5.07546321476724e-05,4.94951098413216,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING",-0.191819427344101,1.10002408652865,-4.84750255524396,1.53851802517654e-06,5.2943120278134e-05,4.88237727694346,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.BIOCARTA_ECM_PATHWAY",0.148550967255985,0.815436701700733,4.82314009700213,1.73214452145872e-06,5.79031168601914e-05,4.77198384605736,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION",-0.176578058648427,-0.655442181638981,-4.8156523518432,1.79622936465851e-06,5.83774543514015e-05,4.7381590505125,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_GLYCEROLIPID_METABOLISM",-0.105449348143183,-0.697828210557488,-4.79756210271767,1.96061743574189e-06,6.1997902697784e-05,4.65664163213799,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_CARDIAC_MUSCLE_CONTRACTION",-0.169069504446586,1.481827528678,-4.78157935634493,2.1178263220575e-06,6.52067578107178e-05,4.58485957478119,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.KEGG_PARKINSONS_DISEASE",-0.132598996975126,1.97298895815939,-4.75683870303242,2.3853518934639e-06,7.1560556803917e-05,4.47418566943957,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_RNA_POL_III_TRANSCRIPTION",-0.153216009128034,-0.926980743662309,-4.74645848519168,2.50702611068255e-06,7.21285156421501e-05,4.42791118812003,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
