"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.ST_T_CELL_SIGNAL_TRANSDUCTION",0.0568754587967764,-0.252781467363098,4.23475355110812,2.63704347123927e-05,0.0229722455298568,2.12768804702058,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS",0.0434670175165244,1.63460764017738,3.93878422296912,9.12479518497645e-05,0.0229722455298568,0.972787830363364,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING",-0.0510703605277772,-0.082884642278053,-3.85028136288505,0.00013030176825795,0.0229722455298568,0.642859820509501,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_ADP_SIGNALLING_THROUGH_P2RY12",-0.0581212548311407,0.0651647766732919,-3.83557952690307,0.000138153988654047,0.0229722455298568,0.588744258421054,"DiagnosisAD-DiagnosisControl"
"Pathway.KEGG_BETA_ALANINE_METABOLISM",-0.087223934531707,0.318456413267819,-3.80274717347748,0.000157332393897456,0.0229722455298568,0.468604691035216,"DiagnosisAD-DiagnosisControl"
"Pathway.PID_CDC42_PATHWAY",0.0257833483661146,0.560807859996925,3.7789737714002,0.000172758290203574,0.0229722455298568,0.382228043914333,"DiagnosisAD-DiagnosisControl"
"Pathway.ST_FAS_SIGNALING_PATHWAY",0.0398195560196423,0.0646020531288083,3.71198400425179,0.000224253281150892,0.0229722455298568,0.141613032468425,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_SIGNALING_BY_NODAL",0.0644230359541117,-0.471788875154171,3.70848368701646,0.000227306407645521,0.0229722455298568,0.129153518216539,"DiagnosisAD-DiagnosisControl"
"Pathway.KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.0288369841338738,0.501535548058664,3.7042023274213,0.00023109397040477,0.0229722455298568,0.113929123675138,"DiagnosisAD-DiagnosisControl"
"Pathway.ST_GA13_PATHWAY",0.0372440593830476,-0.13678263373114,3.69798625239301,0.00023669891218953,0.0229722455298568,0.0918548484506418,"DiagnosisAD-DiagnosisControl"
