GeneID	RNAseq wt_1	RNAseq wt_2	RNAseq wt_3	RNAseq APP_1	RNAseq APP_2	RNAseq APP_3	RNAseq PSEN_1	RNAseq PSEN_2	RNAseq PSEN_3	RNAseq APP/PSEN1_1	RNAseq APP/PSEN1_2	RNAseq APP/PSEN1_3
ENSG00000223972	3	5	3	5	5	5	3	10	5	6	11	4
ENSG00000227232	110	115	119	166	97	148	120	187	131	55	128	124
ENSG00000243485	0	0	0	0	0	0	1	0	2	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	2	0	0	3	3	0	2	1	3	0	4	1
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	4	5	3	3	6	0	4	2	5	3	13	4
ENSG00000237683	10	10	8	16	28	17	13	24	19	10	29	13
ENSG00000268903	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	3	2	2	2	3	0	2	1	1	0	2	1
ENSG00000241860	24	21	28	28	29	29	29	37	22	24	43	25
ENSG00000222623	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000241599	1	0	0	1	1	0	0	0	0	0	1	0
ENSG00000228463	3	2	4	7	4	3	2	6	4	0	2	4
ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	2	12	8	9	7	17	6	13	3	8	5	4
ENSG00000250575	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256186	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	1	0	1	1	0	0	1	0	0	0	0	0
ENSG00000231709	1	2	0	0	1	0	1	1	1	1	2	2
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	1	1	3	1	2	1	0	1	1	1	3	0
ENSG00000223659	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225972	25	21	14	42	31	17	24	32	26	48	62	21
ENSG00000225630	53	49	26	80	66	34	47	70	34	138	195	50
ENSG00000237973	505	569	429	971	664	421	677	986	551	478	837	263
ENSG00000229344	113	122	86	187	145	133	130	155	121	135	212	79
ENSG00000240409	3	3	4	2	3	1	3	9	1	5	3	1
ENSG00000248527	435	430	349	620	521	310	477	700	348	414	643	307
ENSG00000198744	229	264	175	559	363	226	257	411	224	242	430	96
ENSG00000268663	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	1	2	4	2	2	0	1	3	2	0	1	2
ENSG00000224956	3	1	2	3	2	5	3	8	1	1	4	7
ENSG00000235373	22	19	21	18	14	19	15	17	10	5	16	14
ENSG00000223181	0	1	1	0	0	2	1	1	0	4	1	0
ENSG00000240618	2	4	2	6	8	2	2	6	4	5	14	1
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	28	31	25	26	10	24	34	33	23	19	49	52
ENSG00000237491	52	51	77	53	62	42	45	79	29	40	100	78
ENSG00000230092	46	71	40	54	39	43	31	48	45	37	66	58
ENSG00000269831	2	1	1	0	2	0	0	1	0	1	3	3
ENSG00000240453	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177757	2	5	4	5	10	6	8	10	1	6	12	13
ENSG00000225880	14	17	20	22	18	14	15	32	16	11	29	29
ENSG00000228794	313	364	383	685	526	567	470	688	368	207	448	373
ENSG00000230368	0	1	1	2	3	3	0	1	2	1	1	3
ENSG00000234711	0	0	1	2	0	0	0	3	0	0	0	2
ENSG00000269308	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	6	11	10	12	11	16	8	6	16	8	28	26
ENSG00000230699	29	31	25	58	56	47	54	90	48	39	59	44
ENSG00000241180	1	0	0	0	0	0	0	1	1	0	0	0
ENSG00000223764	32	47	49	93	84	97	73	102	65	66	133	115
ENSG00000187634	12	8	10	56	36	54	4	12	8	39	67	50
ENSG00000268179	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976	961	1109	1072	1160	842	1306	1082	1531	924	593	1103	954
ENSG00000187961	185	184	209	214	120	202	132	236	113	95	201	139
ENSG00000187583	2	2	1	3	1	2	0	0	0	7	4	7
ENSG00000187642	2	2	1	0	0	0	1	2	0	3	2	1
