"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.PID_ERBB_NETWORK_PATHWAY",0.714411006290945,-1.42435168097491,37.2885796647398,2.39169793463024e-14,1.73095290432238e-11,23.3704371873175,"TypeAPP-Typewt"
"Pathway.REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.552193438287266,-1.62222945881141,36.564319029396,3.06092467607848e-14,1.73095290432238e-11,23.1377990000502,"TypeAPP-Typewt"
"Pathway.REACTOME_LIPOPROTEIN_METABOLISM",0.726440994013347,-1.49679648031742,34.5009157787219,6.35246189626571e-14,2.39487813489217e-11,22.442941419846,"TypeAPP-Typewt"
"Pathway.REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",0.569171881113798,-2.29663104718529,32.2955693822473,1.45576038050325e-13,4.11616247587294e-11,21.6429712301094,"TypeAPP-Typewt"
"Pathway.REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT",0.595864858353679,-0.749306555836106,28.2261291749484,7.86447450667581e-13,1.77894413341007e-10,19.9849667773739,"TypeAPP-Typewt"
"Pathway.REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS",0.397910986098369,1.595266595989,23.3398675646554,8.4041666724395e-12,1.58418541775485e-09,17.600357700371,"TypeAPP-Typewt"
"Pathway.REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE",-0.377405798260269,-0.765013599526819,-22.3149080276153,1.46707547237613e-11,2.27318605411034e-09,17.0319137623281,"TypeAPP-Typewt"
"Pathway.KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.426263706094033,-0.528194427569143,22.1504414681147,1.60791232828318e-11,2.27318605411034e-09,16.9381474068397,"TypeAPP-Typewt"
"Pathway.PID_CERAMIDE_PATHWAY",0.307103780700659,-0.158606283155914,21.8514344658512,1.90267849005719e-11,2.39103263583853e-09,16.7657954215743,"TypeAPP-Typewt"
"Pathway.REACTOME_GPCR_LIGAND_BINDING",0.318481476123504,-2.15715006526715,21.3621599734323,2.51805197006617e-11,2.50667435189356e-09,16.4783992381116,"TypeAPP-Typewt"
