"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.561741592382678,-1.62222945881141,37.1965644134943,2.46720347159206e-14,2.79040712637062e-11,23.1766706640063,"TypePSEN-Typewt"
"Pathway.PID_PRL_SIGNALING_EVENTS_PATHWAY",-0.509737992442035,-0.113580974143838,-28.8742420099773,5.92064882968084e-13,3.34812691318451e-10,20.2210283146749,"TypePSEN-Typewt"
"Pathway.REACTOME_PLATELET_HOMEOSTASIS",0.37960010686293,-0.435188954315253,25.7378194770793,2.4890059138027e-12,9.38355229503616e-10,18.8268775344879,"TypePSEN-Typewt"
"Pathway.REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT",0.804882251395106,0.87134874209678,24.2046177652436,5.34739068002529e-12,1.50177356905445e-09,18.0726564214991,"TypePSEN-Typewt"
"Pathway.REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA",0.382312745003502,-0.173689914903528,23.7870024159972,6.63914044674825e-12,1.50177356905445e-09,17.8579220744576,"TypePSEN-Typewt"
"Pathway.REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS",0.386930635965693,1.595266595989,22.6958041261887,1.18937596624072e-11,2.24197369636375e-09,17.2765872163205,"TypePSEN-Typewt"
"Pathway.BIOCARTA_G2_PATHWAY",-0.370777649675329,-0.601243189723708,-21.3381640666005,2.55329629180245e-11,4.12539729432653e-09,16.5092724593132,"TypePSEN-Typewt"
"Pathway.BIOCARTA_ATM_PATHWAY",-0.44763706588682,-1.07861950708284,-20.080557673453,5.40544376609861e-11,7.64194612432191e-09,15.7503900141716,"TypePSEN-Typewt"
"Pathway.BIOCARTA_PGC1A_PATHWAY",0.333375384370371,1.61530510636989,19.4573369181334,7.96997660561223e-11,9.16002951569601e-09,15.3555588106311,"TypePSEN-Typewt"
"Pathway.REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",0.342465470814476,-2.29663104718529,19.4319462023838,8.09905350636252e-11,9.16002951569601e-09,15.3391946161382,"TypePSEN-Typewt"
"Pathway.BIOCARTA_PTC1_PATHWAY",-0.423391495806777,-1.00692731833429,-19.2387704986196,9.15798567267662e-11,9.41607435981569e-09,15.2139623587239,"TypePSEN-Typewt"
