"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",4.91256822080962,0.401032857151903,17.1401317490621,4.45312030418432e-09,3.54341144204381e-07,11.4460952594305,"ConditionAbeta42-ConditionControl"
"Pathway.KEGG_CELL_ADHESION_MOLECULES_CAMS",4.04958811690368,0.327843679268856,8.07484638805821,7.47939660544028e-06,5.62976203950032e-05,4.05592976266616,"ConditionAbeta42-ConditionControl"
"Pathway.REACTOME_MUSCLE_CONTRACTION",3.99081424071551,0.286785950934034,12.2704020027374,1.31941062338008e-07,2.82658352777962e-06,8.17164154672849,"ConditionAbeta42-ConditionControl"
"Pathway.REACTOME_SMOOTH_MUSCLE_CONTRACTION",3.95228548292436,0.215385440128304,13.5810460211919,4.76786565195889e-08,1.56217715773006e-06,9.17805048035661,"ConditionAbeta42-ConditionControl"
"Pathway.PID_FOXO_PATHWAY",3.76401388277643,0.254680842425551,9.38042200059108,1.82551182146417e-06,1.95540400876066e-05,5.51051485888868,"ConditionAbeta42-ConditionControl"
"Pathway.BIOCARTA_UCALPAIN_PATHWAY",3.41739457692304,0.0437543612114808,7.82905347377842,9.94234049115366e-06,6.75351665069828e-05,3.76088877264478,"ConditionAbeta42-ConditionControl"
"Pathway.PID_ARF6_TRAFFICKING_PATHWAY",3.38418042530223,0.315316136118222,5.41585624969638,0.000239373914885406,0.000808068306613157,0.449046453850316,"ConditionAbeta42-ConditionControl"
"Pathway.BIOCARTA_CELL2CELL_PATHWAY",3.36621750508837,0.0271387344743621,7.73872518175679,1.10569404959985e-05,7.33180459079897e-05,3.6506551583193,"ConditionAbeta42-ConditionControl"
"Pathway.REACTOME_CELL_CELL_JUNCTION_ORGANIZATION",3.24412851701625,0.118665981082875,7.37734963511189,1.70697614618249e-05,0.000101147416321664,3.19965493903483,"ConditionAbeta42-ConditionControl"
"Pathway.BIOCARTA_CHEMICAL_PATHWAY",3.11644791200265,0.110096714617339,6.94798783147693,2.91682000900634e-05,0.000143775995134207,2.6423169180416,"ConditionAbeta42-ConditionControl"
"Pathway.PID_P38_MKK3_6PATHWAY",3.05074239696182,0.236421833924362,7.17950013094212,2.17899547065965e-05,0.000116701968957445,2.94579347870155,"ConditionAbeta42-ConditionControl"
"Pathway.ST_WNT_BETA_CATENIN_PATHWAY",3.02153515615898,0.0990130452506227,8.42239100119226,5.05559853008781e-06,4.33225904809063e-05,4.46117962361396,"ConditionAbeta42-ConditionControl"
"Pathway.REACTOME_L1CAM_INTERACTIONS",2.95695874887832,0.191262042692278,8.3752784506101,5.32740513844066e-06,4.49600706380523e-05,4.40704490159335,"ConditionAbeta42-ConditionControl"
"Pathway.KEGG_VEGF_SIGNALING_PATHWAY",2.95201466218845,0.296551520339506,9.68502857257325,1.34356208728174e-06,1.52727363799169e-05,5.82472507712545,"ConditionAbeta42-ConditionControl"
"Pathway.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",2.88436620627989,0.59670902633523,11.6489292288805,2.21181865550517e-07,3.97413868102058e-06,7.65485121392486,"ConditionAbeta42-ConditionControl"
"Pathway.PID_A6B1_A6B4_INTEGRIN_PATHWAY",2.84281309643265,0.246437228436779,10.2987098841485,7.41516352414734e-07,9.79850940091712e-06,6.43154886967774,"ConditionAbeta42-ConditionControl"
"Pathway.KEGG_TGF_BETA_SIGNALING_PATHWAY",2.75061377755762,0.33931923187261,4.4339452335688,0.00109511769954771,0.00275088871259491,-1.12968514893047,"ConditionAbeta42-ConditionControl"
