"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.KEGG_PROTEASOME",3.4977122607556,0.19978049662637,13.1704618118429,6.49467318016795e-08,1.20584432045118e-05,8.83217609000531,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",3.4977122607556,0.19978049662637,13.1704618118429,6.49467318016795e-08,1.20584432045118e-05,8.83217609000531,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC",3.4977122607556,0.19978049662637,13.1704618118429,6.49467318016795e-08,1.20584432045118e-05,8.83217609000531,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_NUCLEOTIDE_EXCISION_REPAIR",3.04558204567506,0.247899734416941,9.21336839640305,2.16709585063453e-06,6.90467477856098e-05,5.40074771148705,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",3.01516621642083,0.0808965415210606,7.35654247131465,1.7509917616838e-05,0.000336311176295819,3.28024525820013,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_ATF2_PATHWAY",2.71938132169086,0.12723527905105,5.75459734923247,0.000146228956627965,0.00148090052439594,1.0982353133671,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT",2.68935264324189,0.109633866610142,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,7.38908063377616,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6",2.68935264324189,0.109633866610142,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,7.38908063377616,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE",2.68935264324189,0.109633866610142,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,7.38908063377616,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX",2.68935264324189,0.109633866610142,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,7.38908063377616,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1",2.68935264324189,0.109633866610142,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,7.38908063377616,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G",2.68935264324189,0.109633866610142,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,7.38908063377616,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_TCR_PATHWAY",2.63066333759213,0.0267105320976481,10.5584731894585,5.81681997506579e-07,2.94542611464695e-05,6.71093183366885,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_TOLL_PATHWAY",2.54082717806987,0.153774118666447,5.14362498272604,0.000359925638710897,0.00273069667350222,0.169654153323621,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1",2.49483920372975,0.218135527319503,8.15933498253892,6.79230943538714e-06,0.000171968925250483,4.24610914588232,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21",2.49483920372975,0.218135527319503,8.15933498253892,6.79230943538714e-06,0.000171968925250483,4.24610914588232,"ConditionLosma-ConditionAbeta42"
"Pathway.SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",2.47102115874144,0.413498734758393,8.89972126962305,3.0108603735566e-06,8.38524614035512e-05,5.06977252294801,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",2.43857474127858,0.0454091340294183,10.261313213762,7.68213827131864e-07,3.05639358366035e-05,6.43584833236951,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_SYNTHESIS_OF_DNA",2.43857474127858,0.0454091340294183,10.261313213762,7.68213827131864e-07,3.05639358366035e-05,6.43584833236951,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX",2.43857474127858,0.0454091340294183,10.261313213762,7.68213827131864e-07,3.05639358366035e-05,6.43584833236951,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_NUCLEOTIDE_EXCISION_REPAIR",2.43407171697089,0.0738982928699627,8.10207182801881,7.25012751834309e-06,0.000175579175118135,4.17980478705429,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",2.42898381573463,0.118530647410065,9.13313122747343,2.35527505911416e-06,6.90467477856098e-05,5.31705231066697,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ER_PHAGOSOME_PATHWAY",2.42898381573463,0.118530647410065,9.13313122747343,2.35527505911416e-06,6.90467477856098e-05,5.31705231066697,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_IL12_2PATHWAY",2.3470139611806,-0.0487232152738264,7.85377110781584,9.65892436299236e-06,0.00021520083480747,3.8877883754256,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_KERATINOCYTE_PATHWAY",2.14413528705662,0.240508972512499,6.66251184442489,4.21737203484778e-05,0.000602327236771849,2.37859097335021,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_CALCINEURIN_PATHWAY",2.14028686897217,0.212420259474602,3.08648571109422,0.0107644690438723,0.0298298968031686,-3.2945516952888,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",2.13730473468391,0.299627420983764,4.90975247610518,0.000515292986711198,0.00350022187314802,-0.199985807749884,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_",2.13707028563502,0.156669869424324,7.47700349999702,1.51208114439734e-05,0.000311936739788636,3.43028900076782,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_M_G1_TRANSITION",2.1196040865801,-0.0157259427379831,9.13870370180228,2.34164974120954e-06,6.90467477856098e-05,5.32288638719023,"ConditionLosma-ConditionAbeta42"
"Pathway.ST_INTEGRIN_SIGNALING_PATHWAY",2.05546553669048,0.0263454018818193,6.86802572783232,3.23084745597915e-05,0.000499883898050108,2.65232906976127,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",2.05261265557976,0.0731915899205001,7.25865281788616,1.97513577039245e-05,0.000343797070033935,3.15693955701013,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",2.05261265557976,0.0731915899205001,7.25865281788616,1.97513577039245e-05,0.000343797070033935,3.15693955701013,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C",2.05261265557976,0.0731915899205001,7.25865281788616,1.97513577039245e-05,0.000343797070033935,3.15693955701013,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_S_PHASE",2.04690443558575,0.0958828827969084,8.01401080968713,8.02051428199724e-06,0.000186142768961353,4.07708393435206,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",2.03897560550008,0.165846509581394,5.22975408788792,0.000315990532088943,0.00256693554637353,0.303825456812934,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS",2.01971920755295,0.00256382764685716,5.11030991467881,0.000378621677896928,0.00281189699451452,0.117471715829294,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION",2.00176465444486,0.254785947214245,3.4091341877514,0.00612910090514602,0.0200818188480372,-2.72948871225411,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE",1.97207331236611,0.16163091232663,7.08283087866209,2.45922256595575e-05,0.000402878520363927,2.93232336812753,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_P53_SIGNALING_PATHWAY",1.96658656807646,0.294661798038014,7.14710008186484,2.26888237754019e-05,0.000382959843724207,3.01490049005968,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_RB_1PATHWAY",1.95255464343675,-0.0536242811992559,2.87314118099202,0.015664711484317,0.0415487823655456,-3.66727636073187,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_AGR_PATHWAY",1.94856407144005,0.0929944639592417,3.23192994840869,0.008344124222669,0.0258204288445924,-3.03975095519846,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_AP1_PATHWAY",1.94240994317447,0.0846611650513114,2.63457223908578,0.0238441603875512,0.0577443362428956,-4.08026774980903,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_REGULATION_OF_APOPTOSIS",1.94050252149334,0.273672089760311,7.76151537891324,1.07635429333898e-05,0.000230588208226851,3.77739120178211,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_CCR3_PATHWAY",1.87903196102062,0.386534438469626,4.64763922581392,0.0007775329249508,0.00471880484791431,-0.623263717523247,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS",1.83388019650687,0.182748552935988,3.83575662817142,0.00294923119469397,0.0122591177271981,-1.9881174577173,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_IL2_STAT5_PATHWAY",1.75803629157623,-0.0362832334616371,2.61249913854075,0.024788176295932,0.0597706242287193,-4.11816322840487,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_CD8_TCR_DOWNSTREAM_PATHWAY",1.70600482744219,0.209010361022542,3.51287691277187,0.00512212664737532,0.017961481353304,-2.54827081024358,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0",1.70273750069761,0.172646166649571,4.68249071159623,0.000735734248763296,0.00464413026176231,-0.566449155871648,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_SYNDECAN_3_PATHWAY",1.63372121498661,0.285757881263598,3.50866510726448,0.00515949195067979,0.017961481353304,-2.55561912158086,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",1.60318156365114,-0.0828310668963531,4.89631672505662,0.000526150392139579,0.00353091287255115,-0.221454324591548,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_CXCR3_PATHWAY",1.59813410186421,0.202927911194539,4.12680976880395,0.00181100480051453,0.00850991442777017,-1.49046035144464,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_GPCR_PATHWAY",1.58208363059628,-0.0561268025278948,5.91888268717514,0.000115807093529545,0.00126479511952856,1.33867311513526,"ConditionLosma-ConditionAbeta42"
"Pathway.ST_GRANULE_CELL_SURVIVAL_PATHWAY",1.5347903261359,0.0455290718320271,6.27375669502201,7.08593947074804e-05,0.00089701551936515,1.84474288246467,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_CELL_CYCLE_CHECKPOINTS",1.53393911707521,-0.10926965134294,6.05388248683431,9.58745208143353e-05,0.0010680421618717,1.53332456051384,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_MITOTIC_G1_G1_S_PHASES",1.50859608920067,0.0529254861245793,5.3303463142736,0.000271783305583103,0.00236536408140294,0.459177326937716,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",1.47640656550785,-0.0251972488760635,6.28714529714356,6.95813630824976e-05,0.00089701551936515,1.86348268312045,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_TPO_PATHWAY",1.4603706161923,-0.0710323211236842,3.61777389847135,0.00427624957263212,0.0157739802116297,-2.36555235967417,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",1.44632644154766,0.132687178816038,5.3644105938802,0.000258345189595928,0.00234594828371344,0.511454113421162,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_IL1_SIGNALING",1.43326287117102,0.114651916096727,3.18382568242779,0.00907630918697659,0.0276167417225531,-3.12403958376671,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",1.41845687492239,0.394172048283952,5.42106095117429,0.000237538955439265,0.00224252878270628,0.598020534636655,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_GNRH_SIGNALING_PATHWAY",1.41484797996218,0.0222737187161738,5.07121904917539,0.000401882148890688,0.0029453731175278,0.0560410728725902,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",1.39843153564749,0.311311293695073,3.41748500957703,0.00604098720165646,0.0200287492340634,-2.71488629645351,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",1.37990180109278,-0.110957708082183,4.0440144420786,0.00207832634126042,0.00939355794599674,-1.63118824514485,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS",1.37500419051421,0.024474750823212,6.07481302920624,9.31282932558884e-05,0.0010680421618717,1.5632681438034,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",1.36961931425285,0.244798127857639,2.3344335548781,0.0403417119675568,0.090242303477627,-4.58882761054405,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS",1.36125238030355,-0.277608547046662,3.51088128792644,0.00513979609002772,0.017961481353304,-2.55175246095522,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_EIF4_PATHWAY",1.35730143284622,0.0923085317869064,4.99099095036022,0.000454503399712329,0.00324562043127907,-0.0707136240684791,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_AURORA_A_PATHWAY",1.34581829782263,-0.139140023797327,3.70839973760427,0.0036619831100997,0.0142638083379408,-2.20822082735832,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING",1.32655890451681,-0.0119209373145348,3.1623608211699,0.00942383106982633,0.027920605882411,-3.16164888054929,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY",1.30286802850357,0.207161699863294,1.45573771810752,0.174391110818211,0.259677593736224,-5.92236428831202,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_TOLL_RECEPTOR_CASCADES",1.29799989993559,0.177188447463843,3.74167229141269,0.00346005486814136,0.0136833184792618,-2.15059877975064,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1.28404321228716,0.218959440234245,3.16820092147975,0.00932795818826704,0.027784346047405,-3.15141651696451,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_MYOSIN_PATHWAY",1.27543964965195,0.0926096709039907,3.46634225517608,0.00555091367831351,0.0188242059681682,-2.6295038037047,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_RHOA_PATHWAY",1.2725431964175,0.0288044648453274,4.12445234161034,0.0018180966192184,0.00850991442777017,-1.49445737018235,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING",1.26442441665482,-0.26382409794903,3.78134527647451,0.00323428492476861,0.0132404239394674,-2.08199975903122,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_G1_S_TRANSITION",1.24597094124576,0.0694533866381913,4.29661144418022,0.00136923070607652,0.00712767760079087,-1.20417123010858,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_ECADHERIN_KERATINOCYTE_PATHWAY",1.2435514583481,0.0758970865305914,3.63723390152668,0.00413591326035604,0.0154610985638813,-2.33172403002643,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_INNATE_IMMUNE_SYSTEM",1.24298610486536,0.161642920240535,3.77729416020744,0.00325662132801982,0.0132404239394674,-2.08899906484249,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_EGF_PATHWAY",1.24293834850277,-0.109890683650977,3.17411723663447,0.00923184613217043,0.027784346047405,-3.1410503919203,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_AR_TF_PATHWAY",1.23965144300836,-0.0539098694184855,4.43454893726853,0.0010940489663344,0.00591636188590542,-0.974070323252576,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_IL1_PATHWAY",1.23849988810972,0.0108764584724832,2.56387799906979,0.0269999131795671,0.0645448568284073,-4.20139964606201,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_BIOLOGICAL_OXIDATIONS",1.21333363599103,0.212152419834222,3.46021257861119,0.00561008651834098,0.0188242059681682,-2.64021094624175,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS",1.12955613771494,0.154706115424453,3.21945117609672,0.00852807277348953,0.0262438482587495,-3.06161606869844,"ConditionLosma-ConditionAbeta42"
"Pathway.ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS",1.12347071083123,-0.0865588168956609,3.19775209570796,0.00885784387002972,0.027108895800036,-3.09963763056607,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",1.11760083187281,0.129374534850386,2.68262791039507,0.0219104151683,0.0537625605671502,-3.99755132545548,"ConditionLosma-ConditionAbeta42"
"Pathway.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",1.10141091749459,0.59670902633523,4.44820695856047,0.00107016116042697,0.00584391927801786,-0.951412647642528,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_PDGF_PATHWAY",1.10085196308761,-0.12862482084784,3.15716423781631,0.00950998264305747,0.0280267742443545,-3.17075353018598,"ConditionLosma-ConditionAbeta42"
"Pathway.WNT_SIGNALING",1.08627772987849,-0.167385310188976,3.4766511802647,0.00545284025206726,0.0186333252785366,-2.61149995495343,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_INTERFERON_SIGNALING",1.07485331147091,-0.134630976729757,3.97774836863481,0.00232185382710061,0.0103461806535603,-1.74432056407506,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",1.04935995947965,0.00869405328398842,3.5197544710771,0.005061710109266,0.0179577868207717,-2.53627338049645,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_GABA_B_RECEPTOR_ACTIVATION",1.0293542949844,-0.145262153678796,3.32865740894292,0.00704893829587981,0.0226951365942489,-2.87031665550253,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_GABA_RECEPTOR_ACTIVATION",1.0293542949844,-0.145262153678796,3.32865740894292,0.00704893829587981,0.0226951365942489,-2.87031665550253,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_TRIF_MEDIATED_TLR3_SIGNALING",1.02149228620027,0.0637438709336124,3.67681426580724,0.00386497960649343,0.0146448546994343,-2.26299342673707,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_ACTIVATED_TLR4_SIGNALLING",1.02149228620027,0.0637438709336124,3.67681426580724,0.00386497960649343,0.0146448546994343,-2.26299342673707,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_HIV_INFECTION",1.0090945839013,-0.0195579856569902,4.49595625423126,0.000990871036613972,0.00551915167393983,-0.872382918861631,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_PAR1_PATHWAY",1.00842397235835,0.209916310145755,3.10994679831263,0.0103304280121584,0.0292083675267625,-3.25346684287844,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_SIGNALING_BY_FGFR1_MUTANTS",1.00012364046648,0.0448738950528782,2.3657140877826,0.0382012761845609,0.0864963855073188,-4.53661102036953,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_CDC42_REG_PATHWAY",0.993683302907659,0.10151973543925,4.04031150234272,0.00209120500054506,0.00939355794599674,-1.63749859996153,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_IL4_2PATHWAY",0.990976228021571,-0.0221411122910027,3.27764019072723,0.00770420453883473,0.0239954547807362,-2.95966700492122,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_INTERFERON_GAMMA_SIGNALING",0.990628857922851,-0.118762504251505,2.77418332077783,0.0186476092487492,0.0474250689352158,-3.83924427227722,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_SIGNALING_BY_ROBO_RECEPTOR",0.986338480345464,0.357515991385619,2.9099931357022,0.0146805449342775,0.0391247058774763,-3.60305348573169,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS",0.971903175438765,-0.254847132124322,3.14982487036553,0.00963302525333511,0.0282399740321456,-3.18361203603655,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_ILK_PATHWAY",0.946502082289157,0.156840287701731,3.30190023628543,0.00738517332204433,0.0235059516593068,-2.91717316850679,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_RAS_PATHWAY",0.943352589999677,0.14843582234063,2.15392577788792,0.0551451291199987,0.116790254448058,-4.88554556842927,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_GLEEVEC_PATHWAY",0.925310826913921,-0.267871194113985,2.97075520306899,0.0131918066523252,0.0354967937456288,-3.49699140130839,"ConditionLosma-ConditionAbeta42"
"Pathway.PID_BCR_5PATHWAY",0.920735634708002,0.113484338865019,3.17000540971316,0.00929853634755847,0.027784346047405,-3.14825485003886,"ConditionLosma-ConditionAbeta42"
"Pathway.BIOCARTA_PTDINS_PATHWAY",0.900327132189486,0.125450298055952,3.00761931002985,0.0123637913344885,0.0335933257234639,-3.43255842474447,"ConditionLosma-ConditionAbeta42"
"Pathway.REACTOME_TCR_SIGNALING",0.891907006676606,0.515803389171748,2.07772300644101,0.062844272822471,0.128271689231609,-5.00810732419581,"ConditionLosma-ConditionAbeta42"
