"STANDARD_NAME","CONTRIBUTOR","DESCRIPTION_BRIEF","display_name"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","KEGG","Glycolysis / Gluconeogenesis","(KEGG) Glycolysis / Gluconeogenesis"
"KEGG_CITRATE_CYCLE_TCA_CYCLE","KEGG","Citrate cycle (TCA cycle)","(KEGG) Citrate cycle (TCA cycle)"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","KEGG","Pentose phosphate pathway","(KEGG) Pentose phosphate pathway"
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","KEGG","Pentose and glucuronate interconversions","(KEGG) Pentose and glucuronate interconversions"
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","KEGG","Fructose and mannose metabolism","(KEGG) Fructose and mannose metabolism"
"KEGG_GALACTOSE_METABOLISM","KEGG","Galactose metabolism","(KEGG) Galactose metabolism"
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","KEGG","Ascorbate and aldarate metabolism","(KEGG) Ascorbate and aldarate metabolism"
"KEGG_FATTY_ACID_METABOLISM","KEGG","Fatty acid metabolism","(KEGG) Fatty acid metabolism"
"KEGG_STEROID_BIOSYNTHESIS","KEGG","Steroid biosynthesis","(KEGG) Steroid biosynthesis"
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","KEGG","Primary bile acid biosynthesis","(KEGG) Primary bile acid biosynthesis"
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","KEGG","Steroid hormone biosynthesis","(KEGG) Steroid hormone biosynthesis"
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG","Oxidative phosphorylation","(KEGG) Oxidative phosphorylation"
"KEGG_PURINE_METABOLISM","KEGG","Purine metabolism","(KEGG) Purine metabolism"
"KEGG_PYRIMIDINE_METABOLISM","KEGG","Pyrimidine metabolism","(KEGG) Pyrimidine metabolism"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","KEGG","Alanine, aspartate and glutamate metabolism","(KEGG) Alanine, aspartate and glutamate metabolism"
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","KEGG","Glycine, serine and threonine metabolism","(KEGG) Glycine, serine and threonine metabolism"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","KEGG","Cysteine and methionine metabolism","(KEGG) Cysteine and methionine metabolism"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","KEGG","Valine, leucine and isoleucine degradation","(KEGG) Valine, leucine and isoleucine degradation"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","KEGG","Valine, leucine and isoleucine biosynthesis","(KEGG) Valine, leucine and isoleucine biosynthesis"
"KEGG_LYSINE_DEGRADATION","KEGG","Lysine degradation","(KEGG) Lysine degradation"
"KEGG_ARGININE_AND_PROLINE_METABOLISM","KEGG","Arginine and proline metabolism","(KEGG) Arginine and proline metabolism"
"KEGG_HISTIDINE_METABOLISM","KEGG","Histidine metabolism","(KEGG) Histidine metabolism"
"KEGG_TYROSINE_METABOLISM","KEGG","Tyrosine metabolism","(KEGG) Tyrosine metabolism"
"KEGG_PHENYLALANINE_METABOLISM","KEGG","Phenylalanine metabolism","(KEGG) Phenylalanine metabolism"
"KEGG_TRYPTOPHAN_METABOLISM","KEGG","Tryptophan metabolism","(KEGG) Tryptophan metabolism"
"KEGG_BETA_ALANINE_METABOLISM","KEGG","beta-Alanine metabolism","(KEGG) beta-Alanine metabolism"
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM","KEGG","Taurine and hypotaurine metabolism","(KEGG) Taurine and hypotaurine metabolism"
"KEGG_SELENOAMINO_ACID_METABOLISM","KEGG","Selenoamino acid metabolism","(KEGG) Selenoamino acid metabolism"
"KEGG_GLUTATHIONE_METABOLISM","KEGG","Glutathione metabolism","(KEGG) Glutathione metabolism"
"KEGG_STARCH_AND_SUCROSE_METABOLISM","KEGG","Starch and sucrose metabolism","(KEGG) Starch and sucrose metabolism"
"KEGG_N_GLYCAN_BIOSYNTHESIS","KEGG","N-Glycan biosynthesis","(KEGG) N-Glycan biosynthesis"
"KEGG_OTHER_GLYCAN_DEGRADATION","KEGG","Other glycan degradation","(KEGG) Other glycan degradation"
"KEGG_O_GLYCAN_BIOSYNTHESIS","KEGG","O-Glycan biosynthesis","(KEGG) O-Glycan biosynthesis"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","KEGG","Amino sugar and nucleotide sugar metabolism","(KEGG) Amino sugar and nucleotide sugar metabolism"
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","KEGG","Glycosaminoglycan degradation","(KEGG) Glycosaminoglycan degradation"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","KEGG","Glycosaminoglycan biosynthesis - chondroitin sulfate","(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE","KEGG","Glycosaminoglycan biosynthesis - keratan sulfate","(KEGG) Glycosaminoglycan biosynthesis - keratan sulfate"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","KEGG","Glycosaminoglycan biosynthesis - heparan sulfate","(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate"
"KEGG_GLYCEROLIPID_METABOLISM","KEGG","Glycerolipid metabolism","(KEGG) Glycerolipid metabolism"
"KEGG_INOSITOL_PHOSPHATE_METABOLISM","KEGG","Inositol phosphate metabolism","(KEGG) Inositol phosphate metabolism"
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","KEGG","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","(KEGG) Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"
