"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.577896297501357,1.11361428018476,9.48900076283745,1.05182371207286e-05,0.000370029682892024,3.96681515809617,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_RANKL_PATHWAY",0.428134003277696,-0.842686865371064,13.1516143185041,8.39585968262881e-07,0.000183911379234564,6.54604983613543,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_STRIATED_MUSCLE_CONTRACTION",0.404838377703765,0.079967963859191,6.15007496167628,0.000246641907771818,0.00200330924887888,0.632576758912347,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_RAP1_SIGNALLING",0.371327767831132,-0.164967324181273,15.1308312494532,2.76822147647712e-07,0.000183911379234564,7.63151545539,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",0.366949113635191,-1.87930256112557,13.1375400507166,8.4669328241627e-07,0.000183911379234564,6.53767368353389,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",0.359714074399031,0.868680375330964,7.60997884356113,5.44090089791395e-05,0.000834443877775545,2.2390959419026,"ConditionA5-ConditionG2B2"
"Pathway.KEGG_PRIMARY_IMMUNODEFICIENCY",0.342661710140113,-2.18722305197004,7.55289330430932,5.74753982452266e-05,0.000856999241692219,2.18103009123657,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_VDR_PATHWAY",0.319643591203229,2.16760210956571,11.4274310275256,2.5209651807694e-06,0.000210500592594245,5.43945801987417,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_CD40_PATHWAY",0.310791354154807,-0.593213577253911,7.18333371129988,8.26181041617514e-05,0.000999798796740036,1.79622228325199,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_SYNTHESIS_OF_PC",0.300589804571253,-0.0744348737472882,11.1997797674152,2.94714124309453e-06,0.000223714812543994,5.28016028614288,"ConditionA5-ConditionG2B2"
"Pathway.KEGG_LONG_TERM_DEPRESSION",0.296764969215684,0.272948624190484,12.6708905675564,1.12510091225018e-06,0.000187891852345781,6.25415275714567,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",0.2845339200241,-0.731694850396968,4.19058434614705,0.00286671404352027,0.0101428229929637,-1.97635285166941,"ConditionA5-ConditionG2B2"
"Pathway.PID_TCR_JNK_PATHWAY",0.278071385262175,0.341904685198673,4.40294732243717,0.00213998432431816,0.00815930096258295,-1.66695141914496,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_SIGNALING_BY_HIPPO",0.277882434492813,1.13297796220792,9.22053336436288,1.30717334600858e-05,0.000370029682892024,3.74003440780846,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.277535654112927,-0.93170377075805,3.8680451665229,0.00452583409069352,0.0137420780571967,-2.4578457070251,"ConditionA5-ConditionG2B2"
"Pathway.PID_NCADHERIN_PATHWAY",0.273867297174413,2.00939573661747,11.7165648436131,2.07555004636028e-06,0.000207076457905935,5.63706003026725,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_TALL1_PATHWAY",0.260131403568767,-1.45353652406044,9.16006801317764,1.37376289456919e-05,0.000370029682892024,3.68810488406589,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",0.243502106397203,1.042437624967,7.43670955318164,6.43246481917708e-05,0.000880509528526699,2.06172865025073,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.238744840604105,-0.360294891325188,4.62406573563693,0.00158951860299072,0.00666958810802638,-1.35155405752108,"ConditionA5-ConditionG2B2"
"Pathway.BIOCARTA_AKAP13_PATHWAY",0.232389460582581,0.455616050346653,10.4867394495711,4.89866871604782e-06,0.00028956852794501,4.75880903772308,"ConditionA5-ConditionG2B2"
"Pathway.REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY",0.230798941284153,-0.138305515660347,5.20187066665788,0.000755792675340777,0.00407152828328741,-0.560872896100014,"ConditionA5-ConditionG2B2"
