"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_UNWINDING_OF_DNA",1.69044706682939,-1.36308239330973,7.92602120623822,6.74463695584032e-05,0.0023597691643174,2.25237729259088,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_RANMS_PATHWAY",1.03833141218624,0.548385515170162,5.27200887967719,0.000934663253611625,0.00716003501619915,-0.495966866003947,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",1.03401547102377,-1.78656616173028,7.1101141527467,0.000139602910908835,0.00321382537717204,1.50005610623983,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_MCM_PATHWAY",1.02591724869059,-1.39133373693873,8.18576037113253,5.41834266640929e-05,0.00228341024132696,2.4769937543038,"ConditionD4-ConditionG2B2"
"Pathway.KEGG_DNA_REPLICATION",0.941318786063228,-1.35267046017334,5.83095359555475,0.000502073893150192,0.00538946746597877,0.159553294414208,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER",0.914261247801399,-1.41078010142893,5.45489671585663,0.000759236898641059,0.00644369781722823,-0.276498101084136,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_POL_SWITCHING",0.892532989992017,-2.04053219856729,5.61300114058785,0.000636640184559034,0.00597408604542175,-0.0907025490934972,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND",0.836957539499368,-1.67942794369685,5.58271656677513,0.000658315168913248,0.00610770184491736,-0.126011680052485,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",0.820385540912374,-1.46398645018844,5.63754675407551,0.00061965160206525,0.00594723089338488,-0.0621811569745381,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.820110713719546,-1.77228204832172,6.36103958730719,0.000288802582557395,0.00409397449608293,0.740777591931931,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_G0_AND_EARLY_G1",0.797692064163701,-1.47874403153795,5.80491599346489,0.000516356164405152,0.00538946746597877,0.130009955676192,"ConditionD4-ConditionG2B2"
"Pathway.PID_FOXM1_PATHWAY",0.700778102817027,-0.994784710274801,5.3586101526557,0.000846568938342033,0.00685750784801232,-0.391430847982576,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION",0.70066084644837,-2.06849345719609,5.1671368166386,0.00105515112297558,0.00723078313120433,-0.624044765177961,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_RB_PATHWAY",0.681299671866301,0.206552794215103,5.29977003473465,0.00090536780767898,0.00699983443899952,-0.462335917557386,"ConditionD4-ConditionG2B2"
"Pathway.KEGG_MISMATCH_REPAIR",0.658106833078716,-1.08492869321943,5.81646935198808,0.00050996401559495,0.00538946746597877,0.143130616439691,"ConditionD4-ConditionG2B2"
"Pathway.PID_PLK1_PATHWAY",0.653181576273955,-0.751385211780121,4.79147116945113,0.00164982182712744,0.00896046860422254,-1.09636556349618,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_SRCRPTP_PATHWAY",0.598767766102532,-0.0981743785718719,4.56023901039513,0.00219433943500456,0.0109230778850652,-1.39769733188577,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_KINESINS",0.583718866331936,-1.11207597525569,5.21783714311833,0.000994888500177322,0.0072237556317223,-0.561921456410624,"ConditionD4-ConditionG2B2"
"Pathway.PID_ATR_PATHWAY",0.573611700947008,-0.936168330476058,5.38334265921025,0.000823123385289608,0.00680502996749329,-0.361779149595917,"ConditionD4-ConditionG2B2"
"Pathway.REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1",0.558849629482743,-0.109119562273602,6.94045846738313,0.000163727300367287,0.00321783181553802,1.33412729521479,"ConditionD4-ConditionG2B2"
"Pathway.BIOCARTA_AKAP95_PATHWAY",0.526915167322065,0.467277345595141,4.44340891912697,0.0025420479955173,0.012129200435754,-1.55301914154155,"ConditionD4-ConditionG2B2"
