"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.KEGG_NITROGEN_METABOLISM",0.525602118229932,-0.775712006747724,13.248342206282,3.12338263249976e-07,2.89780499793033e-05,7.43619549705319,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.494601660769265,-0.527840016668114,14.0791044470872,1.84346552839208e-07,2.89780499793033e-05,7.96670796976359,"ConditionH10-ConditionG2B2"
"Pathway.BIOCARTA_RAB_PATHWAY",0.456541750746338,0.906719988078231,9.69466931383242,4.442596943451e-06,0.000142675709530061,4.69979142363309,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.389571372946815,-1.55146974471742,12.5734847875876,4.90331145631826e-07,4.09426506602575e-05,6.97845462095612,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.369409109697843,0.294554619075299,13.3763725455111,2.87404345729794e-07,2.89780499793033e-05,7.5202490542594,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_UNWINDING_OF_DNA",0.33135257987991,-2.04262963678447,6.07547192197059,0.00018045492838509,0.0014532476642321,0.782619989192629,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_PHENYLALANINE_METABOLISM",0.325387397922177,-2.18969787701034,9.71573373869827,4.36301454527508e-06,0.000142675709530061,4.71870662522429,"ConditionH10-ConditionG2B2"
"Pathway.PID_EPHA2_FWD_PATHWAY",0.320987561176739,1.09340331047528,10.3497772348227,2.57031931365102e-06,0.000121234786724213,5.27099412627863,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_HS_GAG_BIOSYNTHESIS",0.308153438126469,-0.531459629412879,9.86963048990088,3.82704927665695e-06,0.000135383985650604,4.85576997507133,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.284733737180689,-1.08170308111187,10.3293148764229,2.61344450423453e-06,0.000121234786724213,5.25367094309975,"ConditionH10-ConditionG2B2"
"Pathway.PID_HDAC_CLASSIII_PATHWAY",0.274085822263482,0.573071430818739,8.75964065487828,1.02631611729748e-05,0.000238048321650944,3.82055570596974,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.263911900613915,-0.0908765489649546,9.01590612899241,8.10127351952848e-06,0.000208478051743866,4.06949742942374,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.261484688286527,-0.0397404485149616,6.78525559759948,7.82432776426334e-05,0.000806581936192579,1.6704101286227,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_ARGININE_AND_PROLINE_METABOLISM",0.259576163663856,-0.274350884465641,9.14154057892061,7.22870097837864e-06,0.000201198843898205,4.18928552343298,"ConditionH10-ConditionG2B2"
"Pathway.BIOCARTA_P53_PATHWAY",0.252227882450997,0.340513908949515,7.05060051961073,5.81481729730132e-05,0.000714025359300971,1.98555721097234,"ConditionH10-ConditionG2B2"
"Pathway.BIOCARTA_MCM_PATHWAY",0.248678784204307,-1.77995296918187,6.87660908358661,7.05774598198727e-05,0.000775423407231496,1.779905852297,"ConditionH10-ConditionG2B2"
"Pathway.PID_EPHA_FWDPATHWAY",0.248456516741902,-0.413041137823816,9.91693926044825,3.67719341148553e-06,0.000135383985650604,4.89750833944092,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_CIRCADIAN_RHYTHM_MAMMAL",0.246012032929979,0.236438842103242,6.9631147440954,6.40692436628612e-05,0.000743025256367904,1.88262312398412,"ConditionH10-ConditionG2B2"
"Pathway.KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.243318371901462,-1.36293267307382,10.8382640212046,1.74195435089811e-06,9.69687921999947e-05,5.67513043775491,"ConditionH10-ConditionG2B2"
"Pathway.PID_P38_GAMMA_DELTA_PATHWAY",0.242467725965163,-0.273466557251216,5.62326536217576,0.000317879064137929,0.00221190848795975,0.181257730516107,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_SIGNAL_ATTENUATION",0.241757277447393,0.5280956322582,9.64137398550487,4.65118014526622e-06,0.00014384205264064,4.65176557670067,"ConditionH10-ConditionG2B2"
"Pathway.REACTOME_HS_GAG_DEGRADATION",0.240930953708648,0.136027028489511,9.43946014196206,5.54501516713095e-06,0.000165360273734084,4.46759845505633,"ConditionH10-ConditionG2B2"
