"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.846194388551014,-0.0909614861118605,3.40218930698375,0.0133576370892778,0.0314186675198505,-3.96085238443055,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.836237061566138,-1.19577873283656,9.48478653583412,5.75338089989708e-05,0.000800678841902343,2.11456106190962,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_STEROID_BIOSYNTHESIS",0.820389905444973,-0.751043025760717,3.57368529256738,0.0107605506705915,0.0263491490027681,-3.72533321447498,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_NITROGEN_METABOLISM",0.669540412394418,-0.77960134350585,12.9236366441088,8.88302666156467e-06,0.000279522623395565,4.1880824755648,"ConditionI45F-ConditionG2B2"
"Pathway.PID_RHODOPSIN_PATHWAY",0.655725385686946,-2.20608565639504,6.42289255595037,0.000548075392117132,0.00313454076998497,-0.414575668081227,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",0.540621865640897,-0.580923037410579,3.27291600407065,0.0157678580890007,0.034923505316487,-4.14077649076467,"ConditionI45F-ConditionG2B2"
"Pathway.PID_CONE_PATHWAY",0.522551554235057,-3.39719621627999,20.3961229747469,5.29361791154666e-07,6.31452993734495e-05,7.20653996618535,"ConditionI45F-ConditionG2B2"
"Pathway.KEGG_PHENYLALANINE_METABOLISM",0.520254121525461,-2.45005187985141,5.8026512872111,0.000958718022364176,0.00442276619380695,-1.04191772121483,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",0.479540701407916,-0.199802245034572,13.6034811120525,6.49004037720125e-06,0.000265814580117273,4.53228040822865,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_ACTIVATION_OF_RAC",0.469206819303928,0.59424123755334,26.7435289333978,9.73237496327855e-08,4.76031263345581e-05,8.89794248257876,"ConditionI45F-ConditionG2B2"
"Pathway.REACTOME_SIGNALING_BY_HIPPO",0.422631721266784,0.933830991513639,25.5342185996383,1.30048304682082e-07,4.76031263345581e-05,8.61749582843522,"ConditionI45F-ConditionG2B2"
