"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.KEGG_STEROID_BIOSYNTHESIS",1.00910662373427,-0.845401384905364,4.37659289506197,0.00421397503766191,0.0113872788234553,-2.34044114714044,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.991522483128606,-0.163625533400656,3.97843807226731,0.00666184565916311,0.01640897087139,-2.84327153512278,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.795758642818262,-1.17553952346262,9.07375568845032,7.76779643896283e-05,0.000960442729207321,2.06717073362708,"ConditionI45F-ConditionI47F"
"Pathway.KEGG_NITROGEN_METABOLISM",0.674349166144508,-0.782005720380895,12.4444381484828,1.1746851026436e-05,0.00046707717176543,4.09555485750244,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.621763758708144,0.249059540981898,5.10663859792459,0.00193168898234941,0.00666512520769321,-1.47941097340213,"ConditionI45F-ConditionI47F"
"Pathway.KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",0.588808662931722,-0.605016436055992,3.53909203811785,0.0113559189567664,0.0246932091898437,-3.42487373296166,"ConditionI45F-ConditionI47F"
"Pathway.KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.570223273268213,0.185457906245828,6.16714224591772,0.000703737810206804,0.00341640157862024,-0.360955926440271,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_GLUCONEOGENESIS",0.539207172359152,0.381312777657927,4.7818280699366,0.00270801815168337,0.00842099362053164,-1.85286495666504,"ConditionI45F-ConditionI47F"
"Pathway.REACTOME_GLYCOLYSIS",0.520115646812005,1.61764936016807,5.24980901639432,0.00167191983858946,0.00609630159485677,-1.31957890655939,"ConditionI45F-ConditionI47F"
"Pathway.BIOCARTA_CELLCYCLE_PATHWAY",0.512349684593348,-1.82644479024351,11.4434577151391,1.94958829517163e-05,0.000588624408515129,3.5590858997037,"ConditionI45F-ConditionI47F"
