"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.PID_RHODOPSIN_PATHWAY",-0.299398883526642,-1.93493386212275,-9.7586467121816,1.16581380574976e-20,1.02241870764254e-17,36.1510237314979,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",0.310861166143349,-0.910412883036468,7.99533080542868,9.54966339297684e-15,4.18752739782034e-12,22.9112165703048,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_ALK_PATHWAY",0.213062264087843,-0.492490727437298,7.68437400932437,8.5969529885167e-14,2.06526488409939e-11,20.7802449341643,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_TOB1_PATHWAY",0.415691759389117,-0.707808354695865,7.63437473754943,1.21660401543116e-13,2.06526488409939e-11,20.4437252714212,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.268740352439867,-0.83000245430934,7.62540358163056,1.29458033301842e-13,2.06526488409939e-11,20.3835265820118,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",0.244191509875892,-1.24458676340951,7.60916267577149,1.44847449771584e-13,2.06526488409939e-11,20.2746869472915,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_ERK_PATHWAY",0.141460333012541,0.894702245794179,7.59043178288835,1.64844403519906e-13,2.06526488409939e-11,20.1493861758361,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.PID_ANGIOPOIETIN_RECEPTOR_PATHWAY",0.199107716007711,-0.340924623777981,7.47288822893706,3.69084201887177e-13,4.04608556318818e-11,19.3686209222221,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.PID_FAK_PATHWAY",0.0970760236005908,0.596089663413612,7.38214001482204,6.83177153584115e-13,6.65718181881409e-11,18.7724293011373,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_CTCF_PATHWAY",0.213234182661372,-0.651060838264159,7.35370336254219,8.27587627833203e-13,7.25794349609719e-11,18.586798191709,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",-0.219269214069839,-1.35864965833722,-7.22431145939164,1.96625135493936e-12,1.5676385802562e-10,17.7493683357719,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION",-0.159870153537447,-1.43603856155612,-7.20036712555779,2.3047470142111e-12,1.60462869589688e-10,17.5957056757859,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.KEGG_BASAL_TRANSCRIPTION_FACTORS",-0.139709467185498,-0.465727891189262,-7.19560628189396,2.37858301558261e-12,1.60462869589688e-10,17.565201825462,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.PID_DNA_PK_PATHWAY",-0.167208668857642,-0.609869523478294,-7.1467242686431,3.28494047663875e-12,2.0577805700087e-10,17.2529425489812,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.BIOCARTA_MCM_PATHWAY",-0.205717690649316,-1.30184872199377,-7.02986044201,7.05870760240686e-12,4.05281860184631e-10,16.51338768151,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",-0.170816020233012,-1.56421560930333,-7.02272250801394,7.39396780268426e-12,4.05281860184631e-10,16.4685366323539,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",-0.162557208740785,-1.16757974141357,-6.97814870048394,9.87099278348565e-12,5.09227098300995e-10,16.1892962341507,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.PID_PTP1B_PATHWAY",0.197374602203505,-0.409014672160157,6.93616785380447,1.29411861553558e-11,6.30523347680393e-10,15.9276246986941,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",-0.0999372140880508,0.318913307840464,-6.92491288505521,1.39127067100337e-11,6.42181251826293e-10,15.8576902259739,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
"Pathway.KEGG_HOMOLOGOUS_RECOMBINATION",-0.163461315671096,-1.7266283073461,-6.79734733716807,3.13999748343375e-11,1.35629331654432e-09,15.0715501179964,"Tissue.DiagnosisTCX.AD-Tissue.DiagnosisTCX.CONTROL"
