"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.REACTOME_SIGNALING_BY_HIPPO",0.296536830411087,-0.210540766573326,5.97794897916715,3.58719461765703e-09,3.1136849281263e-06,10.5713219560234,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION",0.16193010130417,-0.555119454513531,5.56301010416396,3.76620442817163e-08,1.10223033611475e-05,8.34817770816432,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.PID_ERBB4_PATHWAY",0.0830349451124839,-0.235363699141079,5.53583674656709,4.37092356298755e-08,1.10223033611475e-05,8.20766904692159,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.BIOCARTA_RANMS_PATHWAY",-0.154647892833331,-0.179843667747075,-5.50830707490586,5.07940247057489e-08,1.10223033611475e-05,8.06595959776589,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.BIOCARTA_PTDINS_PATHWAY",-0.138314640648931,0.865890132854427,-5.29544309418004,1.58774431604906e-07,2.32236339915956e-05,6.99213388592248,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.PID_HES_HEY_PATHWAY",0.1626448649676,-0.14937656294212,5.25243269990019,1.98951463501719e-07,2.32236339915956e-05,6.77989101623738,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",-0.162913954235815,1.64819952809372,-5.24057327266401,2.11659895509759e-07,2.32236339915956e-05,6.72164926428595,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC",-0.126059432323112,2.30294651841607,-5.23842666379159,2.14042709599959e-07,2.32236339915956e-05,6.71112023510544,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY",0.230522173857169,-0.691181804951472,5.17843052040435,2.92206625446098e-07,2.81817056541348e-05,6.41845374203934,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
"Pathway.REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",-0.183866995235716,0.398622155248836,-5.14135036843856,3.53647303815634e-07,3.0696585971197e-05,6.23913229330521,"Tissue.DiagnosisPHG.AD-Tissue.DiagnosisPHG.CONTROL"
