"","logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast"
"Pathway.ST_T_CELL_SIGNAL_TRANSDUCTION",0.0546024936897621,-0.220555062432693,4.07996289377495,5.09602834015602e-05,0.0299483444823464,1.52408459283625,"DiagnosisAD-DiagnosisControl"
"Pathway.PID_ARF_3PATHWAY",-0.0439244727910031,1.35143302206003,-3.92034083365855,9.83381338944162e-05,0.0299483444823464,0.914138795776025,"DiagnosisAD-DiagnosisControl"
"Pathway.KEGG_BETA_ALANINE_METABOLISM",-0.0925111488063461,0.359224251273962,-3.90452240603396,0.00010482982841469,0.0299483444823464,0.854952208640646,"DiagnosisAD-DiagnosisControl"
"Pathway.KEGG_ARGININE_AND_PROLINE_METABOLISM",-0.065324323732419,0.489994339724481,-3.78432833516755,0.000169167047157117,0.0299483444823464,0.41267369861006,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_CALNEXIN_CALRETICULIN_CYCLE",-0.0644979612771588,0.898023005216485,-3.77638544357318,0.000174524151995026,0.0299483444823464,0.383910401769983,"DiagnosisAD-DiagnosisControl"
"Pathway.PID_S1P_META_PATHWAY",0.0558117114065287,-0.0791518539850953,3.58568405168284,0.000362811720137732,0.0379084868271916,-0.289323960206628,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_SIGNALING_BY_NODAL",0.0624062433490364,-0.443183357366408,3.54254262083098,0.000426234155463533,0.0379084868271916,-0.436993617208185,"DiagnosisAD-DiagnosisControl"
"Pathway.ST_FAS_SIGNALING_PATHWAY",0.0370055595348278,0.101856380673523,3.53051343415668,0.00044568696164385,0.0379084868271916,-0.477862897559296,"DiagnosisAD-DiagnosisControl"
"Pathway.KEGG_BUTANOATE_METABOLISM",-0.125742716523958,0.268872303206511,-3.52601533987962,0.000453172023946229,0.0379084868271916,-0.493110954003092,"DiagnosisAD-DiagnosisControl"
"Pathway.ST_GA13_PATHWAY",0.0345725441701561,-0.102781889091909,3.51734863900296,0.000467926553676674,0.0379084868271916,-0.522437538131359,"DiagnosisAD-DiagnosisControl"
"Pathway.BIOCARTA_AKT_PATHWAY",0.0572397151456613,-0.0562809801435152,3.48586399195465,0.000525393224622202,0.0379084868271916,-0.628392911485544,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_SIGNALING_BY_SCF_KIT",0.0315027064797253,-0.0892462645070018,3.46190751411294,0.000573465983107179,0.0379084868271916,-0.708400622755662,"DiagnosisAD-DiagnosisControl"
"Pathway.BIOCARTA_RAS_PATHWAY",0.0587076192625136,1.15689560763313,3.46147474696884,0.000574371012533206,0.0379084868271916,-0.709841064615132,"DiagnosisAD-DiagnosisControl"
"Pathway.PID_FAK_PATHWAY",0.0422186597604247,0.65645360844831,3.40857479697922,0.000695608280169462,0.041888237080822,-0.884611356304995,"DiagnosisAD-DiagnosisControl"
"Pathway.KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.0254851160482078,0.545512833252938,3.37869119261357,0.000774237645295816,0.041888237080822,-0.9821957232743,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_MRNA_CAPPING",-0.0710134734622201,0.228558435867201,-3.37141116133712,0.000794607456465488,0.041888237080822,-1.00584321018768,"DiagnosisAD-DiagnosisControl"
"Pathway.PID_LYSOPHOSPHOLIPID_PATHWAY",0.0313434230314662,0.176546811069828,3.35918116787586,0.000829953415354282,0.041888237080822,-1.04545891048559,"DiagnosisAD-DiagnosisControl"
"Pathway.REACTOME_PEROXISOMAL_LIPID_METABOLISM",-0.0663622141620395,-0.918583518329612,-3.31492740659576,0.000970434607569872,0.0462573829608306,-1.18764749302814,"DiagnosisAD-DiagnosisControl"
"Pathway.KEGG_PROTEIN_EXPORT",-0.0602717968554263,1.36123377980814,-3.26628346780763,0.00115013193452806,0.0463726017641227,-1.341843580216,"DiagnosisAD-DiagnosisControl"
"Pathway.PID_ERBB4_PATHWAY",0.0313478122417247,-0.351944978795487,3.26432296471196,0.00115798308351959,0.0463726017641227,-1.34801205179488,"DiagnosisAD-DiagnosisControl"
