"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"GRIA2","ENSG00000120251",4.81908684486206,6.41431778781389,2.77664494405597e-277,5.5469036047406e-273,"UP"
"HOXB2","ENSG00000173917",-9.36818711575133,4.25804728753116,1.43648957301431e-245,1.43483761000534e-241,"DOWN"
"CPT1C","ENSG00000169169",6.51663977423563,4.90379093682056,1.27923544492126e-243,8.5184288277307e-240,"UP"
"NRN1","ENSG00000124785",6.43470433480011,4.65340304500245,1.43803121822367e-213,7.18188741161357e-210,"UP"
"FAM127B","ENSG00000203950",-4.64933078371242,4.87505442638416,2.79817305671037e-186,1.11798206307806e-182,"DOWN"
"SPAG16","ENSG00000144451",4.88627835892274,4.95077289536247,1.42589525599659e-176,4.74751825484065e-173,"UP"
"GRIA3","ENSG00000125675",-3.20913770358469,6.02020684485852,5.25412108666535e-173,1.49945109926162e-169,"DOWN"
"PPFIA2","ENSG00000139220",5.4559607578156,4.49071797113949,7.07927369067604e-161,1.76778313148294e-157,"UP"
"HOXB3","ENSG00000120093",-3.11502917334801,6.38290751525235,2.2845463331025e-144,5.07093134404317e-141,"DOWN"
"ZDBF2","ENSG00000204186",4.1007914565609,5.1211113544531,2.27092643605095e-131,4.53662974129898e-128,"UP"
"DLL3","ENSG00000090932",-3.53058690029605,4.90024684897715,1.31393386479179e-129,2.38622334699505e-126,"DOWN"
"ARMCX1","ENSG00000126947",6.80914185788763,3.12601505479672,1.12043887851651e-127,1.86525062301037e-124,"UP"
"MEG3","ENSG00000214548",-3.63021784974545,7.03352548582288,2.95823490012945e-114,4.54589681537584e-111,"DOWN"
"KCNJ6","ENSG00000157542",-4.13398589761872,3.97993710793001,6.10810252137548e-113,8.71582600496557e-110,"DOWN"
"EPHA7","ENSG00000135333",7.0379611765486,3.54140821897105,4.60219789616318e-106,6.12920715811012e-103,"UP"
"HOXB4","ENSG00000182742",-3.12480691305473,4.29764335285757,7.18314217176157e-106,8.96860194783005e-103,"DOWN"
"PKIA","ENSG00000171033",3.84351065855666,4.03000887565542,4.12406336509889e-102,4.8462596379165e-99,"UP"
"RP3-326L13.3","ENSG00000272294",11.1928484628022,3.56565791076262,5.74384501268665e-99,6.37471065658006e-96,"UP"
"CTSF","ENSG00000174080",-1.87497758519661,6.48708132844601,4.67910346962948e-92,4.9197078954099e-89,"DOWN"
"H1F0","ENSG00000189060",4.89367766051196,3.84009034107098,8.30623865751831e-90,8.29668648306217e-87,"UP"
"CDK6","ENSG00000105810",-2.38535082858776,6.35411616220636,7.58778879049144e-89,7.21815507941178e-86,"DOWN"
"DLX6-AS1","ENSG00000231764",-6.09976748210709,2.6292245947283,9.9951852727405e-89,9.07608255425168e-86,"DOWN"
"ZNF69","ENSG00000198429",4.83256968888433,3.30152308471333,7.61418905858028e-86,6.61341977492427e-83,"UP"
"CHST6","ENSG00000183196",-3.44089782219804,3.67909339073666,2.66029245310093e-80,2.21436093064988e-77,"DOWN"
