"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"SPAG16","ENSG00000144451",4.88062715742112,4.95077289536247,2.62044806952528e-180,5.23486910849064e-176,"UP"
"ZDBF2","ENSG00000204186",3.85964721438109,5.1211113544531,1.86727307842159e-117,1.8651257143814e-113,"UP"
"PPFIA2","ENSG00000139220",4.42060952577912,4.49071797113949,3.54045771134873e-105,2.35759078998712e-101,"UP"
"AEBP1","ENSG00000106624",-2.24967267764885,6.75430861437024,1.07897153679351e-103,5.38865359763096e-100,"DOWN"
"ST6GALNAC5","ENSG00000117069",2.98395811966026,4.47340377987797,1.71789301651988e-93,6.86366975820355e-90,"UP"
"EMP1","ENSG00000134531",-3.74477640441528,7.46888176314121,6.04507356962367e-92,2.0127072450062e-88,"DOWN"
"RP3-326L13.3","ENSG00000272294",11.2770117391927,3.56565791076262,2.20155338672704e-91,6.28291885809229e-88,"UP"
"CLIP4","ENSG00000115295",-2.84089183631898,4.78618356520983,3.43750754422297e-88,8.58388602636779e-85,"DOWN"
"POU3F4","ENSG00000196767",10.9769900531653,3.08463326301038,1.76201016468319e-85,3.91107522887511e-82,"UP"
"C3orf14","ENSG00000114405",-6.03505214383902,3.0075332244025,7.97491345127052e-85,1.59314846016031e-81,"DOWN"
"PEX11A","ENSG00000166821",-3.20088551600164,3.27958838095467,1.97772624690533e-78,3.59173065767526e-75,"DOWN"
"ZFPM2-AS1","ENSG00000251003",-11.9142914565761,1.85597252306467,2.95872549919223e-73,4.92553827478027e-70,"DOWN"
"LDB2","ENSG00000169744",3.02180508824005,4.3940031650579,8.69244785013943e-70,1.33576177463258e-66,"UP"
"NMRAL1","ENSG00000153406",-3.1610506540135,4.26661771647868,6.6461184740734e-65,9.48353633975459e-62,"DOWN"
"DNER","ENSG00000187957",2.02563713369326,5.69669611832994,2.20946751652094e-63,2.94256883850259e-60,"UP"
"CAV1","ENSG00000105974",-2.95813752413697,6.27065029357112,2.71510578488776e-62,3.38997926654392e-59,"DOWN"
"PID1","ENSG00000153823",2.30108868364379,4.45882971152285,2.66075155780077e-60,3.12669611001094e-57,"UP"
"CTSF","ENSG00000174080",-1.46166992867151,6.48708132844601,1.06910694629322e-59,1.18653052589443e-56,"DOWN"
"MAOA","ENSG00000189221",4.00986245787227,3.90611033095125,5.46763286476298e-59,5.74878430207211e-56,"UP"
"CDCA7","ENSG00000144354",2.09259276312129,6.19836479089966,1.24459681841171e-57,1.24316553207054e-54,"UP"
"SPP1","ENSG00000118785",-4.58273009708257,4.50581695176902,2.0116836996545e-57,1.91368596514276e-54,"DOWN"
"HS3ST3B1","ENSG00000125430",1.80732382050107,4.99325304026011,1.33201688469582e-56,1.20953187752584e-53,"UP"
"CPS1","ENSG00000021826",2.41528850320541,5.58829396411733,2.38148652748088e-55,2.0684763634559e-52,"UP"
"SYNE2","ENSG00000054654",1.31423446510175,6.62155673543191,8.90048371095309e-55,7.40854012890458e-52,"UP"
"PKIA","ENSG00000171033",2.85098809258028,4.03000887565542,6.63296517207376e-54,5.3002698097007e-51,"UP"
"EPHX2","ENSG00000120915",-6.70561091949908,1.82214022554359,3.7965816544258e-53,2.91708891194093e-50,"DOWN"
"C5orf63","ENSG00000164241",-5.57310547887755,1.5643573264546,1.02002647169175e-52,7.5470625277726e-50,"DOWN"
"EFEMP2","ENSG00000172638",-1.24467474106199,6.56166829507568,1.5282977396321e-48,1.09038585516538e-45,"DOWN"
"CPE","ENSG00000109472",1.68398889557612,8.7001225133432,2.83314732234177e-48,1.95164772615246e-45,"UP"
"LARGE","ENSG00000133424",-2.9700940368489,4.1625668607894,4.22784343658878e-48,2.81532094442447e-45,"DOWN"
"NLRP2","ENSG00000022556",-2.46955605766024,3.77537481817599,9.37880843812373e-47,6.04388568285154e-44,"DOWN"
"SLFN11","ENSG00000172716",2.63652928860362,3.9226111438049,5.15565830630525e-46,3.21858081203312e-43,"UP"
"ZNF69","ENSG00000198429",3.73394024490123,3.30152308471333,7.27277329523177e-46,4.40267248844985e-43,"UP"
"GJA1","ENSG00000152661",-1.31121947953735,8.12589949529907,9.6648606980306e-44,5.61554990844681e-41,"DOWN"
"PSEN1","ENSG00000080815",2.22121596483867,7.84476330900718,9.83852664542416e-44,5.61554990844681e-41,"UP"
"MAGEH1","ENSG00000187601",-1.40535353973679,5.44404647680548,1.23635723955242e-43,6.86075238181628e-41,"DOWN"
"SLCO1C1","ENSG00000139155",1.72826491755569,5.31336279950034,2.09971313546586e-43,1.10620159131208e-40,"UP"
"PRRX1","ENSG00000116132",2.40221042467783,3.41545869398986,2.10420285677825e-43,1.10620159131208e-40,"UP"
"CDH6","ENSG00000113361",2.09736091015774,4.65691684656111,1.3294262153468e-42,6.80973012922641e-40,"UP"
"PRTFDC1","ENSG00000099256",1.28543115612693,5.33705358960339,2.25918366009625e-42,1.12829279944357e-39,"UP"
"DLL3","ENSG00000090932",-1.65037436514168,4.90024684897715,7.37481939780919e-42,3.59333578317156e-39,"DOWN"
"RHBDL3","ENSG00000141314",-1.19709131393594,6.70294574034094,1.87566484736658e-41,8.9214658704386e-39,"DOWN"
"FAM127C","ENSG00000212747",4.02294584027259,3.11317075410324,1.22705037051777e-40,5.70064773298452e-38,"UP"
"PROM1","ENSG00000007062",-1.41615322114615,4.9528290670918,1.84009803865464e-40,8.35446329959175e-38,"DOWN"
"ME1","ENSG00000065833",-3.8986568463902,3.90496665985818,7.32470207501226e-40,3.25167940783378e-37,"DOWN"
"NKX6-2","ENSG00000148826",-2.93736790502343,2.18479808803823,1.75760360425333e-39,7.63296678308017e-37,"DOWN"
"EPHA7","ENSG00000135333",4.6255375740222,3.54140821897105,2.41791157527469e-39,1.02771530934601e-36,"UP"
"NFATC4","ENSG00000100968",-1.49446783900991,6.16275642218309,6.40037086083678e-39,2.66375434764451e-36,"DOWN"
"EFCAB1","ENSG00000034239",-2.82145554798415,4.33414933400808,5.24240481155689e-38,2.10205522302237e-35,"DOWN"
"TFPI","ENSG00000003436",-1.53449358233923,5.31185076473089,5.26118842424382e-38,2.10205522302237e-35,"DOWN"
"ENPP2","ENSG00000136960",-2.70821281272395,4.27827737530827,6.08082174617475e-38,2.38189364751633e-35,"DOWN"
"ZHX1","ENSG00000165156",1.00170324877522,6.7626269399583,7.41152303525455e-38,2.84730760914e-35,"UP"
"TOP2A","ENSG00000131747",3.36914251034608,7.27184412048903,3.2785773869994e-37,1.23577623509598e-34,"UP"
"KCTD12","ENSG00000178695",1.44608937573421,6.39965015943443,9.52634117949668e-37,3.52421699523713e-34,"UP"
"FANCI","ENSG00000140525",2.44112608971118,5.90141930241733,2.27004797146271e-36,8.24522696834739e-34,"UP"
"FTH1","ENSG00000167996",-1.21453220957624,7.98509074155033,2.98549447924571e-36,1.06502184306949e-33,"DOWN"
"RPRD2","ENSG00000163125",-1.15254514142617,6.54434485283297,3.06070342348011e-36,1.07269600510284e-33,"DOWN"
"PLA2G16","ENSG00000176485",-1.75622963466147,4.82959328459384,3.66891336114574e-36,1.24479756382921e-33,"DOWN"
"CHST6","ENSG00000183196",-1.98432693880035,3.67909339073666,3.67638065104486e-36,1.24479756382921e-33,"DOWN"
"NQO1","ENSG00000181019",-1.30080407983353,5.72648275145381,3.89020007245144e-36,1.29524211412271e-33,"DOWN"
"CDKN2A","ENSG00000147889",-2.13042441179009,3.53363868606757,9.92291428762913e-36,3.23873888678773e-33,"DOWN"
"APOE","ENSG00000130203",-1.56469831102174,9.23583700222757,1.00516499464804e-35,3.23873888678773e-33,"DOWN"
"ZNF22","ENSG00000165512",2.0074987956438,3.95086545966606,1.67319026313804e-35,5.30560664868389e-33,"UP"
"KLHL9","ENSG00000198642",-1.01370035036456,6.46054720489875,3.6763161543829e-35,1.14752762212667e-32,"DOWN"
"XRCC2","ENSG00000196584",2.10849881049487,4.46666142473905,4.56605777045901e-35,1.40332517046861e-32,"UP"
