"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"USP9Y","ENSG00000114374",10.1764068074325,5.96790083872701,0,0,"UP"
"ROBO2","ENSG00000185008",-7.94991534534028,5.97540119150128,0,0,"DOWN"
"MFAP4","ENSG00000166482",-5.83285618051939,6.33242898908723,6.09509194705763e-244,3.73608819381476e-240,"DOWN"
"AFF2","ENSG00000155966",6.11647130610825,4.29671529821794,7.17729849746438e-225,3.29958355174681e-221,"UP"
"CDH20","ENSG00000101542",-9.30560905035245,4.0220658273818,1.16495029607302e-200,4.28445419889737e-197,"DOWN"
"CPT1C","ENSG00000169169",-5.9035275247236,4.9309377043943,1.70958770590774e-189,5.23960138732291e-186,"DOWN"
"SATB1","ENSG00000182568",-3.57415277992676,5.06465270252049,9.12603066108468e-167,2.39740825466694e-163,"DOWN"
"SHISA6","ENSG00000188803",3.93843803823672,6.77443218059567,3.20299464819542e-162,7.36248357320819e-159,"UP"
"ARMCX1","ENSG00000126947",-8.92866224268822,3.58211626439666,1.02254254798801e-160,2.08928165721684e-157,"DOWN"
"CCDC8","ENSG00000169515",-7.26277422237429,3.96009468485269,1.01177984261988e-159,1.8605619525937e-156,"DOWN"
"LDB2","ENSG00000169744",-7.23930018755261,3.1992847651837,1.02738293625765e-158,1.71750407407653e-155,"DOWN"
"GRIA2","ENSG00000120251",-3.94921486837793,6.46803447364778,1.95702803108833e-146,2.99898237197361e-143,"DOWN"
"ZFPM2-AS1","ENSG00000251003",9.938388627678,3.23879084185686,9.44301627991944e-144,1.33575097208799e-140,"UP"
"LMO1","ENSG00000166407",5.12012835945529,4.35675476306813,3.4033634598024e-139,4.47031790445045e-136,"UP"
"CLVS2","ENSG00000146352",-6.88015712474618,4.33492412390227,3.86927563193786e-137,4.74347397304701e-134,"DOWN"
"SLIT2","ENSG00000145147",4.47422582887315,4.40386089915517,7.918716758173e-129,9.1010801541277e-126,"UP"
"ARMCX4","ENSG00000196440",-3.83541057794263,4.09607337250846,6.32012660921921e-124,6.83651813040776e-121,"DOWN"
"NKX2-5","ENSG00000183072",9.1851837878389,2.97486859766458,3.25323962771428e-122,3.32354575077988e-119,"UP"
"TFAP2A","ENSG00000137203",3.94837461436574,3.65577159005821,2.75162714391094e-120,2.66314060786201e-117,"UP"
"TTTY15","ENSG00000233864",9.83223413818849,3.86258468981718,8.84168200523126e-116,8.12948451970988e-113,"UP"
"ADAMTSL1","ENSG00000178031",-5.16647207744979,3.34339318112939,1.37092292876198e-104,1.20047151128591e-101,"DOWN"
"ETV1","ENSG00000006468",2.27116275290604,7.89976143220838,9.72552615528991e-102,8.12921365771028e-99,"UP"
"EPB41L3","ENSG00000082397",-6.1096036693116,2.82569581791865,1.03843373117298e-100,8.3025034271913e-98,"DOWN"
"LINGO1","ENSG00000169783",-2.90144810005534,6.39535898995088,3.11885269398698e-98,2.38969092457194e-95,"DOWN"
"NRG3","ENSG00000185737",-6.869801816215,2.20344795561491,8.76089789655506e-95,6.44416605679004e-92,"DOWN"
"ARMCX5","ENSG00000125962",7.91856252788823,2.26701318657652,3.94302271109224e-94,2.78877863977982e-91,"UP"
"CMBL","ENSG00000164237",4.22275703007861,4.72781087162308,1.06873475458643e-93,7.27887533410735e-91,"UP"
"CPLX1","ENSG00000168993",2.06198623515024,7.77364212274396,1.13495715157891e-91,7.45383109299446e-89,"UP"
"TIMP4","ENSG00000157150",2.83576331248342,5.62261674449664,9.35492218913229e-89,5.93198841848116e-86,"UP"
"PI16","ENSG00000164530",-5.35708563602043,2.80687071922575,4.04856051440072e-88,2.4816326433105e-85,"DOWN"
"NMRAL1","ENSG00000153406",-3.09244632494108,3.93980204823621,7.83074003819274e-86,4.64514446975246e-83,"DOWN"
"BAI1","ENSG00000181790",2.18450499999784,7.3990937605744,1.26559353871774e-82,7.27281236983768e-80,"UP"
"SLC44A5","ENSG00000137968",-4.23539286274235,3.48825764132782,4.31221377119316e-82,2.40294845571125e-79,"DOWN"
"CSRP1","ENSG00000159176",-2.10338582428838,5.90845599268894,3.29714816462986e-79,1.78327228233466e-76,"DOWN"
"PRDM8","ENSG00000152784",-5.46892276328031,3.71587345578294,1.31933839799526e-74,6.93180394306709e-72,"DOWN"
"KCNT2","ENSG00000162687",-4.06568725322349,2.99855438237703,1.09748505060845e-72,5.60601460989965e-70,"DOWN"
"C3orf14","ENSG00000114405",-3.9118615393395,2.9425535091113,3.26806473707091e-72,1.62422817432424e-69,"DOWN"
"WSCD1","ENSG00000179314",1.88801516877898,8.39566211008098,1.45303652580486e-70,7.03154965079622e-68,"UP"
"C3orf70","ENSG00000187068",-2.7411809081829,5.27372109395613,2.16179686263e-70,1.01931493607444e-67,"DOWN"
"DDIT4L","ENSG00000145358",-6.77271198992074,1.48229880192683,3.63345357351553e-70,1.67038944408443e-67,"DOWN"
"RGS6","ENSG00000182732",3.44523786725385,5.09551795423224,1.45274514023065e-69,6.51573911797595e-67,"UP"
"CPS1","ENSG00000021826",1.76629669372928,5.72364096078983,1.54958159833361e-69,6.78458476470397e-67,"UP"
"FLRT2","ENSG00000185070",-5.08786386697523,2.70243329335762,2.82045884130905e-69,1.20617250308912e-66,"DOWN"
"ALPK1","ENSG00000073331",-2.45683824671807,4.91912420468593,1.70238325438663e-67,7.11480128748083e-65,"DOWN"
"KCNIP1","ENSG00000182132",2.07781843718101,5.95974458045222,6.75897205564173e-67,2.76201638069324e-64,"UP"
"DMD","ENSG00000198947",-4.16045690471211,3.02879531499562,3.06630466676656e-66,1.22578861993848e-63,"DOWN"
"KIAA1549L","ENSG00000110427",3.00943062883218,5.34909750466135,4.56860782287985e-66,1.78749211180718e-63,"UP"
"HECW2","ENSG00000138411",-4.06607115486331,2.23326064889691,6.57596309288378e-66,2.51927886073e-63,"DOWN"
