"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"GFRA1","ENSG00000151892",-8.954023283,5.296716434,0,0,"DOWN"
"USP9Y","ENSG00000114374",-9.667935215,5.967900839,0,0,"DOWN"
"GRIA2","ENSG00000120251",7.397194758,6.468034474,2.73e-279,1.67e-275,"UP"
"KCNJ6","ENSG00000157542",-4.811220677,5.351222652,1.47e-278,6.75e-275,"DOWN"
"SPAG16","ENSG00000144451",6.798228773,4.777871892,2.43e-231,8.92e-228,"UP"
"CPT1C","ENSG00000169169",7.117518734,4.930937704,4.53e-207,1.39e-203,"UP"
NA,"ENSG00000165659",5.290841178,5.153120346,6.42e-206,1.69e-202,"UP"
"ST6GALNAC5","ENSG00000117069",6.65420429,5.140061783,1.1e-197,2.52e-194,"UP"
"ZDBF2","ENSG00000204186",5.094546864,5.412738961,2.64e-196,5.39e-193,"UP"
"SATB1","ENSG00000182568",3.9204154,5.064652703,8.88e-186,1.63e-182,"UP"
"CDH20","ENSG00000101542",7.400414741,4.022065827,1.29e-184,2.16e-181,"UP"
"HS3ST3B1","ENSG00000125430",4.285623991,5.561473408,8.49e-180,1.3e-176,"UP"
"NLGN4X","ENSG00000146938",4.016515356,5.616561639,1.35e-177,1.9e-174,"UP"
"ROBO2","ENSG00000185008",4.147987004,5.975401192,8.13e-170,1.07e-166,"UP"
"PKIA","ENSG00000171033",7.034977912,5.212936122,5.65e-167,6.93e-164,"UP"
"BAI1","ENSG00000181790",-3.106113098,7.399093761,5.86e-158,6.73e-155,"DOWN"
"MAGEH1","ENSG00000187601",4.418116622,6.628290157,1.51e-153,1.63e-150,"UP"
"RP3-326L13.3","ENSG00000272294",9.710017987,3.957947194,3.51e-152,3.58e-149,"UP"
"ARMCX1","ENSG00000126947",7.204609395,3.582116264,3.42e-147,3.31e-144,"UP"
"PPFIA2","ENSG00000139220",5.70167709,4.941029783,1.43e-146,1.32e-143,"UP"
"ETV5","ENSG00000244405",-3.043062757,5.869720361,1.05e-142,9.23e-140,"DOWN"
"TIMP4","ENSG00000157150",-3.621752437,5.622616744,2.82e-140,2.36e-137,"DOWN"
"DLC1","ENSG00000164741",-4.488657004,3.67531849,1.7e-137,1.36e-134,"DOWN"
"MAGI2-AS3","ENSG00000234456",2.97187359,6.242053676,1.47e-133,1.13e-130,"UP"
"CLVS2","ENSG00000146352",6.172938464,4.334924124,5.29e-127,3.89e-124,"UP"
"CSMD3","ENSG00000164796",5.161208534,4.962510992,1.19e-126,8.43e-124,"UP"
"NKX2-5","ENSG00000183072",-9.220272772,2.974868598,4.03e-124,2.74e-121,"DOWN"
"POU3F4","ENSG00000196767",10.9755957,3.452329047,7.85e-123,5.16e-120,"UP"
"TRIM36","ENSG00000152503",5.924542592,4.242185918,2.07e-120,1.31e-117,"UP"
"DNAH7","ENSG00000118997",2.650960342,5.475348066,2.38e-118,1.46e-115,"UP"
"KCNIP1","ENSG00000182132",-2.767833714,5.95974458,1.37e-115,8.12e-113,"DOWN"
"EPB41L3","ENSG00000082397",8.605700463,2.825695818,8.98e-115,5.16e-112,"UP"
"KCNT2","ENSG00000162687",8.52764347,2.998554382,2.86e-112,1.59e-109,"UP"
"ETV1","ENSG00000006468",-2.368712303,7.899761432,6.42e-110,3.47e-107,"DOWN"
"MMP14","ENSG00000157227",3.393989429,6.582826675,1.12e-109,5.87e-107,"UP"
