"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"ZNF385D","ENSG00000151789",-0.49147761597029,2.08996439567031,1.26822708664891e-20,2.15738109709847e-16,"DOWN"
"VWC2","ENSG00000188730",-0.548907143865665,2.04944182387906,6.15054055277019e-20,3.48756151143913e-16,"DOWN"
"ANGPT1","ENSG00000154188",0.813896920055092,1.10156051330772,5.34126882952042e-20,3.48756151143913e-16,"UP"
"NPNT","ENSG00000168743",0.970381792765753,0.168023812961167,1.24189919423318e-19,5.28148679827516e-16,"UP"
"PLCE1","ENSG00000138193",0.435244238122396,1.24771678515805,1.74216981075422e-18,5.927210130148e-15,"UP"
"ITPKB","ENSG00000143772",0.603045240085049,4.55441211772709,1.87345512927899e-17,5.31155753402748e-14,"UP"
"TRIM67","ENSG00000119283",-0.531700968007953,1.24650513434498,2.19317199146676e-17,5.32972124954872e-14,"DOWN"
"SLC7A2","ENSG00000003989",0.937663411658534,2.2657583760399,3.16669039877911e-17,6.73357129670393e-14,"UP"
"MRGPRF","ENSG00000172935",0.783346328194103,1.21467724369752,6.27416095357552e-17,1.01861234733493e-13,"UP"
"CRH","ENSG00000147571",-1.39891784706048,-0.643750247674957,6.69775642060862e-17,1.01861234733493e-13,"DOWN"
"EMP3","ENSG00000142227",0.635000219859087,2.99773354447996,8.36675283629982e-17,1.01861234733493e-13,"UP"
"RPH3A","ENSG00000089169",-0.692505191434573,3.89458916351461,8.38314788236377e-17,1.01861234733493e-13,"DOWN"
"ANO6","ENSG00000177119",0.553851369143196,1.98630113050735,8.06710671685349e-17,1.01861234733493e-13,"UP"
"SSC5D","ENSG00000179954",0.557535565659755,0.75459479520162,7.67117320550496e-17,1.01861234733493e-13,"UP"
"PDE4DIP","ENSG00000178104",0.373716632543185,3.94791753044423,1.14206410394871e-16,1.29517683148476e-13,"UP"
"A2ML1","ENSG00000166535",0.679874975464377,0.855385322940172,2.87281047168392e-16,3.05433618336345e-13,"UP"
