"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"ADAMTS2","ENSG00000087116",0.417275035754508,1.30309360237736,4.45886574191578e-10,6.96519417544665e-06,"UP"
"GFAP","ENSG00000131095",0.420409468833906,8.63083187807716,1.11326031124968e-09,8.69511966101562e-06,"UP"
"LINC01094","ENSG00000251442",0.450192057802646,2.9767734007099,1.9093801118152e-09,9.94214224222176e-06,"UP"
"ZNF592","ENSG00000166716",0.119286947773866,3.50893649914592,5.91903114707533e-08,0.000189126773380757,"NONE"
"TFDP2","ENSG00000114126",0.16640370079136,3.74384193612153,6.05360647144092e-08,0.000189126773380757,"UP"
"MDK","ENSG00000110492",-0.288416342743957,2.86809387049475,8.33746242346878e-08,0.00021706583419501,"DOWN"
"TMCC2","ENSG00000133069",0.1656292984499,4.93757872755501,1.10336834320167e-07,0.000223454045267375,"UP"
"SLC6A9","ENSG00000196517",0.265446688595275,2.72701387479355,1.14437767245311e-07,0.000223454045267375,"UP"
"HMGN2","ENSG00000198830",-0.25209673710169,4.81359015137952,1.84566279533541e-07,0.00032034553917705,"DOWN"
"CLIP2","ENSG00000106665",0.127319224685981,5.22328102232659,3.10175663975463e-07,0.000484525404696071,"NONE"
"FANCC","ENSG00000158169",0.186583733674171,1.62275234404844,4.43318196051809e-07,0.000612668882773241,"UP"
"SLC4A11","ENSG00000088836",0.366362836631149,1.73781761166264,4.70650188418084e-07,0.000612668882773241,"UP"
"ORAI2","ENSG00000160991",0.198541965378534,3.74938352758378,1.503428704204e-06,0.00168921120613837,"UP"
"JUND","ENSG00000130522",0.137179470685925,6.0656566864963,1.51392080442592e-06,0.00168921120613837,"NONE"
"MPV17L2","ENSG00000254858",-0.136287186232556,2.65135702244395,1.62422965896806e-06,0.00169147276684934,"NONE"
"HMGN1","ENSG00000205581",-0.147946632381887,4.34786196447062,1.8582648024014e-06,0.00170208773374486,"DOWN"
"DNAJC19","ENSG00000205981",-0.0761459693041182,3.9760826024803,1.90926819234631e-06,0.00170208773374486,"NONE"
"MTF1","ENSG00000188786",0.0900797531483728,3.13189859932637,1.96410924941419e-06,0.00170208773374486,"NONE"
"PRR13","ENSG00000205352",-0.122404496130453,3.96855308733457,2.07026867301404e-06,0.00170208773374486,"NONE"
"CBX5","ENSG00000094916",0.0716387856168685,4.25888341577379,2.57738107233893e-06,0.00199887739290223,"NONE"
"CCDC14","ENSG00000175455",-0.105803054805854,2.96183102232507,2.68717913391887e-06,0.00199887739290223,"NONE"
"PDCD6","ENSG00000249915",-0.0987325706521247,3.44731399861496,2.92010621276872e-06,0.00200347845312265,"NONE"
"RANBP10","ENSG00000141084",-0.0880357449772977,3.04213450286177,3.00468851493948e-06,0.00200347845312265,"NONE"
"GIGYF2","ENSG00000204120",0.0730990617767557,3.53510170343163,3.16861629161359e-06,0.00200347845312265,"NONE"
"RPL15","ENSG00000174748",-0.0728140619373194,6.02447673083289,3.20638635990438e-06,0.00200347845312265,"NONE"
"MYCBPAP","ENSG00000136449",-0.197685002846466,1.29457711830362,3.41350850200006e-06,0.00205086216575934,"DOWN"
"SUPT7L","ENSG00000119760",-0.0780892750563433,4.1233395716709,3.99222774104901e-06,0.00230972553862691,"NONE"
"ATPAF1","ENSG00000123472",-0.0930143965028156,4.86373686250211,4.40450750290946e-06,0.00245724327510531,"NONE"
"FAM171A1","ENSG00000148468",0.0956749658334317,5.37597553679297,4.70185445758167e-06,0.00248216499391351,"NONE"
"ZNF385A","ENSG00000161642",0.121750960353028,5.13787564598712,4.92116340563197e-06,0.00248216499391351,"NONE"
"CHCHD7","ENSG00000170791",-0.126711165569382,3.14376048757028,5.08477561009105e-06,0.00248216499391351,"NONE"
"","ENSG00000235423",0.21925043639858,1.86863036866914,4.99640561872801e-06,0.00248216499391351,"UP"
"SCOC","ENSG00000153130",-0.119838501296403,4.69029220935644,5.59383369845612e-06,0.00252855865378184,"NONE"
"ZBBX","ENSG00000169064",-0.278378734412111,2.61158820466262,6.20305286193423e-06,0.00252855865378184,"DOWN"
"NUDT21","ENSG00000167005",-0.0900235526659703,4.33159702343098,6.09703409614236e-06,0.00252855865378184,"NONE"
"FURIN","ENSG00000140564",0.109957440150535,3.95271502497495,6.11372376074643e-06,0.00252855865378184,"NONE"
"ALDH5A1","ENSG00000112294",-0.11331316266748,4.55405843570253,6.18305997149095e-06,0.00252855865378184,"NONE"
"L3MBTL1","ENSG00000185513",-0.121113133791108,2.66185749462718,6.39328847072351e-06,0.00252855865378184,"NONE"
"CHST6","ENSG00000183196",0.306280512410173,2.53884773889835,6.73812332838221e-06,0.00252855865378184,"UP"
"ZNF69","ENSG00000198429",0.180573860067686,2.01989334706877,6.56883930957602e-06,0.00252855865378184,"UP"
"","ENSG00000223396",0.20666110540281,2.00733278072339,7.03191402032778e-06,0.00252855865378184,"UP"
"","ENSG00000260807",-0.165754171479925,4.92910453083668,7.32431237260702e-06,0.00252855865378184,"DOWN"
"ZSCAN18","ENSG00000121413",-0.104185914496303,3.52131756936743,7.48313930178032e-06,0.00252855865378184,"NONE"
"BRWD1","ENSG00000185658",-0.100696929897721,3.85047172365643,7.42805770434927e-06,0.00252855865378184,"NONE"
"PPDPF","ENSG00000125534",-0.188188745162902,5.34644771991985,7.6078520406982e-06,0.00252855865378184,"DOWN"
"","ENSG00000261616",0.194630902721973,1.61738938227816,7.15190059611209e-06,0.00252855865378184,"UP"
"PAFAH1B3","ENSG00000079462",0.124316406859856,4.00231355715442,7.60361585125587e-06,0.00252855865378184,"NONE"
"TMEM107","ENSG00000179029",-0.120868912264023,2.56480697015758,8.2609018669113e-06,0.00263290204536759,"NONE"
"MXI1","ENSG00000119950",0.139141994465872,4.99761661742996,8.25688735981069e-06,0.00263290204536759,"UP"
"ZNF704","ENSG00000164684",0.117247803955058,3.2791449028857,8.51725365936187e-06,0.00263290204536759,"NONE"
"NRIP2","ENSG00000053702",0.196823354231662,3.32594934012098,8.59599285024947e-06,0.00263290204536759,"UP"
"LINC01322","ENSG00000244128",0.198435648052754,2.51670519183624,8.93278142832746e-06,0.00268344189792122,"UP"
"AMT","ENSG00000145020",-0.135660364086695,2.80000849359666,9.76841174606636e-06,0.00287910112991137,"NONE"
"ABCB8","ENSG00000197150",-0.090035609483806,3.07872552495453,1.01114257176197e-05,0.00288770513234169,"NONE"
"FBXO2","ENSG00000116661",0.164128555099573,5.80457121267602,1.01673249010174e-05,0.00288770513234169,"UP"
