"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_RAP1_SIGNALLING",0.366964746071634,14.9246866381212,2.52741683661714e-07,0.000198346560614758,"UP"
"BIOCARTA_CELLCYCLE_PATHWAY",-0.596267372128113,-13.5352542216902,5.56060648267112e-07,0.000198346560614758,"DOWN"
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",0.357207282718329,12.7151980092243,9.17901782031132e-07,0.000198346560614758,"UP"
"REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING",-0.379087240747106,-12.657660129778,9.51802551971756e-07,0.000198346560614758,"DOWN"
"BIOCARTA_RANKL_PATHWAY",0.421971449012326,12.5881000371396,9.94662639310494e-07,0.000198346560614758,"UP"
"BIOCARTA_RACCYCD_PATHWAY",-0.39672224598418,-12.4914185177811,1.05784832327871e-06,0.000198346560614758,"DOWN"
"KEGG_LONG_TERM_DEPRESSION",0.293411464110884,12.2009902149557,1.27619611911012e-06,0.000205102947714126,"UP"
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",-0.399495480991266,-11.9898873018616,1.46643021927557e-06,0.000206216749585628,"DOWN"
"BIOCARTA_VDR_PATHWAY",0.322250582361443,11.2246353451835,2.47353019771948e-06,0.000254442473013064,"UP"
"PID_NCADHERIN_PATHWAY",0.27574753296086,11.2216780898777,2.47868379569126e-06,0.000254442473013064,"UP"
"REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS",-0.308728911313851,-11.1454233569389,2.61578689663502e-06,0.000254442473013064,"DOWN"
"KEGG_BLADDER_CANCER",-0.315517039995541,-11.038705530276,2.82204124250396e-06,0.000254442473013064,"DOWN"
"REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION",-0.304575478674223,-10.9813963938103,2.9402241325954e-06,0.000254442473013064,"DOWN"
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.31329109092999,10.8090069329289,3.3302313459681e-06,0.000267607876015294,"UP"
"REACTOME_SYNTHESIS_OF_PC",0.296094318615563,10.7116103865118,3.57579843560345e-06,0.00026778904698927,"UP"
"PID_P73PATHWAY",-0.245606750287369,-10.6259270691626,3.80855533495851e-06,0.00026778904698927,"DOWN"
"REACTOME_EGFR_DOWNREGULATION",-0.270071732959948,-10.5145370272971,4.1367075379288e-06,0.000273752704715876,"DOWN"
"REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS",-0.375661908416261,-10.3514619075296,4.67528289371646e-06,0.000288785259821366,"DOWN"
"PID_PRL_SIGNALING_EVENTS_PATHWAY",-0.259186611385187,-10.2921350364379,4.89019268426896e-06,0.000288785259821366,"DOWN"
"BIOCARTA_G1_PATHWAY",-0.367740201633174,-10.2282520927576,5.13396017460206e-06,0.000288785259821366,"DOWN"
"BIOCARTA_AKAP13_PATHWAY",0.229197872591108,10.0213859902685,6.02084396547054e-06,0.000322545212435922,"UP"
"REACTOME_INSULIN_RECEPTOR_RECYCLING",-0.296517841101222,-9.91786094164945,6.52761280976778e-06,0.00033379838231767,"DOWN"
"REACTOME_G1_PHASE",-0.324964146140628,-9.68036675018629,7.87902554983738e-06,0.000366761098564681,"DOWN"
"BIOCARTA_P53_PATHWAY",-0.506232136100634,-9.53372859518833,8.86720797300824e-06,0.000366761098564681,"DOWN"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.578586844850576,9.49491790075255,9.15125022666735e-06,0.000366761098564681,"UP"
"BIOCARTA_P53HYPOXIA_PATHWAY",-0.357764439187973,-9.48693659980174,9.21090588513023e-06,0.000366761098564681,"DOWN"
"BIOCARTA_CBL_PATHWAY",-0.43306555835466,-9.47106443940764,9.33082785991808e-06,0.000366761098564681,"DOWN"
"REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS",-0.371166374948302,-9.46183574551061,9.40135107205685e-06,0.000366761098564681,"DOWN"
"SA_G1_AND_S_PHASES",-0.432914161952023,-9.45495897347656,9.454286096334e-06,0.000366761098564681,"DOWN"
