"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS",-0.468386235064853,-11.4506129106636,3.64835278215508e-06,0.00150177267866453,"DOWN"
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",-0.463424710999934,-10.6768830620522,6.1242910342872e-06,0.00150177267866453,"DOWN"
"REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING",-0.395461529065046,-10.1525003392759,8.86920219336672e-06,0.00150177267866453,"DOWN"
"REACTOME_INSULIN_RECEPTOR_RECYCLING",-0.439918872921335,-10.1519550672047,8.87269494425623e-06,0.00150177267866453,"DOWN"
"REACTOME_GLUTATHIONE_CONJUGATION",-0.404725819697424,-9.93636293467043,1.0382458521173e-05,0.00150177267866453,"DOWN"
"REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS",-0.545401071760249,-9.78374371157258,1.16250133125059e-05,0.00150177267866453,"DOWN"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.380624864643519,9.73954970615677,1.20152606752529e-05,0.00150177267866453,"UP"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",-0.4320764045393,-9.42955573849144,1.52028032596118e-05,0.00150177267866453,"DOWN"
"KEGG_OXIDATIVE_PHOSPHORYLATION",-0.366234097573964,-9.39313486025686,1.56357395527841e-05,0.00150177267866453,"DOWN"
"REACTOME_P75NTR_SIGNALS_VIA_NFKB",-0.41056020203033,-9.35760392328395,1.60714180553407e-05,0.00150177267866453,"DOWN"
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",0.406369110442786,9.21025708821788,1.80288434051576e-05,0.00150177267866453,"UP"
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA",0.355604372604848,9.19186579145061,1.82913387262603e-05,0.00150177267866453,"UP"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",-0.418396334666411,-9.08920220800006,1.98374227479909e-05,0.00150177267866453,"DOWN"
"REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING",0.307801513296915,9.08656941090287,1.98789476864126e-05,0.00150177267866453,"UP"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",-0.358346170729033,-9.0774435536956,2.00236357155271e-05,0.00150177267866453,"DOWN"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",-0.317403506579578,-8.84008635684572,2.42333124478623e-05,0.00170390478149032,"DOWN"
"PID_RHODOPSIN_PATHWAY",-0.519629459554322,-8.6510741737365,2.82974932805037e-05,0.0018429686341173,"DOWN"
"BIOCARTA_IL10_PATHWAY",-0.371785491334086,-8.44350479953089,3.36602311920558e-05,0.0018429686341173,"DOWN"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",-0.516765374255368,-8.36558594006592,3.59587577662065e-05,0.0018429686341173,"DOWN"
"BIOCARTA_CARDIACEGF_PATHWAY",-0.332828353580925,-8.33936838715774,3.67710986998579e-05,0.0018429686341173,"DOWN"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",-0.310825552002219,-8.32841949257829,3.71163873406726e-05,0.0018429686341173,"DOWN"
"BIOCARTA_MCM_PATHWAY",1.01544224264884,8.28484101612876,3.85269834542219e-05,0.0018429686341173,"UP"
"BIOCARTA_AMI_PATHWAY",-0.578239239523249,-8.22155594472205,4.06831175269248e-05,0.0018429686341173,"DOWN"
"REACTOME_IRON_UPTAKE_AND_TRANSPORT",-0.419321920497254,-8.13283406208888,4.39359424774215e-05,0.0018429686341173,"DOWN"
"KEGG_ETHER_LIPID_METABOLISM",-0.312254554182337,-8.10845304514465,4.48798875305484e-05,0.0018429686341173,"DOWN"
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA",0.266435527754382,8.06752969227794,4.65155288684609e-05,0.0018429686341173,"UP"
"KEGG_TYROSINE_METABOLISM",-0.273769751160598,-8.05483716864387,4.70362440653125e-05,0.0018429686341173,"DOWN"
"REACTOME_UNWINDING_OF_DNA",1.68690661075667,8.05397037659906,4.70720407470183e-05,0.0018429686341173,"UP"
"BIOCARTA_PS1_PATHWAY",0.270912041100438,8.04348121481613,4.75076359016903e-05,0.0018429686341173,"UP"
"REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC",-0.299087791746524,-7.93987403797205,5.20601187267842e-05,0.00195225445225441,"DOWN"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",-0.331214552414891,-7.85821907735293,5.59913703312026e-05,0.00200046335051068,"DOWN"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",-0.325798836452182,-7.81466976943036,5.82224590727323e-05,0.00200046335051068,"DOWN"
"KEGG_PEROXISOME",-0.313377136679284,-7.80596366865996,5.86802582816465e-05,0.00200046335051068,"DOWN"
"KEGG_ARACHIDONIC_ACID_METABOLISM",-0.328142505514859,-7.76186599090179,6.10615105834329e-05,0.00202041762959888,"DOWN"
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",0.458181350634881,7.6746221337549,6.60962587805076e-05,0.00212452260365917,"UP"
"PID_SMAD2_3PATHWAY",0.271230623582553,7.6149860773507,6.98033311860469e-05,0.00213658823096084,"UP"
"REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS",0.339013218446496,7.60772912656815,7.02700129293787e-05,0.00213658823096084,"UP"
"REACTOME_BIOLOGICAL_OXIDATIONS",-0.245174930435746,-7.56951314571526,7.27856124518251e-05,0.00215483721074482,"DOWN"
"SA_PROGRAMMED_CELL_DEATH",-0.335297767946279,-7.41185166216879,8.42775365546492e-05,0.00239231065625125,"DOWN"
"REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS",-0.23983277658251,-7.36734907786879,8.78766943692726e-05,0.00239231065625125,"DOWN"
"REACTOME_METABOLISM_OF_PORPHYRINS",-0.463955021982957,-7.35663947818171,8.87681355081702e-05,0.00239231065625125,"DOWN"
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",0.286514033404174,7.33519306855599,9.05836663997103e-05,0.00239231065625125,"UP"
"REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D",-0.309201657384943,-7.32042396626557,9.18579281202827e-05,0.00239231065625125,"DOWN"
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",0.423512052532012,7.30098102470322,9.35659278889376e-05,0.00239231065625125,"UP"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",-0.242795983803853,-7.19181526469308,0.000103836157934291,0.00250666227625118,"DOWN"
"KEGG_BASAL_TRANSCRIPTION_FACTORS",-0.246876692018206,-7.16233844003176,0.000106819885599155,0.00250666227625118,"DOWN"
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY1",0.261065018700068,7.1610743634669,0.00010694995203755,0.00250666227625118,"UP"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",1.01881695325607,7.15147030122831,0.000107943922285931,0.00250666227625118,"UP"
"REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1",0.559128030725179,7.13967190037394,0.000109179068032274,0.00250666227625118,"UP"
"BIOCARTA_ETS_PATHWAY",0.236706855265082,7.10513443520357,0.00011288587849652,0.00253993226617169,"UP"
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",-0.31802309353422,-7.07449774765107,0.000116291273532501,0.00256524868086398,"DOWN"
"KEGG_LYSOSOME",-0.314576765093204,-7.0102929374694,0.000123804201260937,0.00267845627727989,"DOWN"
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",-0.395509817809573,-6.9748731611444,0.0001281784375345,0.00272076872125118,"DOWN"
