"X","logFC","t","P.Value","adj.P.Val","Direction"
"BIOCARTA_AMI_PATHWAY",-0.630785973252562,-19.5167591601423,1.6496874110723e-08,1.85589833745634e-05,"DOWN"
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",0.473790758382932,14.8249957757586,1.70896740641121e-07,5.7319306057242e-05,"UP"
"PID_SYNDECAN_4_PATHWAY",-0.461797039001927,-14.6256698985132,1.91556003194452e-07,5.7319306057242e-05,"DOWN"
"BIOCARTA_RNA_PATHWAY",-0.408985280533705,-13.8986266121449,2.94133696955141e-07,5.7319306057242e-05,"DOWN"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",-0.578280591783829,-13.8083531106198,3.10667265156481e-07,5.7319306057242e-05,"DOWN"
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.494185243940084,13.788898458108,3.14363912984785e-07,5.7319306057242e-05,"UP"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",-0.969827983525772,-13.462235326912,3.84327718645161e-07,5.7319306057242e-05,"DOWN"
"KEGG_NITROGEN_METABOLISM",0.524531754426597,13.3091016472116,4.22943802829418e-07,5.7319306057242e-05,"UP"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.371278193320721,13.1810485029037,4.58554448457936e-07,5.7319306057242e-05,"UP"
"KEGG_STEROID_BIOSYNTHESIS",-1.05288062128082,-13.0099248771897,5.11442970198951e-07,5.7537334147382e-05,"DOWN"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.384788845615928,12.1853984783444,8.82001073058809e-07,9.02046551991964e-05,"UP"
"REACTOME_INFLAMMASOMES",-0.25381575003565,-11.9986148254224,1.0025060260745e-06,9.39849399444848e-05,"DOWN"
"REACTOME_STEROID_HORMONES",-0.27501406859898,-11.338780268226,1.5994291232387e-06,0.00013060461823354,"DOWN"
"BIOCARTA_CARDIACEGF_PATHWAY",-0.315730011387888,-11.316699070988,1.62530191579517e-06,0.00013060461823354,"DOWN"
"REACTOME_SHC_MEDIATED_CASCADE",0.371613236578071,11.2039062189703,1.76490470078202e-06,0.000132367852558652,"UP"
"PID_INTEGRIN_A9B1_PATHWAY",-0.311357256572928,-11.0506782234909,1.97628906136329e-06,0.000134085457934318,"DOWN"
"PID_INTEGRIN1_PATHWAY",-0.319334582581918,-10.9460446944075,2.13670433555818e-06,0.000134085457934318,"DOWN"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",-0.523298285212085,-10.9406437723853,2.14536732694909e-06,0.000134085457934318,"DOWN"
"BIOCARTA_NDKDYNAMIN_PATHWAY",-0.329815035601582,-10.7940714964841,2.39597727013192e-06,0.000141867075205179,"DOWN"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.238402438960263,10.479209792758,3.0514589999984e-06,0.000170171419007622,"UP"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",-0.222690424845835,-10.4276882631832,3.17653315480895e-06,0.000170171419007622,"DOWN"
"PID_EPHA2_FWD_PATHWAY",0.325488621615159,10.1656588539755,3.9070572519493e-06,0.000199792700383771,"UP"
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.281069747617693,10.0770425745313,4.19472608511533e-06,0.000205176819380641,"UP"
"REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D",-0.257958537621093,-10.0096407178867,4.42922009263581e-06,0.000207619691842304,"DOWN"
"BIOCARTA_RAB_PATHWAY",0.46132372878722,9.92712756953484,4.73623430741934e-06,0.00021313054383387,"UP"
"PID_EPHA_FWDPATHWAY",0.247026893919259,9.84094472104919,5.08223498960465e-06,0.00021857841619771,"UP"
"REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.226687937406419,-9.80241522837321,5.24588198874505e-06,0.00021857841619771,"DOWN"
"REACTOME_SIGNAL_ATTENUATION",0.24375663506428,9.65981701838311,5.90420155545077e-06,0.000232872591818505,"UP"
"REACTOME_HS_GAG_BIOSYNTHESIS",0.306696904244992,9.63995364758765,6.00293792243258e-06,0.000232872591818505,"UP"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",-0.270065093300062,-9.49356316978393,6.78947784081845e-06,0.000250990241659146,"DOWN"
"PID_INTEGRIN_A4B1_PATHWAY",-0.400838733086466,-9.45660502878976,7.00560850886333e-06,0.000250990241659146,"DOWN"
"PID_RHODOPSIN_PATHWAY",-0.233153076319652,-9.38560595248467,7.44245689791075e-06,0.000250990241659146,"DOWN"
"KEGG_RIBOSOME",-0.233458168566962,-9.38123269988847,7.47033228324242e-06,0.000250990241659146,"DOWN"
"REACTOME_FRS2_MEDIATED_CASCADE",0.23677586207276,9.36335626054741,7.58548285903196e-06,0.000250990241659146,"UP"
"REACTOME_HS_GAG_DEGRADATION",0.241459710848353,9.25846026375315,8.3019490017282e-06,0.000266848360769835,"UP"
"KEGG_PHENYLALANINE_METABOLISM",0.317919977062411,9.22319275043495,8.55936993816358e-06,0.000267480310567612,"UP"
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",-0.198635827702865,-9.09381266156291,9.58201126365727e-06,0.00029134493707066,"DOWN"
"KEGG_TYROSINE_METABOLISM",0.221885378140722,9.04737983170181,9.98133080879428e-06,0.000294139649987077,"UP"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.263748127971614,9.02316451222543,1.0196841199552e-05,0.000294139649987077,"UP"
"PID_CONE_PATHWAY",-0.323611017393312,-8.89849157547477,1.13908692361686e-05,0.000320368197267242,"DOWN"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.258733188062458,8.85435951711931,1.18498559905341e-05,0.000325148487545144,"UP"
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_",-0.2120590457303,-8.67771836419214,1.39023983668765e-05,0.000371549465915432,"DOWN"
"PID_HDAC_CLASSIII_PATHWAY",0.276394920978677,8.64588108306946,1.43125201562264e-05,0.000371549465915432,"UP"
"BIOCARTA_CD40_PATHWAY",-0.338780695787856,-8.6292753119726,1.45317124446925e-05,0.000371549465915432,"DOWN"
"REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING",0.193361235702336,8.43286024766235,1.74252966201464e-05,0.000421035068669169,"UP"
"PID_ANTHRAX_PATHWAY",-0.37867924967281,-8.42875693296132,1.74921595572475e-05,0.000421035068669169,"DOWN"
