"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_ACTIVATION_OF_RAC",0.475185173083211,26.8662952501391,7.24613986942428e-08,4.77020531981072e-05,"UP"
"SA_REG_CASCADE_OF_CYCLIN_EXPR",-0.560835337662366,-25.2490443220959,1.07801885081517e-07,4.77020531981072e-05,"DOWN"
"REACTOME_SIGNALING_BY_HIPPO",0.428636630466872,24.6038168375549,1.27205475194953e-07,4.77020531981072e-05,"UP"
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY",0.410679727439617,22.6202508572172,2.17598387185598e-07,5.70317991127914e-05,"UP"
"BIOCARTA_G1_PATHWAY",-0.443756375190502,-22.0855425258333,2.53474662723517e-07,5.70317991127914e-05,"DOWN"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.419913457698427,20.5567602715033,4.00361423669585e-07,6.73362573690929e-05,"UP"
"PID_P38_GAMMA_DELTA_PATHWAY",-0.443629120113227,-20.4104889648316,4.18981156963244e-07,6.73362573690929e-05,"DOWN"
"PID_CONE_PATHWAY",0.52503616265302,18.7676252953867,7.14323298114144e-07,0.000100451713797302,"UP"
"PID_LIS1_PATHWAY",0.348967857743393,18.2163313472367,8.63124865738719e-07,0.00010789060821734,"UP"
"PID_FOXM1_PATHWAY",-0.421680892566588,-16.8862431033503,1.39531709812723e-06,0.000156973173539313,"DOWN"
"REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10",0.377219121055139,15.8006640817508,2.12316564125936e-06,0.000217141940583344,"UP"
"REACTOME_SIGNALING_BY_ROBO_RECEPTOR",0.340004809576032,15.541187629049,2.35685880700419e-06,0.000220955513156642,"UP"
"PID_FRA_PATHWAY",-0.333870239684328,-15.1951461861375,2.71612550965225e-06,0.000225044999202255,"DOWN"
"REACTOME_INTERFERON_GAMMA_SIGNALING",0.350445116893623,15.1214492151239,2.80055999007251e-06,0.000225044999202255,"UP"
"REACTOME_INFLAMMASOMES",-0.309486752993469,-14.4657414755178,3.7010394297429e-06,0.000277577957230718,"DOWN"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.425611227807178,14.134410584741,4.28053724483913e-06,0.000286947527509062,"UP"
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION",0.336454907428456,13.9110246639165,4.73027077874459e-06,0.000286947527509062,"UP"
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",0.484735650549161,13.8672883403887,4.82456002415103e-06,0.000286947527509062,"UP"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.294629398786753,13.857377897988,4.84622490904194e-06,0.000286947527509062,"UP"
"REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS",0.279448342528695,13.7374230141444,5.11753150952628e-06,0.000287861147410853,"UP"
"BIOCARTA_SRCRPTP_PATHWAY",-0.376567574165857,-13.5030255835431,5.69972719340306e-06,0.000289807557588788,"DOWN"
"KEGG_PRION_DISEASES",-0.322916202241824,-13.3572593462875,6.10014994519294e-06,0.000289807557588788,"DOWN"
"PID_AP1_PATHWAY",-0.503026328470374,-13.2179999128593,6.51319674251614e-06,0.000289807557588788,"DOWN"
"KEGG_NON_SMALL_CELL_LUNG_CANCER",-0.239085831588896,-13.1495055945132,6.72809825068641e-06,0.000289807557588788,"DOWN"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",0.245299583090578,13.088588904849,6.92609864192318e-06,0.000289807557588788,"UP"
"KEGG_BLADDER_CANCER",-0.252119261545519,-13.074056094248,6.9743200757615e-06,0.000289807557588788,"DOWN"
"KEGG_NITROGEN_METABOLISM",0.6754327970167,13.0011439982835,7.22215473951826e-06,0.000289807557588788,"UP"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",-0.25075490905242,-12.9501235088546,7.40160448304079e-06,0.000289807557588788,"DOWN"
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE",-0.33658764533086,-12.9308857344959,7.47059481784431e-06,0.000289807557588788,"DOWN"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",0.367649604821134,12.8330639046676,7.83304821925242e-06,0.000293739308221966,"UP"
"BIOCARTA_ARF_PATHWAY",-0.422782263454812,-12.7243008998048,8.26000654045562e-06,0.000299758301871373,"DOWN"
"REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS",-0.385830556002255,-12.5320689204434,9.08180346154524e-06,0.000316809405633053,"DOWN"
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.251255944038931,12.4858692344355,9.29307589856954e-06,0.000316809405633053,"UP"
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.21792891984601,12.2164324904787,1.06438640131599e-05,0.000352186676906026,"UP"
"REACTOME_HS_GAG_BIOSYNTHESIS",0.266434517828186,12.0893340946733,1.13585296104465e-05,0.000365095594621494,"UP"
"REACTOME_REGULATION_OF_IFNA_SIGNALING",0.296175663316231,11.9969266012441,1.19128212483468e-05,0.000372275664010839,"UP"
"BIOCARTA_RACCYCD_PATHWAY",-0.246146788569148,-11.9327101837741,1.23163317001033e-05,0.000373051495077529,"DOWN"
"PID_ATF2_PATHWAY",-0.320034002890037,-11.8173971626736,1.30809917839482e-05,0.000373051495077529,"DOWN"
"KEGG_ABC_TRANSPORTERS",-0.279201021122654,-11.7743378585215,1.33804064680005e-05,0.000373051495077529,"DOWN"
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.656324026893309,11.7523200302984,1.35365460481416e-05,0.000373051495077529,"UP"
"PID_DELTA_NP63_PATHWAY",-0.196631130712593,-11.7440609380625,1.359565448727e-05,0.000373051495077529,"DOWN"
"KEGG_PPAR_SIGNALING_PATHWAY",0.205049872643989,11.5307103318476,1.52303799159607e-05,0.000399834275088876,"UP"
"REACTOME_G1_S_SPECIFIC_TRANSCRIPTION",-0.344597815018811,-11.5243399427524,1.52825545145081e-05,0.000399834275088876,"DOWN"
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS",-0.221097728159392,-11.4097185799866,1.62573149786519e-05,0.000415669985249623,"DOWN"
"BIOCARTA_ERK5_PATHWAY",0.271567329084132,11.3017249075595,1.72415496205135e-05,0.000431038740512836,"UP"
"BIOCARTA_HER2_PATHWAY",0.212185760814932,11.2341891605594,1.78918032053723e-05,0.000431162576701591,"UP"
"SA_G1_AND_S_PHASES",-0.482284701890078,-11.1843864574157,1.83893790302661e-05,0.000431162576701591,"DOWN"
"REACTOME_RNA_POL_III_CHAIN_ELONGATION",-0.272079198107871,-11.1837076420506,1.83962699392679e-05,0.000431162576701591,"DOWN"
"REACTOME_DNA_STRAND_ELONGATION",-0.219000302121983,-11.0573392658834,1.9732314020584e-05,0.000453037821901163,"DOWN"
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",0.246973946758397,10.9814470785066,2.05881358022655e-05,0.000463233055550975,"UP"
"REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION",-0.271471574529375,-10.9297183383437,2.11958991112203e-05,0.000467556598041623,"DOWN"
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",0.226221296364794,10.8774411952122,2.18311200034435e-05,0.000472307884689883,"UP"
"KEGG_DNA_REPLICATION",-0.22184992530031,-10.7480323728444,2.34997921136523e-05,0.000498816342035073,"DOWN"
"REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION",0.218266317032959,10.682030938223,2.44069459794988e-05,0.000508478041239558,"UP"
"REACTOME_UNWINDING_OF_DNA",-0.34548216680161,-10.5984093738591,2.56145676436729e-05,0.000523934338166036,"DOWN"
"SA_CASPASE_CASCADE",0.23608655260729,10.5196894723075,2.68144227152993e-05,0.000538682599191281,"UP"
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",-0.273525165277513,-10.488812306813,2.73025669342249e-05,0.000538866452649176,"DOWN"
"KEGG_CELL_CYCLE",-0.18616592283129,-10.3942203787917,2.88626525450127e-05,0.00054855222705999,"DOWN"
"REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX",-0.315700716103321,-10.3755441255451,2.91826288301578e-05,0.00054855222705999,"DOWN"
"BIOCARTA_IL12_PATHWAY",-0.432485652218213,-10.3667222300513,2.93351860406186e-05,0.00054855222705999,"DOWN"
"BIOCARTA_RANMS_PATHWAY",-0.385187407243525,-10.3433547312824,2.97437207561417e-05,0.00054855222705999,"DOWN"
"REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.280509348787837,-10.2408469543565,3.16147154396518e-05,0.000573654110800134,"DOWN"
"REACTOME_PLATELET_HOMEOSTASIS",0.277199985277178,10.2030388010181,3.23386061515445e-05,0.000573904414302334,"UP"
"REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION",-0.254548800287331,-10.1871343985342,3.26487844580884e-05,0.000573904414302334,"DOWN"
"REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES",0.168377887493912,10.1176666301222,3.40442016470266e-05,0.000589226566967768,"UP"
"PID_TCR_CALCIUM_PATHWAY",-0.19114154839131,-10.0457734754908,3.55608392064419e-05,0.000606150668291624,"DOWN"
"BIOCARTA_P53_PATHWAY",-0.636312639762536,-9.94953098216012,3.77139808116442e-05,0.000629382252348039,"DOWN"
"REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX",-0.211275339400955,-9.93539472031743,3.80426605863704e-05,0.000629382252348039,"DOWN"
"PID_RB_1PATHWAY",-0.169159341303686,-9.89028277295121,3.91137176420158e-05,0.00063772365720678,"DOWN"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",-0.291401348833207,-9.8207631556504,4.08326613516773e-05,0.000654713169302177,"DOWN"
"REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS",-0.249058902880537,-9.8016750108498,4.13196755737374e-05,0.000654713169302177,"DOWN"
"REACTOME_EXTENSION_OF_TELOMERES",-0.252385601723637,-9.74813956267466,4.27214856616645e-05,0.000667523213463508,"DOWN"
"PID_ERBB1_INTERNALIZATION_PATHWAY",0.191040732291938,9.69381493211457,4.4199955412963e-05,0.000677902806970171,"UP"
"PID_INTEGRIN_CS_PATHWAY",0.231185882160788,9.67979625259657,4.45909401918157e-05,0.000677902806970171,"UP"
"REACTOME_REGULATION_OF_KIT_SIGNALING",-0.334141270648187,-9.64615455780418,4.55454887513325e-05,0.000683182331269988,"DOWN"
"PID_IL12_STAT4_PATHWAY",-0.431216509752809,-9.61069480862558,4.65770574224834e-05,0.000689463021056497,"DOWN"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.842781941247962,9.53986481905904,4.87187721842861e-05,0.000711800242952231,"UP"
"PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY",0.201903520067507,9.50883123411516,4.96925346164165e-05,0.000716719249275237,"UP"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",-0.190515677008474,-9.48011836338397,5.0613378608082e-05,0.000720760138406231,"DOWN"
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",0.198975843810077,9.40698015127391,5.30486145157086e-05,0.000745996141627152,"UP"
