"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_ACTIVATION_OF_RAC",0.429448089121995,22.0564204953531,3.06438404791764e-07,0.000331568275344167,"UP"
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA",0.411342930835351,19.0508216625736,7.67232217981487e-07,0.000331568275344167,"UP"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",-0.332050191027703,-17.5870646286571,1.2639595963098e-06,0.000331568275344167,"DOWN"
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.307456046961958,17.1821964701705,1.46144268913452e-06,0.000331568275344167,"UP"
"PID_P38_MKK3_6PATHWAY",0.281916469637925,17.1592971350797,1.47363677930741e-06,0.000331568275344167,"UP"
"PID_RB_1PATHWAY",0.243607837504697,14.8822485303153,3.56867635091799e-06,0.000494172958876006,"UP"
"BIOCARTA_MEF2D_PATHWAY",-0.276089875789804,-14.362530745368,4.44652793889793e-06,0.000494172958876006,"DOWN"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",0.267833203271957,14.0732092423561,5.04222492396724e-06,0.000494172958876006,"UP"
"REACTOME_APOPTOTIC_EXECUTION_PHASE",-0.252438222497257,-13.88441525947,5.48058618422521e-06,0.000494172958876006,"DOWN"
"BIOCARTA_RACCYCD_PATHWAY",0.284616278663823,13.7547343332884,5.80719019585506e-06,0.000494172958876006,"UP"
"NABA_BASEMENT_MEMBRANES",0.230482581531241,13.7079023290201,5.93061250691979e-06,0.000494172958876006,"UP"
"REACTOME_SIGNALLING_TO_ERKS",0.251455260021552,13.637511159095,6.12185720364545e-06,0.000494172958876006,"UP"
"BIOCARTA_NFKB_PATHWAY",0.281526852555039,13.6333795462255,6.13330141492802e-06,0.000494172958876006,"UP"
"REACTOME_SHC_MEDIATED_CASCADE",0.406468098386359,13.6274719089937,6.14970793267918e-06,0.000494172958876006,"UP"
"REACTOME_GAP_JUNCTION_TRAFFICKING",-0.3418567155967,-13.2919009145055,7.17043920368806e-06,0.000514915473356441,"DOWN"
"REACTOME_P38MAPK_EVENTS",0.340689267056579,13.2332365508069,7.36829402886371e-06,0.000514915473356441,"UP"
"REACTOME_CS_DS_DEGRADATION",0.382797841770538,13.116522955987,7.78094493071955e-06,0.000514915473356441,"UP"
"REACTOME_SIGNAL_ATTENUATION",0.271228099740181,12.9669883994192,8.34916074155809e-06,0.00051721562319725,"UP"
"KEGG_NITROGEN_METABOLISM",0.696376534302506,12.7991394340332,9.0447897183337e-06,0.00051721562319725,"UP"
"REACTOME_SYNTHESIS_OF_PC",-0.525903841646131,-12.6905060754425,9.53060465896008e-06,0.00051721562319725,"DOWN"
