"X","logFC","t","P.Value","adj.P.Val","Direction"
"BIOCARTA_CELLCYCLE_PATHWAY",-0.962981103797241,-65.5727937102719,9.74647044896927e-17,6.88187790575874e-14,"DOWN"
"BIOCARTA_P53_PATHWAY",-1.01973497077127,-64.3419538727252,1.22344496102378e-16,6.88187790575874e-14,"DOWN"
"KEGG_P53_SIGNALING_PATHWAY",-0.752631868150679,-51.1770462366669,1.90325342008896e-15,7.13720032533358e-13,"DOWN"
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.649118550614626,45.8608169625995,7.07616089817961e-15,1.99017025261302e-12,"UP"
"SA_G1_AND_S_PHASES",-0.868808958835216,-44.6360285908565,9.78262388111301e-15,2.20109037325043e-12,"DOWN"
"PID_CONE_PATHWAY",0.684603716065062,42.0811600751734,1.97957088748996e-14,3.71169541404368e-12,"UP"
"REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION",0.527050908640641,40.9936747081276,2.70694949623374e-14,4.35045454751852e-12,"UP"
"PID_P38_GAMMA_DELTA_PATHWAY",-0.695834422320213,-40.3758619914362,3.24552867842488e-14,4.56402470403498e-12,"DOWN"
"REACTOME_G1_PHASE",-0.527792663584493,-38.1260344276227,6.43681368784395e-14,8.04601710980494e-12,"DOWN"
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",0.588883897030395,37.7386477020983,7.27136260166679e-14,8.18028292687514e-12,"UP"
"REACTOME_SIGNALING_BY_HIPPO",0.520051057434728,36.8307887934123,9.72345635776042e-14,9.62740616606534e-12,"UP"
"PID_PRL_SIGNALING_EVENTS_PATHWAY",-0.571627608070156,-36.662592021963,1.0269233243803e-13,9.62740616606534e-12,"DOWN"
"BIOCARTA_ETC_PATHWAY",-0.519851571692167,-36.3676301750515,1.13081097305715e-13,9.78586418991765e-12,"DOWN"
"BIOCARTA_G1_PATHWAY",-0.516416208770941,-36.1402835131947,1.21864308345582e-13,9.79266763491283e-12,"DOWN"
"PID_INTEGRIN_A9B1_PATHWAY",0.512966081674275,34.8962733394569,1.85043363671308e-13,1.33094961277633e-11,"UP"
"KEGG_MELANOMA",-0.474577458767991,-34.7400065016886,1.95212424387057e-13,1.33094961277633e-11,"DOWN"
"KEGG_GLIOMA",-0.452422574611838,-34.4915308015418,2.12648938697448e-13,1.33094961277633e-11,"DOWN"
"PID_FOXM1_PATHWAY",-0.51739099148446,-34.487410253275,2.12951938044212e-13,1.33094961277633e-11,"DOWN"
"SA_REG_CASCADE_OF_CYCLIN_EXPR",-0.633248925914301,-32.185393950117,4.8484136043732e-13,2.66666103789225e-11,"DOWN"
"REACTOME_SIGNALING_BY_ROBO_RECEPTOR",0.456337727068047,32.1599566456468,4.89425180477775e-13,2.66666103789225e-11,"UP"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",0.572322128212885,32.055114006881,5.08819016384618e-13,2.66666103789225e-11,"UP"
"PID_TAP63_PATHWAY",-0.523779630711707,-31.9889742710224,5.21480380743374e-13,2.66666103789225e-11,"DOWN"
"PID_RB_1PATHWAY",-0.412767178808383,-31.8123500017567,5.56993942378593e-13,2.7244268920692e-11,"DOWN"
"BIOCARTA_RACCYCD_PATHWAY",-0.530763067232971,-31.6718477155267,5.87114130779879e-13,2.75209748803068e-11,"DOWN"
"BIOCARTA_SPRY_PATHWAY",-0.493861488968025,-31.5620250084883,6.11884618220354e-13,2.75348078199159e-11,"DOWN"
"PID_IL2_STAT5_PATHWAY",-0.578876561948567,-30.8531423323785,8.01684879644405e-13,3.37226284290942e-11,"DOWN"
"REACTOME_APOPTOTIC_EXECUTION_PHASE",0.41428971044061,30.828482382809,8.09343082298262e-13,3.37226284290942e-11,"UP"
"PID_P53_DOWNSTREAM_PATHWAY",-0.422780976820977,-29.52649935784,1.35157818713438e-12,5.38844690448533e-11,"DOWN"
"REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES",-0.462036208827978,-29.4586443007205,1.38902186871177e-12,5.38844690448533e-11,"DOWN"
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",-0.548528233741333,-28.9133077296107,1.73407431733193e-12,6.50277868999473e-11,"DOWN"
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE",-0.573973576053797,-28.5015491091348,2.05590744111899e-12,7.4609544234157e-11,"DOWN"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",-0.368420075899529,-28.3234461451564,2.21465703089751e-12,7.67684780332696e-11,"DOWN"
"BIOCARTA_P53HYPOXIA_PATHWAY",-0.454517772837873,-28.2525097250491,2.28153649097396e-12,7.67684780332696e-11,"DOWN"
"REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS",0.570543129061693,28.2126079545018,2.32011400278326e-12,7.67684780332696e-11,"UP"
"PID_RHODOPSIN_PATHWAY",0.554379374589428,28.1119025172581,2.4206515042638e-12,7.78066554941935e-11,"UP"
"KEGG_LONG_TERM_DEPRESSION",0.383596373431872,27.4860523755578,3.16142555029287e-12,9.87945484466523e-11,"UP"
"ST_ADRENERGIC",0.368677347013628,26.7285849789751,4.40246894215438e-12,1.3385885297091e-10,"UP"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",-0.45239863589864,-26.6252325337113,4.60918990746526e-12,1.36456280155222e-10,"DOWN"
"BIOCARTA_ARF_PATHWAY",-0.428685161229505,-26.5545278710614,4.75664812073108e-12,1.37211003482627e-10,"DOWN"
"PID_S1P_META_PATHWAY",0.444783803103421,26.2143912814396,5.54103261983591e-12,1.5524603095181e-10,"UP"
"REACTOME_SYNTHESIS_OF_PC",0.478988431408983,26.1682270402852,5.65785535024376e-12,1.5524603095181e-10,"UP"
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",0.482436256664511,26.0323711604585,6.0173839217659e-12,1.57082334770155e-10,"UP"
"REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS",-0.542308474852646,-25.9497732950394,6.24799867349766e-12,1.57082334770155e-10,"DOWN"
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",-0.372824420259538,-25.9452331115868,6.26094918629229e-12,1.57082334770155e-10,"DOWN"
"BIOCARTA_CK1_PATHWAY",0.336530413597241,25.937423526184,6.28329339080621e-12,1.57082334770155e-10,"UP"
"PID_P75_NTR_PATHWAY",0.35181524372143,25.7752745102916,6.76726150505839e-12,1.65503678112841e-10,"UP"
"PID_INTEGRIN4_PATHWAY",-0.442788101237961,-25.5630332587995,7.46262217978055e-12,1.7862659472879e-10,"DOWN"
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",-0.324338939034571,-25.5020641193685,7.67638961297904e-12,1.79853267551719e-10,"DOWN"
"REACTOME_METABOLISM_OF_NUCLEOTIDES",-0.393414396266088,-25.4583838265126,7.83360898669708e-12,1.79853267551719e-10,"DOWN"
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION",-0.57076893820934,-25.1111913836373,9.21448122207271e-12,2.07325827496636e-10,"DOWN"
"REACTOME_SIGNAL_ATTENUATION",-0.447965176518572,-24.993563016149,9.74031176632253e-12,2.11956240463486e-10,"DOWN"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.354995456257668,24.981274740578,9.79708844809001e-12,2.11956240463486e-10,"UP"
"PID_MYC_ACTIV_PATHWAY",-0.324214855638061,-24.7484121131162,1.09435397197271e-11,2.31943770030112e-10,"DOWN"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.59897144622984,24.7124258395855,1.11333009614454e-11,2.31943770030112e-10,"UP"
"PID_AP1_PATHWAY",-0.429518824600898,-24.4090803742918,1.28818812394195e-11,2.63493025351763e-10,"DOWN"
"REACTOME_GLUCONEOGENESIS",-0.381188318362742,-24.2253437539636,1.40839208508282e-11,2.82935909949674e-10,"DOWN"
"REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION",-0.447152186753421,-24.1308099282776,1.47491897270236e-11,2.91102428822835e-10,"DOWN"
"PID_LIS1_PATHWAY",0.356222621273124,24.0736848128105,1.5167619230943e-11,2.94199510945014e-10,"UP"
"REACTOME_PURINE_METABOLISM",-0.406623693598156,-23.9768539048608,1.59065035260838e-11,3.02349939167241e-10,"DOWN"
