"X","logFC","t","P.Value","adj.P.Val","Direction"
"PID_RHODOPSIN_PATHWAY",-0.282829229311042,-9.81801550095454,7.14034356781931e-21,8.45416678429807e-18,"DOWN"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",0.316441248147917,8.12884238903657,3.64447876211844e-15,2.15753142717412e-12,"UP"
"BIOCARTA_ALK_PATHWAY",0.218818438609808,7.78495786610606,4.25323410962439e-14,1.44719221916577e-11,"UP"
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.273987907921212,7.73507876225458,6.03452584621949e-14,1.44719221916577e-11,"UP"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",0.25108263552435,7.73326805543352,6.11145362823382e-14,1.44719221916577e-11,"UP"
"BIOCARTA_ERK_PATHWAY",0.147085585346667,7.69689165851754,7.87880157925785e-14,1.46203896022634e-11,"UP"
"BIOCARTA_TOB1_PATHWAY",0.419223259508526,7.68358873104362,8.64381142025706e-14,1.46203896022634e-11,"UP"
"REACTOME_G2_M_CHECKPOINTS",-0.197867158436013,-7.55752316091675,2.06767531312773e-13,2.81794991800782e-11,"DOWN"
"PID_ANGIOPOIETIN_RECEPTOR_PATHWAY",0.205614756778687,7.55238364115035,2.14202274172892e-13,2.81794991800782e-11,"UP"
"PID_FAK_PATHWAY",0.103861769073805,7.51650885381686,2.73962966190017e-13,3.2437215196898e-11,"UP"
"REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX",-0.279715302745228,-7.44007354894954,4.61419480332317e-13,4.73948627274172e-11,"DOWN"
"BIOCARTA_CTCF_PATHWAY",0.219953608853928,7.43415248193832,4.80353338453553e-13,4.73948627274172e-11,"UP"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",-0.205543053063274,-7.21157187354295,2.13970242686312e-12,1.94877513338918e-10,"DOWN"
"KEGG_BASAL_TRANSCRIPTION_FACTORS",-0.127868154118929,-7.12641582561464,3.75448972702194e-12,3.17522559770998e-10,"DOWN"
"REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION",-0.146413946849866,-7.09616986130968,4.57873063359931e-12,3.61414471345439e-10,"DOWN"
"BIOCARTA_GCR_PATHWAY",0.154092862476902,7.02777047618425,7.1551320782227e-12,5.17155937970552e-10,"UP"
"PID_PTP1B_PATHWAY",0.20409360033157,7.02206664286331,7.42538086613124e-12,5.17155937970552e-10,"UP"
"BIOCARTA_MCM_PATHWAY",-0.19227520624476,-7.00816178458521,8.1269471591659e-12,5.34572524247357e-10,"DOWN"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.149824851355321,6.98818169662788,9.25040891396992e-12,5.5512541886702e-10,"UP"
"PID_DNA_PK_PATHWAY",-0.154283726000395,-6.98607979518391,9.3771185619429e-12,5.5512541886702e-10,"DOWN"
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",-0.149512963236993,-6.94053000834792,1.2582577554841e-11,7.09417705949129e-10,"DOWN"
"BIOCARTA_MET_PATHWAY",0.106932270832958,6.92624932276435,1.37934063283833e-11,7.42336049672991e-10,"UP"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",-0.157594651574296,-6.90541029328832,1.57682262207338e-11,8.11720862841253e-10,"DOWN"
