"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Rap1 signalling","REACTOME_RAP1_SIGNALLING","UP",0.367,14.9,2.53e-07,0.000198
"(BioCarta) Cyclins and Cell Cycle Regulation","BIOCARTA_CELLCYCLE_PATHWAY","DOWN",-0.596,-13.5,5.56e-07,0.000198
"(Reactome) Transport of vitamins, nucleosides, and related molecules","REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES","UP",0.357,12.7,9.18e-07,0.000198
"(Reactome) Transferrin endocytosis and recycling","REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING","DOWN",-0.379,-12.7,9.52e-07,0.000198
"(BioCarta) Bone Remodelling","BIOCARTA_RANKL_PATHWAY","UP",0.422,12.6,9.95e-07,0.000198
"(BioCarta) Influence of Ras and Rho proteins on G1 to S Transition","BIOCARTA_RACCYCD_PATHWAY","DOWN",-0.397,-12.5,1.06e-06,0.000198
"(KEGG) Long-term depression","KEGG_LONG_TERM_DEPRESSION","UP",0.293,12.2,1.28e-06,0.000205
"(Reactome) Other semaphorin interactions","REACTOME_OTHER_SEMAPHORIN_INTERACTIONS","DOWN",-0.399,-12,1.47e-06,0.000206
"(BioCarta) Control of Gene Expression by Vitamin D Receptor","BIOCARTA_VDR_PATHWAY","UP",0.322,11.2,2.47e-06,0.000254
"(PID) N-cadherin signaling events","PID_NCADHERIN_PATHWAY","UP",0.276,11.2,2.48e-06,0.000254
"(Reactome) Latent infection of Homo sapiens with Mycobacterium tuberculosis","REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS","DOWN",-0.309,-11.1,2.62e-06,0.000254
"(KEGG) Bladder cancer","KEGG_BLADDER_CANCER","DOWN",-0.316,-11,2.82e-06,0.000254
"(Reactome) Sema3A PAK dependent Axon repulsion","REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION","DOWN",-0.305,-11,2.94e-06,0.000254
"(Reactome) Nitric oxide stimulates guanylate cyclase","REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE","UP",0.313,10.8,3.33e-06,0.000268
"(Reactome) Synthesis of PC","REACTOME_SYNTHESIS_OF_PC","UP",0.296,10.7,3.58e-06,0.000268
"(PID) p73 transcription factor network","PID_P73PATHWAY","DOWN",-0.246,-10.6,3.81e-06,0.000268
"(Reactome) EGFR downregulation","REACTOME_EGFR_DOWNREGULATION","DOWN",-0.27,-10.5,4.14e-06,0.000274
"(Reactome) Facilitative Na+-independent glucose transporters","REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS","DOWN",-0.376,-10.4,4.68e-06,0.000289
"(PID) Signaling events mediated by PRL","PID_PRL_SIGNALING_EVENTS_PATHWAY","DOWN",-0.259,-10.3,4.89e-06,0.000289
"(BioCarta) Cell Cycle: G1/S Check Point","BIOCARTA_G1_PATHWAY","DOWN",-0.368,-10.2,5.13e-06,0.000289
"(BioCarta) Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","BIOCARTA_AKAP13_PATHWAY","UP",0.229,10,6.02e-06,0.000323
