"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Latent infection of Homo sapiens with Mycobacterium tuberculosis","REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS","DOWN",-0.468,-11.5,3.65e-06,0.0015
"(Reactome) Glycosphingolipid metabolism","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","DOWN",-0.463,-10.7,6.12e-06,0.0015
"(Reactome) Transferrin endocytosis and recycling","REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING","DOWN",-0.395,-10.2,8.87e-06,0.0015
"(Reactome) Insulin receptor recycling","REACTOME_INSULIN_RECEPTOR_RECYCLING","DOWN",-0.44,-10.2,8.87e-06,0.0015
"(Reactome) Glutathione conjugation","REACTOME_GLUTATHIONE_CONJUGATION","DOWN",-0.405,-9.94,1.04e-05,0.0015
"(Reactome) Facilitative Na+-independent glucose transporters","REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS","DOWN",-0.545,-9.78,1.16e-05,0.0015
"(Reactome) Fatty Acyl-CoA Biosynthesis","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","UP",0.381,9.74,1.2e-05,0.0015
"(KEGG) Metabolism of xenobiotics by cytochrome P450","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","DOWN",-0.432,-9.43,1.52e-05,0.0015
"(KEGG) Oxidative phosphorylation","KEGG_OXIDATIVE_PHOSPHORYLATION","DOWN",-0.366,-9.39,1.56e-05,0.0015
"(Reactome) p75NTR signals via NF-kB","REACTOME_P75NTR_SIGNALS_VIA_NFKB","DOWN",-0.411,-9.36,1.61e-05,0.0015
"(Reactome) Synthesis of very long-chain fatty acyl-CoAs","REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","UP",0.406,9.21,1.8e-05,0.0015
"(Reactome) G beta:gamma signalling through PLC beta","REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA","UP",0.356,9.19,1.83e-05,0.0015
"(Reactome) Peptide ligand-binding receptors","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","DOWN",-0.418,-9.09,1.98e-05,0.0015
"(Reactome) G-protein beta:gamma signalling","REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING","UP",0.308,9.09,1.99e-05,0.0015
"(Reactome) Retrograde neurotrophin signalling","REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING","DOWN",-0.358,-9.08,2e-05,0.0015
"(KEGG) Intestinal immune network for IgA production","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","DOWN",-0.317,-8.84,2.42e-05,0.0017
"(PID) Visual signal transduction: Rods","PID_RHODOPSIN_PATHWAY","DOWN",-0.52,-8.65,2.83e-05,0.00184
"(BioCarta) IL-10 Anti-inflammatory Signaling Pathway","BIOCARTA_IL10_PATHWAY","DOWN",-0.372,-8.44,3.37e-05,0.00184
"(Reactome) Formation of Fibrin Clot (Clotting Cascade)","REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE","DOWN",-0.517,-8.37,3.6e-05,0.00184
