"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(BioCarta) Acute Myocardial Infarction","BIOCARTA_AMI_PATHWAY","DOWN",-0.631,-19.5,1.65e-08,1.86e-05
"(Reactome) Synthesis of very long-chain fatty acyl-CoAs","REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","UP",0.474,14.8,1.71e-07,5.73e-05
"(PID) Syndecan-4-mediated signaling events","PID_SYNDECAN_4_PATHWAY","DOWN",-0.462,-14.6,1.92e-07,5.73e-05
"(BioCarta) Double Stranded RNA Induced Gene Expression","BIOCARTA_RNA_PATHWAY","DOWN",-0.409,-13.9,2.94e-07,5.73e-05
"(Reactome) Formation of Fibrin Clot (Clotting Cascade)","REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE","DOWN",-0.578,-13.8,3.11e-07,5.73e-05
"(KEGG) Glycosaminoglycan degradation","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","UP",0.494,13.8,3.14e-07,5.73e-05
"(Reactome) Cholesterol biosynthesis","REACTOME_CHOLESTEROL_BIOSYNTHESIS","DOWN",-0.97,-13.5,3.84e-07,5.73e-05
"(KEGG) Nitrogen metabolism","KEGG_NITROGEN_METABOLISM","UP",0.525,13.3,4.23e-07,5.73e-05
"(Reactome) Fatty Acyl-CoA Biosynthesis","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","UP",0.371,13.2,4.59e-07,5.73e-05
"(KEGG) Steroid biosynthesis","KEGG_STEROID_BIOSYNTHESIS","DOWN",-1.05,-13,5.11e-07,5.75e-05
"(KEGG) Glycosphingolipid biosynthesis - ganglio series","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES","UP",0.385,12.2,8.82e-07,9.02e-05
"(Reactome) Inflammasomes","REACTOME_INFLAMMASOMES","DOWN",-0.254,-12,1e-06,9.4e-05
"(Reactome) Steroid hormones","REACTOME_STEROID_HORMONES","DOWN",-0.275,-11.3,1.6e-06,0.000131
"(BioCarta) Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy","BIOCARTA_CARDIACEGF_PATHWAY","DOWN",-0.316,-11.3,1.63e-06,0.000131
"(Reactome) SHC-mediated cascade","REACTOME_SHC_MEDIATED_CASCADE","UP",0.372,11.2,1.76e-06,0.000132
"(PID) Alpha9 beta1 integrin signaling events","PID_INTEGRIN_A9B1_PATHWAY","DOWN",-0.311,-11.1,1.98e-06,0.000134
"(PID) Beta1 integrin cell surface interactions","PID_INTEGRIN1_PATHWAY","DOWN",-0.319,-10.9,2.14e-06,0.000134
"(KEGG) Terpenoid backbone biosynthesis","KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","DOWN",-0.523,-10.9,2.15e-06,0.000134
"(BioCarta) Endocytotic role of NDK, Phosphins and Dynamin","BIOCARTA_NDKDYNAMIN_PATHWAY","DOWN",-0.33,-10.8,2.4e-06,0.000142
"(KEGG) Nicotinate and nicotinamide metabolism","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","UP",0.238,10.5,3.05e-06,0.00017
"(KEGG) TGF-beta signaling pathway","KEGG_TGF_BETA_SIGNALING_PATHWAY","DOWN",-0.223,-10.4,3.18e-06,0.00017
"(PID) EPHA2 forward signaling","PID_EPHA2_FWD_PATHWAY","UP",0.325,10.2,3.91e-06,2e-04
"(KEGG) Glycine, serine and threonine metabolism","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","UP",0.281,10.1,4.19e-06,0.000205
"(Reactome) Metabolism of steroid hormones and vitamins A and D","REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D","DOWN",-0.258,-10,4.43e-06,0.000208
"(BioCarta) Rab GTPases Mark Targets In The Endocytotic Machinery","BIOCARTA_RAB_PATHWAY","UP",0.461,9.93,4.74e-06,0.000213
"(PID) EPHA forward signaling","PID_EPHA_FWDPATHWAY","UP",0.247,9.84,5.08e-06,0.000219
"(Reactome) Peptide chain elongation","REACTOME_PEPTIDE_CHAIN_ELONGATION","DOWN",-0.227,-9.8,5.25e-06,0.000219
"(Reactome) Signal attenuation","REACTOME_SIGNAL_ATTENUATION","UP",0.244,9.66,5.9e-06,0.000233
"(Reactome) HS-GAG biosynthesis","REACTOME_HS_GAG_BIOSYNTHESIS","UP",0.307,9.64,6e-06,0.000233
"(Reactome) Retrograde neurotrophin signalling","REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING","DOWN",-0.27,-9.49,6.79e-06,0.000251
"(PID) Alpha4 beta1 integrin signaling events","PID_INTEGRIN_A4B1_PATHWAY","DOWN",-0.401,-9.46,7.01e-06,0.000251
"(PID) Visual signal transduction: Rods","PID_RHODOPSIN_PATHWAY","DOWN",-0.233,-9.39,7.44e-06,0.000251
"(KEGG) Ribosome","KEGG_RIBOSOME","DOWN",-0.233,-9.38,7.47e-06,0.000251
