"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Activation of Rac","REACTOME_ACTIVATION_OF_RAC","UP",0.475,26.9,7.25e-08,4.77e-05
"(SigmaAldrich) Expression of cyclins regulates progression through the cell cycle by activating cyclin-dependent kinases.","SA_REG_CASCADE_OF_CYCLIN_EXPR","DOWN",-0.561,-25.2,1.08e-07,4.77e-05
"(Reactome) Signaling by Hippo","REACTOME_SIGNALING_BY_HIPPO","UP",0.429,24.6,1.27e-07,4.77e-05
"(Reactome) TRAF3-dependent IRF activation pathway","REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY","UP",0.411,22.6,2.18e-07,5.7e-05
"(BioCarta) Cell Cycle: G1/S Check Point","BIOCARTA_G1_PATHWAY","DOWN",-0.444,-22.1,2.53e-07,5.7e-05
"(KEGG) Hematopoietic cell lineage","KEGG_HEMATOPOIETIC_CELL_LINEAGE","UP",0.42,20.6,4e-07,6.73e-05
"(PID) Signaling mediated by p38-gamma and p38-delta","PID_P38_GAMMA_DELTA_PATHWAY","DOWN",-0.444,-20.4,4.19e-07,6.73e-05
"(PID) Visual signal transduction: Cones","PID_CONE_PATHWAY","UP",0.525,18.8,7.14e-07,1e-04
"(PID) Lissencephaly gene (LIS1) in neuronal migration and development","PID_LIS1_PATHWAY","UP",0.349,18.2,8.63e-07,0.000108
"(PID) FOXM1 transcription factor network","PID_FOXM1_PATHWAY","DOWN",-0.422,-16.9,1.4e-06,0.000157
"(Reactome) NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10","UP",0.377,15.8,2.12e-06,0.000217
"(Reactome) Signaling by Robo receptor","REACTOME_SIGNALING_BY_ROBO_RECEPTOR","UP",0.34,15.5,2.36e-06,0.000221
"(PID) Validated transcriptional targets of AP1 family members Fra1 and Fra2","PID_FRA_PATHWAY","DOWN",-0.334,-15.2,2.72e-06,0.000225
"(Reactome) Interferon gamma signaling","REACTOME_INTERFERON_GAMMA_SIGNALING","UP",0.35,15.1,2.8e-06,0.000225
"(Reactome) Inflammasomes","REACTOME_INFLAMMASOMES","DOWN",-0.309,-14.5,3.7e-06,0.000278
"(KEGG) Nicotinate and nicotinamide metabolism","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","UP",0.426,14.1,4.28e-06,0.000287
"(Reactome) TRAF6 mediated IRF7 activation","REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION","UP",0.336,13.9,4.73e-06,0.000287
"(Reactome) Negative regulators of RIG-I/MDA5 signaling","REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING","UP",0.485,13.9,4.82e-06,0.000287
"(KEGG) Complement and coagulation cascades","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","UP",0.295,13.9,4.85e-06,0.000287
"(Reactome) RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways","REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS","UP",0.279,13.7,5.12e-06,0.000288
"(BioCarta) Activation of Src by Protein-tyrosine phosphatase alpha","BIOCARTA_SRCRPTP_PATHWAY","DOWN",-0.377,-13.5,5.7e-06,0.00029
"(KEGG) Prion diseases","KEGG_PRION_DISEASES","DOWN",-0.323,-13.4,6.1e-06,0.00029
"(PID) AP-1 transcription factor network","PID_AP1_PATHWAY","DOWN",-0.503,-13.2,6.51e-06,0.00029
"(KEGG) Non-small cell lung cancer","KEGG_NON_SMALL_CELL_LUNG_CANCER","DOWN",-0.239,-13.1,6.73e-06,0.00029
"(KEGG) Glycosphingolipid biosynthesis - globo series","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES","UP",0.245,13.1,6.93e-06,0.00029
"(KEGG) Bladder cancer","KEGG_BLADDER_CANCER","DOWN",-0.252,-13.1,6.97e-06,0.00029
"(KEGG) Nitrogen metabolism","KEGG_NITROGEN_METABOLISM","UP",0.675,13,7.22e-06,0.00029
"(Reactome) Peptide ligand-binding receptors","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","DOWN",-0.251,-13,7.4e-06,0.00029
"(Reactome) Amino acid transport across the plasma membrane","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","DOWN",-0.337,-12.9,7.47e-06,0.00029
"(Reactome) Degradation of the extracellular matrix","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","UP",0.368,12.8,7.83e-06,0.000294
"(BioCarta) Tumor Suppressor Arf Inhibits Ribosomal Biogenesis","BIOCARTA_ARF_PATHWAY","DOWN",-0.423,-12.7,8.26e-06,3e-04
"(Reactome) Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS","DOWN",-0.386,-12.5,9.08e-06,0.000317
"(KEGG) Dorso-ventral axis formation","KEGG_DORSO_VENTRAL_AXIS_FORMATION","UP",0.251,12.5,9.29e-06,0.000317
"(KEGG) RIG-I-like receptor signaling pathway","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY","UP",0.218,12.2,1.06e-05,0.000352
"(Reactome) HS-GAG biosynthesis","REACTOME_HS_GAG_BIOSYNTHESIS","UP",0.266,12.1,1.14e-05,0.000365
"(Reactome) Regulation of IFNA signaling","REACTOME_REGULATION_OF_IFNA_SIGNALING","UP",0.296,12,1.19e-05,0.000372
"(BioCarta) Influence of Ras and Rho proteins on G1 to S Transition","BIOCARTA_RACCYCD_PATHWAY","DOWN",-0.246,-11.9,1.23e-05,0.000373
"(PID) ATF-2 transcription factor network","PID_ATF2_PATHWAY","DOWN",-0.32,-11.8,1.31e-05,0.000373
