"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Activation of Rac","REACTOME_ACTIVATION_OF_RAC","UP",0.429,22.1,3.06e-07,0.000332
"(Reactome) G beta:gamma signalling through PLC beta","REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA","UP",0.411,19.1,7.67e-07,0.000332
"(Reactome) Peptide ligand-binding receptors","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","DOWN",-0.332,-17.6,1.26e-06,0.000332
"(Reactome) Neurotransmitter Release Cycle","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","UP",0.307,17.2,1.46e-06,0.000332
"(PID) p38 MAPK signaling pathway","PID_P38_MKK3_6PATHWAY","UP",0.282,17.2,1.47e-06,0.000332
"(PID) Regulation of retinoblastoma protein","PID_RB_1PATHWAY","UP",0.244,14.9,3.57e-06,0.000494
"(BioCarta) Role of MEF2D in T-cell Apoptosis","BIOCARTA_MEF2D_PATHWAY","DOWN",-0.276,-14.4,4.45e-06,0.000494
"(Signaling Gateway) Genes related to regulation of the actin cytoskeleton","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","UP",0.268,14.1,5.04e-06,0.000494
"(Reactome) Apoptotic execution  phase","REACTOME_APOPTOTIC_EXECUTION_PHASE","DOWN",-0.252,-13.9,5.48e-06,0.000494
"(BioCarta) Influence of Ras and Rho proteins on G1 to S Transition","BIOCARTA_RACCYCD_PATHWAY","UP",0.285,13.8,5.81e-06,0.000494
"(Naba) Genes encoding structural components of basement membranes","NABA_BASEMENT_MEMBRANES","UP",0.23,13.7,5.93e-06,0.000494
"(Reactome) Signalling to ERKs","REACTOME_SIGNALLING_TO_ERKS","UP",0.251,13.6,6.12e-06,0.000494
"(BioCarta) NF-kB Signaling Pathway","BIOCARTA_NFKB_PATHWAY","UP",0.282,13.6,6.13e-06,0.000494
"(Reactome) SHC-mediated cascade","REACTOME_SHC_MEDIATED_CASCADE","UP",0.406,13.6,6.15e-06,0.000494
"(Reactome) Gap junction trafficking","REACTOME_GAP_JUNCTION_TRAFFICKING","DOWN",-0.342,-13.3,7.17e-06,0.000515
"(Reactome) p38MAPK events","REACTOME_P38MAPK_EVENTS","UP",0.341,13.2,7.37e-06,0.000515
"(Reactome) CS/DS degradation","REACTOME_CS_DS_DEGRADATION","UP",0.383,13.1,7.78e-06,0.000515
"(Reactome) Signal attenuation","REACTOME_SIGNAL_ATTENUATION","UP",0.271,13,8.35e-06,0.000517
"(KEGG) Nitrogen metabolism","KEGG_NITROGEN_METABOLISM","UP",0.696,12.8,9.04e-06,0.000517
"(Reactome) Synthesis of PC","REACTOME_SYNTHESIS_OF_PC","DOWN",-0.526,-12.7,9.53e-06,0.000517
"(Reactome) Apoptotic cleavage of cellular proteins","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","DOWN",-0.227,-12.6,9.74e-06,0.000517
"(Reactome) Ionotropic activity of Kainate Receptors","REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","DOWN",-0.802,-12.6,1.01e-05,0.000517
"(Reactome) Chromosome Maintenance","REACTOME_CHROMOSOME_MAINTENANCE","DOWN",-0.203,-12.4,1.1e-05,0.00053
"(Reactome) Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS","DOWN",-0.224,-12.3,1.13e-05,0.00053
"(KEGG) DNA replication","KEGG_DNA_REPLICATION","DOWN",-0.237,-12.2,1.23e-05,0.000535
"(PID) PDGFR-alpha signaling pathway","PID_PDGFRA_PATHWAY","UP",0.267,12.2,1.24e-05,0.000535
"(Reactome) G-protein beta:gamma signalling","REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING","UP",0.248,12.1,1.28e-05,0.000535
"(Reactome) Transport to the Golgi and subsequent modification","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION","UP",0.236,11.9,1.42e-05,0.000559
"(PID) IL2 signaling events mediated by STAT5","PID_IL2_STAT5_PATHWAY","UP",0.379,11.9,1.44e-05,0.000559
"(Reactome) Prostacyclin signalling through prostacyclin receptor","REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR","UP",0.259,11.8,1.49e-05,0.00056
"(BioCarta) Cyclins and Cell Cycle Regulation","BIOCARTA_CELLCYCLE_PATHWAY","UP",0.54,11.7,1.57e-05,0.000568
"(PID) Cellular roles of Anthrax toxin","PID_ANTHRAX_PATHWAY","DOWN",-0.238,-11.6,1.61e-05,0.000568
"(KEGG) Spliceosome","KEGG_SPLICEOSOME","DOWN",-0.282,-11.5,1.79e-05,0.00059
"(BioCarta) Role of Parkin in the Ubiquitin-Proteasomal Pathway","BIOCARTA_PARKIN_PATHWAY","UP",0.257,11.4,1.83e-05,0.00059
"(BioCarta) CDK Regulation of DNA Replication","BIOCARTA_MCM_PATHWAY","DOWN",-0.286,-11.3,1.89e-05,0.00059
"(Reactome) APC-Cdc20 mediated degradation of Nek2A","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","DOWN",-0.223,-11.3,1.89e-05,0.00059
"(BioCarta) Aspirin Blocks Signaling Pathway Involved in Platelet Activation","BIOCARTA_SPPA_PATHWAY","DOWN",-0.213,-11.3,1.98e-05,0.000593
"(Reactome) Activation of the pre-replicative complex","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.236,-11.2,2e-05,0.000593
"(Reactome) Signalling to RAS","REACTOME_SIGNALLING_TO_RAS","UP",0.366,11,2.25e-05,0.000645
"(PID) Signaling mediated by p38-gamma and p38-delta","PID_P38_GAMMA_DELTA_PATHWAY","UP",0.252,11,2.33e-05,0.000645
"(Reactome) DNA strand elongation","REACTOME_DNA_STRAND_ELONGATION","DOWN",-0.207,-10.9,2.35e-05,0.000645
"(Naba) Genes encoding proteoglycans","NABA_PROTEOGLYCANS","UP",0.225,10.9,2.48e-05,0.000663
"(Reactome) Meiotic Synapsis","REACTOME_MEIOTIC_SYNAPSIS","DOWN",-0.226,-10.7,2.65e-05,0.000692
"(Reactome) HDL-mediated lipid transport","REACTOME_HDL_MEDIATED_LIPID_TRANSPORT","DOWN",-0.332,-10.7,2.76e-05,0.000692
"(KEGG) RIG-I-like receptor signaling pathway","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY","UP",0.194,10.7,2.77e-05,0.000692
"(BioCarta) Human Cytomegalovirus and Map Kinase Pathways","BIOCARTA_HCMV_PATHWAY","UP",0.192,10.6,2.84e-05,0.000695
"(Reactome) Regulatory RNA pathways","REACTOME_REGULATORY_RNA_PATHWAYS","DOWN",-0.255,-10.4,3.12e-05,0.000742
"(Reactome) Myogenesis","REACTOME_MYOGENESIS","UP",0.204,10.4,3.17e-05,0.000742
"(Reactome) mRNA Splicing","REACTOME_MRNA_SPLICING","DOWN",-0.228,-10.4,3.27e-05,0.000742
"(Reactome) Destabilization of mRNA by Tristetraprolin (TTP)","REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP","DOWN",-0.253,-10.3,3.33e-05,0.000742
"(KEGG) Tight junction","KEGG_TIGHT_JUNCTION","DOWN",-0.222,-10.3,3.36e-05,0.000742
"(Reactome) Unwinding of DNA","REACTOME_UNWINDING_OF_DNA","DOWN",-0.257,-10.2,3.65e-05,0.000779
"(PID) TNF receptor signaling pathway","PID_TNF_PATHWAY","UP",0.17,10.2,3.67e-05,0.000779
"(PID) S1P4 pathway","PID_S1P_S1P4_PATHWAY","DOWN",-0.174,-10.1,3.84e-05,0.000788
"(BioCarta) Cell to Cell Adhesion Signaling","BIOCARTA_CELL2CELL_PATHWAY","DOWN",-0.836,-10.1,3.91e-05,0.000788
"(Reactome) FRS2-mediated cascade","REACTOME_FRS2_MEDIATED_CASCADE","UP",0.232,10.1,3.93e-05,0.000788
"(Reactome) O-linked glycosylation of mucins","REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS","DOWN",-0.306,-10,3.99e-05,0.000788
"(KEGG) RNA degradation","KEGG_RNA_DEGRADATION","DOWN",-0.22,-9.95,4.17e-05,0.000809
"(Reactome) Extension of Telomeres","REACTOME_EXTENSION_OF_TELOMERES","DOWN",-0.249,-9.9,4.31e-05,0.000811
"(Reactome) G1 Phase","REACTOME_G1_PHASE","UP",0.272,9.88,4.35e-05,0.000811
