"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Signaling by Hippo","REACTOME_SIGNALING_BY_HIPPO","UP",0.303,6.03,2.7e-09,3.16e-06
"(Reactome) Pre-NOTCH Expression and Processing","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","UP",0.132,5.72,1.62e-08,5.41e-06
"(PID) ErbB4 signaling events","PID_ERBB4_PATHWAY","UP",0.0911,5.71,1.66e-08,5.41e-06
"(Reactome) Pre-NOTCH Transcription and Translation","REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION","UP",0.17,5.69,1.85e-08,5.41e-06
"(BioCarta) Role of Ran in mitotic spindle regulation","BIOCARTA_RANMS_PATHWAY","DOWN",-0.144,-5.42,8.37e-08,1.96e-05
"(PID) Notch-mediated HES/HEY network","PID_HES_HEY_PATHWAY","UP",0.17,5.35,1.19e-07,2.32e-05
"(Reactome) Prefoldin mediated transfer of substrate  to CCT/TriC","REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC","DOWN",-0.12,-5.29,1.62e-07,2.71e-05
"(Reactome) Notch-HLH transcription pathway","REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY","UP",0.238,5.24,2.09e-07,2.77e-05
"(Reactome) Antigen processing: Ubiquitination & Proteasome degradation","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION","DOWN",-0.0873,-5.23,2.22e-07,2.77e-05
"(Reactome) The citric acid (TCA) cycle and respiratory electron transport","REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT","DOWN",-0.155,-5.19,2.75e-07,2.77e-05
"(BioCarta) Phosphoinositides and their downstream targets.","BIOCARTA_PTDINS_PATHWAY","DOWN",-0.13,-5.19,2.8e-07,2.77e-05
"(PID) TGF-beta receptor signaling","PID_TGFBR_PATHWAY","UP",0.116,5.18,2.84e-07,2.77e-05
"(Reactome) RNA Polymerase III Chain Elongation","REACTOME_RNA_POL_III_CHAIN_ELONGATION","DOWN",-0.207,-5.16,3.14e-07,2.78e-05
"(Reactome) Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_","DOWN",-0.172,-5.12,3.89e-07,2.78e-05
"(Reactome) Mitochondrial Protein Import","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","DOWN",-0.174,-5.11,4.11e-07,2.78e-05
