"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(PID) Visual signal transduction: Rods","PID_RHODOPSIN_PATHWAY","DOWN",-0.283,-9.82,7.14e-21,8.45e-18
"(Reactome) Chondroitin sulfate biosynthesis","REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS","UP",0.316,8.13,3.64e-15,2.16e-12
"(BioCarta) ALK in cardiac myocytes","BIOCARTA_ALK_PATHWAY","UP",0.219,7.78,4.25e-14,1.45e-11
"(Reactome) YAP1- and WWTR1 (TAZ)-stimulated gene expression","REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION","UP",0.274,7.74,6.03e-14,1.45e-11
"(Reactome) Cell-extracellular matrix interactions","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","UP",0.251,7.73,6.11e-14,1.45e-11
"(BioCarta) Erk1/Erk2 Mapk Signaling pathway","BIOCARTA_ERK_PATHWAY","UP",0.147,7.7,7.88e-14,1.46e-11
"(BioCarta) Role of Tob in T-cell activation","BIOCARTA_TOB1_PATHWAY","UP",0.419,7.68,8.64e-14,1.46e-11
"(Reactome) G2/M Checkpoints","REACTOME_G2_M_CHECKPOINTS","DOWN",-0.198,-7.56,2.07e-13,2.82e-11
"(PID) Angiopoietin receptor Tie2-mediated signaling","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","UP",0.206,7.55,2.14e-13,2.82e-11
"(PID) Signaling events mediated by focal adhesion kinase","PID_FAK_PATHWAY","UP",0.104,7.52,2.74e-13,3.24e-11
"(Reactome) CDC6 association with the ORC:origin complex","REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX","DOWN",-0.28,-7.44,4.61e-13,4.74e-11
"(BioCarta) CTCF: First Multivalent Nuclear Factor","BIOCARTA_CTCF_PATHWAY","UP",0.22,7.43,4.8e-13,4.74e-11
"(Reactome) Activation of ATR in response to replication stress","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","DOWN",-0.206,-7.21,2.14e-12,1.95e-10
"(KEGG) Basal transcription factors","KEGG_BASAL_TRANSCRIPTION_FACTORS","DOWN",-0.128,-7.13,3.75e-12,3.18e-10
"(Reactome) PTM: gamma carboxylation, hypusine formation and arylsulfatase activation","REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION","DOWN",-0.146,-7.1,4.58e-12,3.61e-10
"(BioCarta) Corticosteroids and cardioprotection","BIOCARTA_GCR_PATHWAY","UP",0.154,7.03,7.16e-12,5.17e-10
