"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(STKE) T Cell Signal Transduction","ST_T_CELL_SIGNAL_TRANSDUCTION","UP",0.0569,4.23,2.64e-05,0.023
"(Reactome) Prolonged ERK activation events","REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS","UP",0.0435,3.94,9.12e-05,0.023
"(Reactome) G-protein beta:gamma signalling","REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING","DOWN",-0.0511,-3.85,0.00013,0.023
"(Reactome) ADP signalling through P2Y purinoceptor 12","REACTOME_ADP_SIGNALLING_THROUGH_P2RY12","DOWN",-0.0581,-3.84,0.000138,0.023
"(KEGG) beta-Alanine metabolism","KEGG_BETA_ALANINE_METABOLISM","DOWN",-0.0872,-3.8,0.000157,0.023
"(PID) CDC42 signaling events","PID_CDC42_PATHWAY","UP",0.0258,3.78,0.000173,0.023
"(STKE) Fas Signaling Pathway","ST_FAS_SIGNALING_PATHWAY","UP",0.0398,3.71,0.000224,0.023
"(Reactome) Signaling by NODAL","REACTOME_SIGNALING_BY_NODAL","UP",0.0644,3.71,0.000227,0.023
"(KEGG) Neurotrophin signaling pathway","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","UP",0.0288,3.7,0.000231,0.023
"(STKE) G alpha 13 Pathway","ST_GA13_PATHWAY","UP",0.0372,3.7,0.000237,0.023
"(PID) Arf1 pathway","PID_ARF_3PATHWAY","DOWN",-0.0387,-3.68,0.000253,0.023
"(Reactome) NEP/NS2 Interacts with the Cellular Export Machinery","REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY","DOWN",-0.0593,-3.66,0.00027,0.023
"(Reactome) G beta:gamma signalling through PI3Kgamma","REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA","DOWN",-0.0516,-3.64,0.000293,0.023
"(PID) Sphingosine 1-phosphate (S1P) pathway","PID_S1P_META_PATHWAY","UP",0.0582,3.64,0.000293,0.023
"(KEGG) Arginine and proline metabolism","KEGG_ARGININE_AND_PROLINE_METABOLISM","DOWN",-0.0604,-3.63,0.000311,0.023
"(BioCarta) Ras Signaling Pathway","BIOCARTA_RAS_PATHWAY","UP",0.062,3.61,0.000334,0.023
"(Reactome) Calnexin/calreticulin cycle","REACTOME_CALNEXIN_CALRETICULIN_CYCLE","DOWN",-0.0593,-3.61,0.000337,0.023
"(Reactome) Signaling by SCF-KIT","REACTOME_SIGNALING_BY_SCF_KIT","UP",0.0342,3.57,0.000381,0.024
"(BioCarta) AKT Signaling Pathway","BIOCARTA_AKT_PATHWAY","UP",0.0595,3.54,0.000437,0.024
"(Reactome) ARMS-mediated activation","REACTOME_ARMS_MEDIATED_ACTIVATION","UP",0.0375,3.53,0.000453,0.024
"(PID) Netrin-mediated signaling events","PID_NETRIN_PATHWAY","UP",0.0401,3.5,0.000502,0.024
"(Reactome) G beta:gamma signalling through PLC beta","REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA","DOWN",-0.0563,-3.5,0.000506,0.024
"(Reactome) Signal amplification","REACTOME_SIGNAL_AMPLIFICATION","DOWN",-0.0378,-3.49,0.00052,0.024
"(KEGG) Butanoate metabolism","KEGG_BUTANOATE_METABOLISM","DOWN",-0.12,-3.48,0.000539,0.024
"(Reactome) Incretin Synthesis, Secretion, and Inactivation","REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION","DOWN",-0.0733,-3.48,0.000542,0.024
"(Reactome) Synthesis, Secretion, and Inactivation of Glucagon-like Peptide-1 (GLP-1)","REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1","DOWN",-0.0733,-3.48,0.000542,0.024
"(PID) Signaling events mediated by focal adhesion kinase","PID_FAK_PATHWAY","UP",0.0454,3.47,0.00056,0.024
"(PID) ErbB4 signaling events","PID_ERBB4_PATHWAY","UP",0.0339,3.45,0.000593,0.0245
"(PID) E-cadherin signaling in the nascent adherens junction","PID_ECADHERIN_NASCENT_AJ_PATHWAY","UP",0.0353,3.43,0.000635,0.0251
"(PID) LPA receptor mediated events","PID_LYSOPHOSPHOLIPID_PATHWAY","UP",0.0343,3.43,0.000649,0.0251
"(PID) mTOR signaling pathway","PID_MTOR_4PATHWAY","UP",0.0259,3.39,0.000742,0.0277
"(Reactome) mRNA Capping","REACTOME_MRNA_CAPPING","DOWN",-0.0662,-3.37,0.000787,0.0279
"(PID) Arf6 signaling events","PID_ARF6_PATHWAY","UP",0.0353,3.37,0.000812,0.0279
"(KEGG) Renal cell carcinoma","KEGG_RENAL_CELL_CARCINOMA","UP",0.035,3.36,0.000818,0.0279
"(STKE) B Cell Antigen Receptor","ST_B_CELL_ANTIGEN_RECEPTOR","UP",0.0416,3.33,0.00092,0.029
"(Reactome) Glucose transport","REACTOME_GLUCOSE_TRANSPORT","DOWN",-0.0482,-3.32,0.000949,0.029
"(Reactome) Processing of Capped Intronless Pre-mRNA","REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA","DOWN",-0.0458,-3.32,0.000962,0.029
"(BioCarta) Signaling of Hepatocyte Growth Factor Receptor","BIOCARTA_MET_PATHWAY","UP",0.0536,3.32,0.000967,0.029
"(Reactome) Peroxisomal lipid metabolism","REACTOME_PEROXISOMAL_LIPID_METABOLISM","DOWN",-0.0626,-3.31,0.000988,0.029
"(KEGG) Other glycan degradation","KEGG_OTHER_GLYCAN_DEGRADATION","DOWN",-0.0802,-3.3,0.00103,0.029
"(Reactome) Host Interactions of HIV factors","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","DOWN",-0.0358,-3.29,0.00106,0.029
"(KEGG) Aldosterone-regulated sodium reabsorption","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION","UP",0.0526,3.28,0.00109,0.029
"(Reactome) Prostacyclin signalling through prostacyclin receptor","REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR","DOWN",-0.0533,-3.28,0.00109,0.029
"(BioCarta) Attenuation of GPCR Signaling","BIOCARTA_AGPCR_PATHWAY","UP",0.0532,3.28,0.0011,0.029
"(KEGG) Inositol phosphate metabolism","KEGG_INOSITOL_PHOSPHATE_METABOLISM","UP",0.0376,3.24,0.00126,0.0325
"(PID) Stabilization and expansion of the E-cadherin adherens junction","PID_ECADHERIN_STABILIZATION_PATHWAY","UP",0.0427,3.21,0.00142,0.0352
"(BioCarta) Human Cytomegalovirus and Map Kinase Pathways","BIOCARTA_HCMV_PATHWAY","UP",0.053,3.2,0.00146,0.0352
"(Reactome) TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION","UP",0.0355,3.19,0.00147,0.0352
"(Reactome) Regulation of signaling by CBL","REACTOME_REGULATION_OF_SIGNALING_BY_CBL","UP",0.0605,3.19,0.00149,0.0352
"(STKE) G alpha q Pathway","ST_GAQ_PATHWAY","UP",0.0363,3.17,0.00157,0.0365
"(KEGG) Protein export","KEGG_PROTEIN_EXPORT","DOWN",-0.0547,-3.17,0.00161,0.0366
"(Reactome) HIV Life Cycle","REACTOME_HIV_LIFE_CYCLE","DOWN",-0.0398,-3.16,0.00168,0.0368
"(BioCarta) Signaling Pathway from G-Protein Families","BIOCARTA_GPCR_PATHWAY","UP",0.0344,3.15,0.00169,0.0368
"(PID) DNA-PK pathway in nonhomologous end joining","PID_DNA_PK_PATHWAY","DOWN",-0.0548,-3.14,0.00177,0.0368
"(Reactome) HIV Infection","REACTOME_HIV_INFECTION","DOWN",-0.0355,-3.14,0.00178,0.0368
"(Reactome) Asparagine N-linked glycosylation","REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION","DOWN",-0.0373,-3.13,0.00185,0.0368
"(KEGG) Regulation of actin cytoskeleton","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","UP",0.032,3.11,0.00193,0.0368
