"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_RAP1_SIGNALLING",0.371327767831132,15.1308312494532,2.76822147647712e-07,0.000183911379234564,"UP"
"BIOCARTA_RANKL_PATHWAY",0.428134003277696,13.1516143185041,8.39585968262881e-07,0.000183911379234564,"UP"
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",0.366949113635191,13.1375400507166,8.4669328241627e-07,0.000183911379234564,"UP"
"BIOCARTA_CELLCYCLE_PATHWAY",-0.582098118853565,-13.071386428339,8.81012595135634e-07,0.000183911379234564,"DOWN"
"KEGG_LONG_TERM_DEPRESSION",0.296764969215684,12.6708905675564,1.12510091225018e-06,0.000187891852345781,"UP"
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",-0.39145621724369,-12.2026010269327,1.51124236873024e-06,0.000200737484560175,"DOWN"
"BIOCARTA_RACCYCD_PATHWAY",-0.390074338489334,-12.0358613735593,1.6828292118817e-06,0.000200737484560175,"DOWN"
"PID_NCADHERIN_PATHWAY",0.273867297174413,11.7165648436131,2.07555004636028e-06,0.000207076457905935,"UP"
"REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION",-0.302979620805356,-11.6077546491009,2.23196182174061e-06,0.000207076457905935,"DOWN"
"BIOCARTA_VDR_PATHWAY",0.319643591203229,11.4274310275256,2.5209651807694e-06,0.000210500592594245,"UP"
"REACTOME_SYNTHESIS_OF_PC",0.300589804571253,11.1997797674152,2.94714124309453e-06,0.000223714812543994,"UP"
"KEGG_BLADDER_CANCER",-0.30751142006266,-10.9601273859578,3.48457153036517e-06,0.000242468102321243,"DOWN"
"REACTOME_EGFR_DOWNREGULATION",-0.268315698623131,-10.8379529439596,3.79997162745337e-06,0.000244075100686428,"DOWN"
"BIOCARTA_AKAP13_PATHWAY",0.232389460582581,10.4867394495711,4.89866871604782e-06,0.00028956852794501,"UP"
"PID_P73PATHWAY",-0.236289615727762,-10.405175235701,5.20182984332353e-06,0.00028956852794501,"DOWN"
"REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS",-0.359159933514382,-10.1175726736366,6.44992712049906e-06,0.000322801711358035,"DOWN"
"PID_PRL_SIGNALING_EVENTS_PATHWAY",-0.25367054595722,-10.0928271054907,6.57201088992407e-06,0.000322801711358035,"DOWN"
"BIOCARTA_G1_PATHWAY",-0.359551508540598,-10.0030487938795,7.03702459146301e-06,0.000326439751881756,"DOWN"
"BIOCARTA_CBL_PATHWAY",-0.426511628580382,-9.60734315568039,9.57311293239218e-06,0.000370029682892024,"DOWN"
"REACTOME_INSULIN_RECEPTOR_RECYCLING",-0.28848513569536,-9.55029640800397,1.00163649630609e-05,0.000370029682892024,"DOWN"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.577896297501357,9.48900076283745,1.05182371207286e-05,0.000370029682892024,"UP"
