"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",-0.445256421163444,-11.2129125130888,6.03997416175374e-06,0.0021768166317809,"DOWN"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.377213855025663,10.6965446034931,8.43751472909953e-06,0.0021768166317809,"UP"
"REACTOME_INSULIN_RECEPTOR_RECYCLING",-0.428947454366648,-10.600332913875,8.99403692404834e-06,0.0021768166317809,"DOWN"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",-0.375591007931235,-10.1843058282549,1.19271169575557e-05,0.0021768166317809,"DOWN"
"REACTOME_GLUTATHIONE_CONJUGATION",-0.391116733891696,-9.63235913239777,1.76255971716337e-05,0.0021768166317809,"DOWN"
"BIOCARTA_CARDIACEGF_PATHWAY",-0.337296755172395,-9.57870543335538,1.8326497957091e-05,0.0021768166317809,"DOWN"
"REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS",-0.502360827205918,-9.57109883061475,1.84283788854255e-05,0.0021768166317809,"DOWN"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",-0.403704821893482,-9.40267421357668,2.08557282086792e-05,0.0021768166317809,"DOWN"
"KEGG_OXIDATIVE_PHOSPHORYLATION",-0.359160088780016,-9.13786972923374,2.54339209373564e-05,0.00222311342263472,"DOWN"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",-0.384395325956,-9.07775923136835,2.66241128459248e-05,0.00222311342263472,"DOWN"
"BIOCARTA_IL10_PATHWAY",-0.355608340815186,-8.64371842950505,3.7333495095732e-05,0.00228341024132696,"DOWN"
"BIOCARTA_AMI_PATHWAY",-0.572460001649345,-8.53644075084073,4.06763700002819e-05,0.00228341024132696,"DOWN"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",-0.274350345844393,-8.43632386150416,4.41015417932466e-05,0.00228341024132696,"DOWN"
"BIOCARTA_PS1_PATHWAY",0.253239842670594,8.41430958613413,4.48973558470566e-05,0.00228341024132696,"UP"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",-0.491911623035162,-8.36038269944765,4.69157352472273e-05,0.00228341024132696,"DOWN"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",-0.305638720008023,-8.34528803196278,4.74987806900694e-05,0.00228341024132696,"DOWN"
"PID_RHODOPSIN_PATHWAY",-0.481850420822812,-8.31252278770429,4.87925333766838e-05,0.00228341024132696,"DOWN"
"KEGG_ETHER_LIPID_METABOLISM",-0.2969530643192,-8.23882775158271,5.18492940795049e-05,0.00228341024132696,"DOWN"
"BIOCARTA_MCM_PATHWAY",1.02591724869059,8.18576037113253,5.41834266640929e-05,0.00228341024132696,"UP"
"KEGG_PEROXISOME",-0.296345323792573,-8.1745274974979,5.46924608701068e-05,0.00228341024132696,"DOWN"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",-0.241246571133745,-7.95366477726585,6.58746552326086e-05,0.0023597691643174,"DOWN"
"KEGG_TYROSINE_METABOLISM",-0.241778286893212,-7.93121658810872,6.71478022783928e-05,0.0023597691643174,"DOWN"
"REACTOME_UNWINDING_OF_DNA",1.69044706682939,7.92602120623822,6.74463695584032e-05,0.0023597691643174,"UP"
"KEGG_LYSINE_DEGRADATION",0.21258057940941,7.90958920067936,6.84005116053638e-05,0.0023597691643174,"UP"
"REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS",-0.23557216375654,-7.87181470050625,7.06517713867485e-05,0.0023597691643174,"DOWN"
"PID_SMAD2_3PATHWAY",0.259112380403306,7.76674539729873,7.7362378728956e-05,0.00248452254764147,"UP"
"BIOCARTA_ETS_PATHWAY",0.242325906053826,7.65771127536269,8.5090179104495e-05,0.00263149257600938,"UP"
"KEGG_LYSOSOME",-0.309225611113358,-7.58684534515321,9.05748208358987e-05,0.00265817154569243,"DOWN"
