"X","logFC","t","P.Value","adj.P.Val","Direction"
"BIOCARTA_AMI_PATHWAY",-0.626843227013102,-19.6538329719278,9.83662934706386e-09,8.21358550479832e-06,"DOWN"
"PID_SYNDECAN_4_PATHWAY",-0.460500832818016,-15.1506204628986,9.72758691543866e-08,2.89780499793033e-05,"DOWN"
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.494601660769265,14.0791044470872,1.84346552839208e-07,2.89780499793033e-05,"UP"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",-0.568609522052362,-13.9327112007067,2.0186974624424e-07,2.89780499793033e-05,"DOWN"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",-0.962435894966251,-13.8648981037338,2.10604856778037e-07,2.89780499793033e-05,"DOWN"
"BIOCARTA_RNA_PATHWAY",-0.406467825216036,-13.440397308207,2.75767379021048e-07,2.89780499793033e-05,"DOWN"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.369409109697843,13.3763725455111,2.87404345729794e-07,2.89780499793033e-05,"UP"
"KEGG_STEROID_BIOSYNTHESIS",-1.04203995668504,-13.3133714266642,2.99387376173812e-07,2.89780499793033e-05,"DOWN"
"KEGG_NITROGEN_METABOLISM",0.525602118229932,13.248342206282,3.12338263249976e-07,2.89780499793033e-05,"UP"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.389571372946815,12.5734847875876,4.90331145631826e-07,4.09426506602575e-05,"UP"
"BIOCARTA_CARDIACEGF_PATHWAY",-0.316116115108593,-11.8410637853261,8.205156557495e-07,6.22845975046211e-05,"DOWN"
"PID_INTEGRIN_A9B1_PATHWAY",-0.307221859101799,-11.2147398716392,1.30402914098146e-06,8.29017867104157e-05,"DOWN"
"PID_INTEGRIN1_PATHWAY",-0.315024780675129,-11.2023647515066,1.31632043436266e-06,8.29017867104157e-05,"DOWN"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",-0.516916527427106,-11.1307867062266,1.38997007658182e-06,8.29017867104157e-05,"DOWN"
