"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_ACTIVATION_OF_RAC",0.420245820047244,21.7939010175947,3.75624996054847e-07,0.000313646871705797,"UP"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",-0.353860031222648,-19.3143090474229,7.9367891442348e-07,0.000331360946771803,"DOWN"
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.293880108756563,16.8321612441155,1.85454748079036e-06,0.000418838266376282,"UP"
"PID_P38_MKK3_6PATHWAY",0.267847200639721,16.6182478147813,2.00641085689237e-06,0.000418838266376282,"UP"
"BIOCARTA_MEF2D_PATHWAY",-0.272736759801067,-14.4247894138773,4.78066003511848e-06,0.000456642582637724,"DOWN"
"PID_RB_1PATHWAY",0.229916469161351,14.2757263653682,5.09399979787678e-06,0.000456642582637724,"UP"
"REACTOME_GAP_JUNCTION_TRAFFICKING",-0.339100805064403,-13.8399745372404,6.15529070035588e-06,0.000456642582637724,"DOWN"
"KEGG_DNA_REPLICATION",-0.253882823248924,-13.6941172424261,6.56608668842596e-06,0.000456642582637724,"DOWN"
"REACTOME_CHROMOSOME_MAINTENANCE",-0.217946639179694,-13.4961711797268,7.17528201448288e-06,0.000456642582637724,"DOWN"
"BIOCARTA_RACCYCD_PATHWAY",0.27495521264661,13.3253448530833,7.75393959874693e-06,0.000456642582637724,"UP"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",0.264319643082029,13.178583650741,8.29442953872463e-06,0.000456642582637724,"UP"
"NABA_BASEMENT_MEMBRANES",0.216582944771366,13.1646374711366,8.34801630074603e-06,0.000456642582637724,"UP"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",-0.229820108852468,-13.0123527162566,8.95993195025782e-06,0.000456642582637724,"DOWN"
"REACTOME_SIGNAL_ATTENUATION",0.261015273388275,12.9598813048274,9.18265468061473e-06,0.000456642582637724,"UP"
"REACTOME_CS_DS_DEGRADATION",0.372204732829401,12.951147070349,9.22034561012862e-06,0.000456642582637724,"UP"
"REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS",-0.243448651851738,-12.8977730884556,9.4545886100795e-06,0.000456642582637724,"DOWN"
"REACTOME_SYNTHESIS_OF_PC",-0.532246555841017,-12.774519393578,1.00222453021431e-05,0.000456642582637724,"DOWN"
"REACTOME_P38MAPK_EVENTS",0.331540348486065,12.6272374451123,1.07528928648402e-05,0.000456642582637724,"UP"
"REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS",-0.797852306383873,-12.6262345002753,1.07580749118e-05,0.000456642582637724,"DOWN"
"BIOCARTA_NFKB_PATHWAY",0.261002903547248,12.591839035488,1.09375468895263e-05,0.000456642582637724,"UP"
"KEGG_NITROGEN_METABOLISM",0.674349166144508,12.4444381484828,1.1746851026436e-05,0.00046707717176543,"UP"
"PID_ANTHRAX_PATHWAY",-0.243487269337268,-12.1319741510037,1.37020666411793e-05,0.000520055711153849,"DOWN"
"KEGG_SPLICEOSOME",-0.280596815424551,-11.8771521985338,1.55779491461502e-05,0.000565547284218933,"DOWN"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",-0.256430519289989,-11.6641300061197,1.73759875517269e-05,0.000588624408515129,"DOWN"
"BIOCARTA_MCM_PATHWAY",-0.302580503045639,-11.5437845743716,1.84971446727802e-05,0.000588624408515129,"DOWN"
"PID_PDGFRA_PATHWAY",0.260674792064655,11.4602287808556,1.93246830264538e-05,0.000588624408515129,"UP"
"BIOCARTA_CELLCYCLE_PATHWAY",0.512349684593348,11.4434577151391,1.94958829517163e-05,0.000588624408515129,"UP"
"PID_IL2_STAT5_PATHWAY",0.363348428249829,11.4199979269372,1.97383035190702e-05,0.000588624408515129,"UP"
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",0.224434145951011,11.3099705728243,2.09226589750242e-05,0.000602428284280868,"UP"
"BIOCARTA_SPPA_PATHWAY",-0.214591503178574,-11.1892259493445,2.23177502209391e-05,0.000621177381149471,"DOWN"
"BIOCARTA_PARKIN_PATHWAY",0.24854358466601,10.9617929153237,2.52472962631636e-05,0.000673249650307868,"UP"
"REACTOME_HDL_MEDIATED_LIPID_TRANSPORT",-0.337559401987237,-10.8747270525677,2.64843647470111e-05,0.000673249650307868,"DOWN"
"KEGG_TIGHT_JUNCTION",-0.22532356777134,-10.8663199204262,2.6607471209772e-05,0.000673249650307868,"DOWN"
"REACTOME_MYOGENESIS",0.200545750788142,10.7295555658478,2.87057089337695e-05,0.000704978439991104,"UP"
"REACTOME_UNWINDING_OF_DNA",-0.274595729329452,-10.6408641908709,3.01682921027043e-05,0.000719729254450232,"DOWN"
"KEGG_RNA_DEGRADATION",-0.226433053508204,-10.47356398084,3.31673193718099e-05,0.000738436901649716,"DOWN"
"BIOCARTA_HCMV_PATHWAY",0.185446708042717,10.4436863014531,3.37383299832981e-05,0.000738436901649716,"UP"
"PID_P38_GAMMA_DELTA_PATHWAY",0.23547048797799,10.4297139229299,3.4009243895621e-05,0.000738436901649716,"UP"
"REACTOME_SIGNALLING_TO_RAS",0.358591614822258,10.4052383287889,3.44898672626813e-05,0.000738436901649716,"UP"
"REACTOME_STRIATED_MUSCLE_CONTRACTION",-0.304160988851951,-10.2691994844745,3.7308157430746e-05,0.000769846958817529,"DOWN"
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4",-0.220552410028916,-10.228019109921,3.82129303941837e-05,0.000769846958817529,"DOWN"
"BIOCARTA_CELL2CELL_PATHWAY",-0.821494220896976,-10.1997158639913,3.88494312919858e-05,0.000769846958817529,"DOWN"
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",-0.231203448347562,-10.1111870452921,4.09205304149776e-05,0.000769846958817529,"DOWN"
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS",-0.325033183101015,-10.1007342366377,4.11733568451103e-05,0.000769846958817529,"DOWN"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",-0.18341191615875,-10.0877974226496,4.14887582596273e-05,0.000769846958817529,"DOWN"
"ST_GA12_PATHWAY",-0.209446010110854,-9.89262608412182,4.66012826761683e-05,0.000845914587708707,"DOWN"
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.176469943167234,9.81276693148076,4.88995927581656e-05,0.000851346992256601,"UP"
"REACTOME_POL_SWITCHING",-0.216081854262637,-9.81141165470662,4.89397073393016e-05,0.000851346992256601,"DOWN"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",-0.218246616776504,-9.74673773489582,5.08987317481048e-05,0.000867355938972807,"DOWN"
"REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE",-0.231310200982342,-9.62648317632293,5.47862066886461e-05,0.00091403996518364,"DOWN"
"PID_S1P_S1P4_PATHWAY",-0.165970936459982,-9.5959304189182,5.5827590687863e-05,0.00091403996518364,"DOWN"
"REACTOME_HS_GAG_BIOSYNTHESIS",0.33949781454978,9.52949405375278,5.81716181811465e-05,0.000917024691971979,"UP"
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",-0.191607131702759,-9.48591725666117,5.97705713602662e-05,0.000917024691971979,"DOWN"
"PID_LYMPH_ANGIOGENESIS_PATHWAY",0.178766749280905,9.47494605014446,6.0181060581452e-05,0.000917024691971979,"UP"
"PID_TNF_PATHWAY",0.155181055440826,9.46905468366361,6.04028240221064e-05,0.000917024691971979,"UP"
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",-0.173058030332469,-9.39292079317633,6.33548679428811e-05,0.000925906129590887,"DOWN"
"PID_S1P_S1P3_PATHWAY",-0.194000364675923,-9.37258689400869,6.41711416454362e-05,0.000925906129590887,"DOWN"
"REACTOME_G1_PHASE",0.258127912437237,9.36904798372924,6.43144377440377e-05,0.000925906129590887,"UP"
"ST_MYOCYTE_AD_PATHWAY",-0.369751416461241,-9.31262554223966,6.66494973599455e-05,0.000943259835517873,"DOWN"
"REACTOME_RNA_POL_II_TRANSCRIPTION",-0.178618825927917,-9.28387192065753,6.78768754356548e-05,0.000944619849812863,"DOWN"
"REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS",0.182935127129552,9.19383720992256,7.18914884797966e-05,0.000960442729207321,"UP"
"REACTOME_MRNA_SPLICING_MINOR_PATHWAY",-0.197603395680505,-9.16417347070105,7.32734599235413e-05,0.000960442729207321,"DOWN"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.250617750472143,9.12854940852195,7.49736376886521e-05,0.000960442729207321,"UP"
"REACTOME_MRNA_3_END_PROCESSING",-0.290694236545178,-9.12338994434827,7.52236148616804e-05,0.000960442729207321,"DOWN"
"REACTOME_NEPHRIN_INTERACTIONS",0.205966425586749,9.11645886559949,7.55609360532046e-05,0.000960442729207321,"UP"
"REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER",-0.272468143938941,-9.10902136207178,7.59248386124744e-05,0.000960442729207321,"DOWN"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.795758642818262,9.07375568845032,7.76779643896283e-05,0.000960442729207321,"UP"
"PID_EPHA2_FWD_PATHWAY",0.213158515224912,9.06219439429354,7.82627890738457e-05,0.000960442729207321,"UP"
"REACTOME_MICRORNA_MIRNA_BIOGENESIS",-0.200599888763352,-9.04065444802943,7.93659261261139e-05,0.000960442729207321,"DOWN"
"NABA_PROTEOGLYCANS",0.196806509644836,8.9927332769114,8.18848336159878e-05,0.000976769086704997,"UP"
"SA_TRKA_RECEPTOR",0.304193231305824,8.72833211397306,9.75495881707556e-05,0.00113940808781858,"UP"
"REACTOME_TRANSCRIPTION",-0.161932260058766,-8.69733338771394,9.96022120960139e-05,0.00113940808781858,"DOWN"
"SA_B_CELL_RECEPTOR_COMPLEXES",0.202587031849751,8.69717356592719,9.96129226476125e-05,0.00113940808781858,"UP"
"REACTOME_INTERFERON_GAMMA_SIGNALING",0.200767849634296,8.65978366212666,0.000102155363610396,0.00115269903533352,"UP"
"BIOCARTA_PTDINS_PATHWAY",0.162200100783408,8.63291023161363,0.000104028745865432,0.00115409834558783,"UP"
"PID_RANBP2_PATHWAY",-0.261315348049964,-8.61858208870992,0.000105043681754101,0.00115409834558783,"DOWN"
"REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER",-0.226663215505828,-8.55296253439453,0.000109839494479709,0.00118029232674451,"DOWN"
"KEGG_LEISHMANIA_INFECTION",0.170214220896964,8.54743461710575,0.000110254852079128,0.00118029232674451,"UP"
"KEGG_O_GLYCAN_BIOSYNTHESIS",-0.309508190962089,-8.44872185255497,0.000117984134384081,0.00123738724990168,"DOWN"
"KEGG_ABC_TRANSPORTERS",-0.175704364075454,-8.42201602035669,0.000120180856217189,0.00123738724990168,"DOWN"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",0.176142875130665,8.39476882407845,0.000122470609904733,0.00123738724990168,"UP"
"REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS",0.254904730407853,8.38519870477715,0.000123286693975822,0.00123738724990168,"UP"
"BIOCARTA_SPRY_PATHWAY",0.442241376473963,8.37425005846872,0.000124227992426671,0.00123738724990168,"UP"
"BIOCARTA_CXCR4_PATHWAY",-0.345754417497895,-8.37133874411765,0.000124479675439211,0.00123738724990168,"DOWN"
"REACTOME_BASE_EXCISION_REPAIR",-0.212130737610229,-8.29515378884033,0.000131278502553936,0.00128661859027726,"DOWN"
"ST_ADRENERGIC",-0.431522141988478,-8.28179548301155,0.000132514010495622,0.00128661859027726,"DOWN"
"BIOCARTA_CCR5_PATHWAY",-0.311369614483128,-8.2280951349571,0.000137617156875955,0.0013143200537795,"DOWN"
"REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE",-0.282241476057181,-8.21752123913982,0.000138648350609387,0.0013143200537795,"DOWN"
"REACTOME_FANCONI_ANEMIA_PATHWAY",-0.16273961827261,-8.20289676288186,0.000140089203336976,0.0013143200537795,"DOWN"
"REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS",-0.175808930250057,-8.11022952399741,0.000149628488657911,0.00138821986699285,"DOWN"
"BIOCARTA_NO1_PATHWAY",0.225162152222997,8.08442176428084,0.000152416304510054,0.00139613167276972,"UP"
"PID_TCR_CALCIUM_PATHWAY",-0.190198594280117,-8.07158337253729,0.000153825286101574,0.00139613167276972,"DOWN"
"KEGG_BASE_EXCISION_REPAIR",-0.184626434140647,-8.03690983093278,0.000157705840247656,0.00141596103878272,"DOWN"
"REACTOME_RECYCLING_PATHWAY_OF_L1",-0.208927113591694,-8.00986541210981,0.000160810554135695,0.00142192109500699,"DOWN"
"REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE",0.215794762773394,8.00158210268977,0.000161775453922951,0.00142192109500699,"UP"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",-0.222792640500292,-7.98611084453844,0.000163595482824082,0.00142293987664697,"DOWN"
"SA_G1_AND_S_PHASES",0.371831026401124,7.92749425517339,0.000170707215988932,0.00146948995206967,"UP"
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",-0.175414959902266,-7.88698330235247,0.000175829385155294,0.00149813812861909,"DOWN"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",-0.219101639275749,-7.87200307881459,0.000177767899697727,0.00149935551765254,"DOWN"
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION",0.310213518256025,7.82431370803397,0.000184104136812848,0.00153726954238728,"UP"
"PID_TCR_PATHWAY",0.134443749225325,7.74966390483015,0.000194549089152701,0.00160840088556936,"UP"
"REACTOME_CELL_CYCLE",-0.123199984604793,-7.6370908560441,0.00021161021170028,0.00173229928205622,"DOWN"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.182358415612788,7.61043700865263,0.000215896666573508,0.00175023025814446,"UP"
"PID_A6B1_A6B4_INTEGRIN_PATHWAY",0.248631258102269,7.56185504500468,0.000223967846902805,0.00179115739802106,"UP"
"BIOCARTA_HDAC_PATHWAY",-0.241511259394814,-7.54990329505888,0.000226006034344119,0.00179115739802106,"DOWN"
"PID_TRKR_PATHWAY",0.131708849445149,7.54191320841588,0.000227380460108062,0.00179115739802106,"UP"
"BIOCARTA_FMLP_PATHWAY",0.129874306000772,7.50682769133593,0.000233530070151706,0.00181935406509541,"UP"
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",-0.247559283041753,-7.49682695394916,0.000235317651533299,0.00181935406509541,"DOWN"
"BIOCARTA_TEL_PATHWAY",-0.149222745575653,-7.45484338174703,0.000242994823949152,0.00186147411006919,"DOWN"
"PID_FGF_PATHWAY",0.158806958638461,7.43100168419321,0.000247481947551636,0.0018786129655056,"UP"
"BIOCARTA_BARR_MAPK_PATHWAY",0.235130449309679,7.41643897224558,0.000250269331788516,0.00188265668507577,"UP"
"PID_PRL_SIGNALING_EVENTS_PATHWAY",0.300233414166555,7.39904608442778,0.000253645606545994,0.00189101858451701,"UP"
"PID_S1P_META_PATHWAY",-0.404369141516169,-7.303724711115,0.000273100640412801,0.0020145769419013,"DOWN"
"REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING",-0.260165194680616,-7.29463178406171,0.000275044037576943,0.0020145769419013,"DOWN"
"REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY",-0.252308729785004,-7.25433225023404,0.000283849639016728,0.0020609952050345,"DOWN"
"PID_MYC_PATHWAY",-0.139984664336602,-7.22709490209037,0.000289983657818235,0.00208738236446746,"DOWN"
"BIOCARTA_ERK5_PATHWAY",0.159480178987108,7.19641420341982,0.000297075384602059,0.00211492956465123,"UP"
"REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX",-0.190519949149895,-7.18875624372569,0.000298876273807,0.00211492956465123,"DOWN"
"NABA_ECM_GLYCOPROTEINS",-0.242933917086365,-7.15356465404805,0.000307314190629832,0.00215636427878915,"DOWN"
"PID_IL6_7_PATHWAY",0.115632081230444,7.0521192012409,0.000333202757859897,0.00228936561911594,"UP"
