"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_SIGNALING_BY_HIPPO",0.296536830411087,5.97794897916715,3.58719461765703e-09,3.1136849281263e-06,"UP"
"REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION",0.16193010130417,5.56301010416396,3.76620442817163e-08,1.10223033611475e-05,"UP"
"PID_ERBB4_PATHWAY",0.0830349451124839,5.53583674656709,4.37092356298755e-08,1.10223033611475e-05,"UP"
"BIOCARTA_RANMS_PATHWAY",-0.154647892833331,-5.50830707490586,5.07940247057489e-08,1.10223033611475e-05,"DOWN"
"BIOCARTA_PTDINS_PATHWAY",-0.138314640648931,-5.29544309418004,1.58774431604906e-07,2.32236339915956e-05,"DOWN"
"PID_HES_HEY_PATHWAY",0.1626448649676,5.25243269990019,1.98951463501719e-07,2.32236339915956e-05,"UP"
"REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",-0.162913954235815,-5.24057327266401,2.11659895509759e-07,2.32236339915956e-05,"DOWN"
"REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC",-0.126059432323112,-5.23842666379159,2.14042709599959e-07,2.32236339915956e-05,"DOWN"
"REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY",0.230522173857169,5.17843052040435,2.92206625446098e-07,2.81817056541348e-05,"UP"
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",-0.183866995235716,-5.14135036843856,3.53647303815634e-07,3.0696585971197e-05,"DOWN"
"KEGG_HUNTINGTONS_DISEASE",-0.125034849906461,-5.10030863619435,4.36219833041376e-07,3.16704460171846e-05,"DOWN"
"PID_TGFBR_PATHWAY",0.109005912231133,5.0753966145741,4.95126155649411e-07,3.16704460171846e-05,"UP"
"REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER",-0.193443410060203,-5.07414091103709,4.98290422285877e-07,3.16704460171846e-05,"DOWN"
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",-0.161321126878401,-5.069245672126,5.10813645438462e-07,3.16704460171846e-05,"DOWN"
"BIOCARTA_TGFB_PATHWAY",0.178551700312828,5.03998138182722,5.92268577508142e-07,3.28925959731756e-05,"UP"
"KEGG_OXIDATIVE_PHOSPHORYLATION",-0.167815873494708,-5.03533173990921,6.06315133146094e-07,3.28925959731756e-05,"DOWN"
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.232495170856277,5.01340892965758,6.76995544945975e-07,3.45665960595945e-05,"UP"
"KEGG_RNA_POLYMERASE",-0.172682308056034,-4.99654802835686,7.36704444268874e-07,3.55255254236324e-05,"DOWN"
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",0.173933015831027,4.94677729338966,9.44113729734641e-07,4.31310903899826e-05,"UP"
"REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING",-0.200410104938072,-4.92413307466109,1.05616089235284e-06,4.48904074463703e-05,"DOWN"
"KEGG_ALZHEIMERS_DISEASE",-0.119158896735059,-4.91848284783497,1.08605824467025e-06,4.48904074463703e-05,"DOWN"
"REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE",-0.126025586533869,-4.90200450671104,1.17798578790696e-06,4.64768938137838e-05,"DOWN"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",-0.17677477712547,-4.88675770579437,1.26969248193824e-06,4.79170901879302e-05,"DOWN"
"KEGG_GLYCEROLIPID_METABOLISM",-0.116040097978828,-4.87799841249301,1.32545123898282e-06,4.79371531432119e-05,"DOWN"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.135653920626816,4.84546898323465,1.55391531883908e-06,5.39519398700928e-05,"UP"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0547745077670495,4.79051612858896,2.02857112211981e-06,6.68307200989505e-05,"UP"
"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING",-0.243036766451569,-4.78544274378727,2.07883576344662e-06,6.68307200989505e-05,"DOWN"
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",-0.158279294521262,-4.7519242453362,2.44233130363117e-06,7.57122704125664e-05,"DOWN"
"BIOCARTA_ECM_PATHWAY",0.142557596040766,4.72802127718848,2.7381201380124e-06,8.19547682687851e-05,"UP"
"BIOCARTA_MCALPAIN_PATHWAY",0.126155693993821,4.71969017487645,2.84908777128035e-06,8.24336061823781e-05,"UP"
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",-0.0652340697347018,-4.68099411875149,3.4237227195509e-06,9.38802073239694e-05,"DOWN"
"BIOCARTA_RAC1_PATHWAY",-0.101184836513174,-4.6708511717155,3.59186305436058e-06,9.38802073239694e-05,"DOWN"
"REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE",-0.166164819566147,-4.66731500768441,3.65232603362581e-06,9.38802073239694e-05,"DOWN"
"BIOCARTA_VDR_PATHWAY",0.198718931222129,4.66586876287467,3.67733530992507e-06,9.38802073239694e-05,"UP"
"REACTOME_CELL_CYCLE_CHECKPOINTS",-0.119433049016142,-4.65752331139394,3.82489482471901e-06,9.48573916530316e-05,"DOWN"
"KEGG_BASAL_TRANSCRIPTION_FACTORS",-0.12436698259354,-4.63208413500643,4.31062094516419e-06,0.000103933860566736,"DOWN"
