"X","logFC","t","P.Value","adj.P.Val","Direction"
"PID_RHODOPSIN_PATHWAY",-0.299398883526642,-9.7586467121816,1.16581380574976e-20,1.02241870764254e-17,"DOWN"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",0.310861166143349,7.99533080542868,9.54966339297684e-15,4.18752739782034e-12,"UP"
"BIOCARTA_ALK_PATHWAY",0.213062264087843,7.68437400932437,8.5969529885167e-14,2.06526488409939e-11,"UP"
"BIOCARTA_TOB1_PATHWAY",0.415691759389117,7.63437473754943,1.21660401543116e-13,2.06526488409939e-11,"UP"
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.268740352439867,7.62540358163056,1.29458033301842e-13,2.06526488409939e-11,"UP"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",0.244191509875892,7.60916267577149,1.44847449771584e-13,2.06526488409939e-11,"UP"
"BIOCARTA_ERK_PATHWAY",0.141460333012541,7.59043178288835,1.64844403519906e-13,2.06526488409939e-11,"UP"
"PID_ANGIOPOIETIN_RECEPTOR_PATHWAY",0.199107716007711,7.47288822893706,3.69084201887177e-13,4.04608556318818e-11,"UP"
"PID_FAK_PATHWAY",0.0970760236005908,7.38214001482204,6.83177153584115e-13,6.65718181881409e-11,"UP"
"BIOCARTA_CTCF_PATHWAY",0.213234182661372,7.35370336254219,8.27587627833203e-13,7.25794349609719e-11,"UP"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",-0.219269214069839,-7.22431145939164,1.96625135493936e-12,1.5676385802562e-10,"DOWN"
"REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION",-0.159870153537447,-7.20036712555779,2.3047470142111e-12,1.60462869589688e-10,"DOWN"
"KEGG_BASAL_TRANSCRIPTION_FACTORS",-0.139709467185498,-7.19560628189396,2.37858301558261e-12,1.60462869589688e-10,"DOWN"
"PID_DNA_PK_PATHWAY",-0.167208668857642,-7.1467242686431,3.28494047663875e-12,2.0577805700087e-10,"DOWN"
"BIOCARTA_MCM_PATHWAY",-0.205717690649316,-7.02986044201,7.05870760240686e-12,4.05281860184631e-10,"DOWN"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",-0.170816020233012,-7.02272250801394,7.39396780268426e-12,4.05281860184631e-10,"DOWN"
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",-0.162557208740785,-6.97814870048394,9.87099278348565e-12,5.09227098300995e-10,"DOWN"
"PID_PTP1B_PATHWAY",0.197374602203505,6.93616785380447,1.29411861553558e-11,6.30523347680393e-10,"UP"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",-0.0999372140880508,-6.92491288505521,1.39127067100337e-11,6.42181251826293e-10,"DOWN"
"KEGG_HOMOLOGOUS_RECOMBINATION",-0.163461315671096,-6.79734733716807,3.13999748343375e-11,1.35629331654432e-09,"DOWN"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.1424287594514,6.79202256603425,3.2476806895588e-11,1.35629331654432e-09,"UP"
"BIOCARTA_GCR_PATHWAY",0.148065039436758,6.75866367802351,4.00968453134172e-11,1.59840606090304e-09,"UP"
"PID_ATR_PATHWAY",-0.138371250844776,-6.7210159912132,5.0814607904735e-11,1.93758309271533e-09,"DOWN"
"REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR",-0.291971287338685,-6.70986602530298,5.44967458218627e-11,1.99140192024057e-09,"DOWN"
"BIOCARTA_MET_PATHWAY",0.100016945920272,6.67695542839918,6.69598461107429e-11,2.34895140156486e-09,"UP"
"PID_TOLL_ENDOGENOUS_PATHWAY",0.37767233514041,6.64818178910359,8.01179376755558e-11,2.70243966697932e-09,"UP"
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",-0.144834308546959,-6.61733674017086,9.70416106225394e-11,3.15205527836915e-09,"DOWN"
"PID_RAS_PATHWAY",-0.164144723466871,-6.57638094242982,1.25023862969593e-10,3.91592599372617e-09,"DOWN"
"PID_UPA_UPAR_PATHWAY",0.207529619063771,6.55209292077326,1.45207966955062e-10,4.32852789547797e-09,"UP"
"REACTOME_MRNA_CAPPING",-0.161655928492602,-6.5489220724504,1.48068229035734e-10,4.32852789547797e-09,"DOWN"
"REACTOME_CELL_CYCLE",-0.0979054361586791,-6.51153630616934,1.86250656081581e-10,5.26909114140472e-09,"DOWN"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",-0.198144452507877,-6.49680457285977,2.03814067557495e-10,5.58577928899761e-09,"DOWN"
"REACTOME_CS_DS_DEGRADATION",0.268774581143282,6.48832217974975,2.14652735147353e-10,5.70455905224936e-09,"UP"
"ST_GA12_PATHWAY",-0.158802530008667,-6.46583397975037,2.4619546246827e-10,6.35039472307862e-09,"DOWN"
"NABA_PROTEOGLYCANS",0.264881057840125,6.43651493109367,2.94213219494131e-10,7.37214267132437e-09,"UP"
"PID_GLYPICAN_1PATHWAY",0.291563332933594,6.40870233000674,3.48183663916383e-10,8.48214092374078e-09,"UP"
"REACTOME_SIGNALING_BY_HIPPO",0.230343319790437,6.39698261840463,3.73727383935253e-10,8.85834907327613e-09,"UP"
"REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER",-0.154973983521451,-6.34671972307845,5.05716882406822e-10,1.1671413312389e-08,"DOWN"
"BIOCARTA_TGFB_PATHWAY",0.18503296157054,6.31248889273998,6.20707762980997e-10,1.39579668752393e-08,"UP"
"BIOCARTA_MCALPAIN_PATHWAY",0.167065404514428,6.29836332319337,6.75293448145513e-10,1.48058088505904e-08,"UP"
"REACTOME_RNA_POL_II_TRANSCRIPTION",-0.112090082782405,-6.24899005201625,9.05568414928119e-10,1.93703292656576e-08,"DOWN"
"PID_S1P_S1P3_PATHWAY",0.178998564031343,6.20284141368931,1.18931437274061e-09,2.4834016783179e-08,"UP"
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",-0.198145915773769,-6.19568889832006,1.24045255875339e-09,2.52994626517843e-08,"DOWN"
"BIOCARTA_INTEGRIN_PATHWAY",0.0966143943047931,6.17359021325513,1.41241373076838e-09,2.81519736791789e-08,"UP"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-0.179863486388168,-6.15821456987389,1.5455916685957e-09,3.0121864296854e-08,"DOWN"
