"X","logFC","t","P.Value","adj.P.Val","Direction"
"REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE",-5.8759969073856,-23.7179095277534,1.5373168987313e-10,8.56285512593336e-08,"DOWN"
"KEGG_RIBOSOME",-5.22925386807366,-20.4375121418658,7.23609747876906e-10,2.01525314783718e-07,"DOWN"
"REACTOME_PEPTIDE_CHAIN_ELONGATION",-5.00497358944588,-19.128434367177,1.43639894266937e-09,2.64775002145459e-07,"DOWN"
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",-4.10854167695355,-18.6162269404827,1.9014362811164e-09,2.64775002145459e-07,"DOWN"
"REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",-4.28632051500426,-17.5791639506145,3.43327811043906e-09,3.54341144204381e-07,"DOWN"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",-4.65960703013759,-17.3691056172771,3.88525346628179e-09,3.54341144204381e-07,"DOWN"
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",4.91256822080962,17.1401317490621,4.45312030418432e-09,3.54341144204381e-07,"UP"
"REACTOME_INFLUENZA_LIFE_CYCLE",-4.0442070633203,-16.8388244603539,5.34273809337316e-09,3.71988139751107e-07,"DOWN"
"REACTOME_MRNA_SPLICING_MINOR_PATHWAY",-4.22772045056351,-15.6757906719462,1.11169507350742e-08,6.88015728826256e-07,"DOWN"
"REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION",-3.935513865316,-15.2213791965459,1.50069521668183e-08,8.35887235691779e-07,"DOWN"
"REACTOME_MRNA_PROCESSING",-3.38663725620794,-14.7705915771681,2.03771533060211e-08,1.03182494467762e-06,"DOWN"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",-3.2651091915981,-14.4147476522436,2.61012058024955e-08,1.2115309693325e-06,"DOWN"
"REACTOME_MRNA_3_END_PROCESSING",-3.20807427231797,-14.0356929731813,3.41886942583436e-08,1.3602216215641e-06,"DOWN"
"REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_",-3.20807427231797,-14.0356929731813,3.41886942583436e-08,1.3602216215641e-06,"DOWN"
"REACTOME_DNA_REPAIR",-3.10752607586661,-13.8934718740712,3.78971136904666e-08,1.40724615503933e-06,"DOWN"
"PID_REG_GR_PATHWAY",-2.975140852045,-13.7949475866684,4.07222769663499e-08,1.41764426689105e-06,"DOWN"
"REACTOME_SMOOTH_MUSCLE_CONTRACTION",3.95228548292436,13.5810460211919,4.76786565195889e-08,1.56217715773006e-06,"UP"
"REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX",-4.30020218029704,-13.2886311506898,5.93667997474184e-08,1.83707263662845e-06,"DOWN"
"REACTOME_TRANSCRIPTION",-2.90961667447546,-12.9038660205543,7.97509012486376e-08,2.33796063134164e-06,"DOWN"
"REACTOME_RNA_POL_II_TRANSCRIPTION",-2.80881720499403,-12.618874722494,9.97468333627936e-08,2.7779493091538e-06,"DOWN"
"REACTOME_GLUCOSE_TRANSPORT",-4.26334983443205,-12.3712946117327,1.21590088563229e-07,2.82190330540494e-06,"DOWN"
