"X","logFC","t","P.Value","adj.P.Val","Direction"
"KEGG_PROTEASOME",3.4977122607556,13.1704618118429,6.49467318016795e-08,1.20584432045118e-05,"UP"
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",3.4977122607556,13.1704618118429,6.49467318016795e-08,1.20584432045118e-05,"UP"
"REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC",3.4977122607556,13.1704618118429,6.49467318016795e-08,1.20584432045118e-05,"UP"
"REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT",2.68935264324189,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,"UP"
"REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6",2.68935264324189,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,"UP"
"REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE",2.68935264324189,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,"UP"
"REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX",2.68935264324189,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,"UP"
"REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1",2.68935264324189,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,"UP"
"REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G",2.68935264324189,11.3283868737896,2.91454237099946e-07,1.80377788960745e-05,"UP"
"KEGG_RNA_DEGRADATION",-3.04133829509297,-10.6025669286798,5.58476535716805e-07,2.94542611464695e-05,"DOWN"
"BIOCARTA_TCR_PATHWAY",2.63066333759213,10.5584731894585,5.81681997506579e-07,2.94542611464695e-05,"UP"
"REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",2.43857474127858,10.261313213762,7.68213827131864e-07,3.05639358366035e-05,"UP"
"REACTOME_SYNTHESIS_OF_DNA",2.43857474127858,10.261313213762,7.68213827131864e-07,3.05639358366035e-05,"UP"
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX",2.43857474127858,10.261313213762,7.68213827131864e-07,3.05639358366035e-05,"UP"
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",-2.68420248937683,-9.36528150676695,1.85392518585744e-06,6.88424219015063e-05,"DOWN"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",3.04558204567506,9.21336839640305,2.16709585063453e-06,6.90467477856098e-05,"UP"
"REACTOME_M_G1_TRANSITION",2.1196040865801,9.13870370180228,2.34164974120954e-06,6.90467477856098e-05,"UP"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",2.42898381573463,9.13313122747343,2.35527505911416e-06,6.90467477856098e-05,"UP"
"REACTOME_ER_PHAGOSOME_PATHWAY",2.42898381573463,9.13313122747343,2.35527505911416e-06,6.90467477856098e-05,"UP"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",2.47102115874144,8.89972126962305,3.0108603735566e-06,8.38524614035512e-05,"UP"
"REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1",2.49483920372975,8.15933498253892,6.79230943538714e-06,0.000171968925250483,"UP"
"REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21",2.49483920372975,8.15933498253892,6.79230943538714e-06,0.000171968925250483,"UP"
