"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Deposition of New CENPA-containing Nucleosomes at the Centromere","REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE","DOWN",-5.88,-23.7,1.54e-10,8.56e-08
"(KEGG) Ribosome","KEGG_RIBOSOME","DOWN",-5.23,-20.4,7.24e-10,2.02e-07
"(Reactome) Peptide chain elongation","REACTOME_PEPTIDE_CHAIN_ELONGATION","DOWN",-5,-19.1,1.44e-09,2.65e-07
"(Reactome) Transport of Mature Transcript to Cytoplasm","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","DOWN",-4.11,-18.6,1.9e-09,2.65e-07
"(Reactome) Influenza Viral RNA Transcription and Replication","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","DOWN",-4.29,-17.6,3.43e-09,3.54e-07
"(Reactome) SRP-dependent cotranslational protein targeting to membrane","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","DOWN",-4.66,-17.4,3.89e-09,3.54e-07
"(Reactome) Caspase-mediated cleavage of cytoskeletal proteins","REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS","UP",4.91,17.1,4.45e-09,3.54e-07
"(Reactome) Influenza Life Cycle","REACTOME_INFLUENZA_LIFE_CYCLE","DOWN",-4.04,-16.8,5.34e-09,3.72e-07
"(Reactome) mRNA Splicing - Minor Pathway","REACTOME_MRNA_SPLICING_MINOR_PATHWAY","DOWN",-4.23,-15.7,1.11e-08,6.88e-07
"(Reactome) RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription","REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION","DOWN",-3.94,-15.2,1.5e-08,8.36e-07
"(Reactome) mRNA Processing","REACTOME_MRNA_PROCESSING","DOWN",-3.39,-14.8,2.04e-08,1.03e-06
