"","X","Direction","logFC.x","P.Value.x","adj.P.Val.x","assay.x","path_dir.x","logFC.y","P.Value.y","adj.P.Val.y","assay.y","path_dir.y","display_name"
"1","BIOCARTA: AKAP13 PATHWAY","UP",0.160399090403381,4.76880099885559e-09,7.73460326389729e-08,"Mayo","UP: BIOCARTA_AKAP13_PATHWAY",0.105631200664815,0.000121528521173958,0.000732929741100676,"MSBB","UP: BIOCARTA_AKAP13_PATHWAY","(BioCarta) Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation"
"2","BIOCARTA: AKAP95 PATHWAY","DOWN",-0.0642582133341683,0.00456430019392695,0.00986155370366699,"Mayo","DOWN: BIOCARTA_AKAP95_PATHWAY",-0.0984814772335756,0.000460787535913317,0.00204989131946228,"MSBB","DOWN: BIOCARTA_AKAP95_PATHWAY","(BioCarta) AKAP95 role in mitosis and chromosome dynamics"
"3","BIOCARTA: ALK PATHWAY","UP",0.218818438609808,4.25323410962439e-14,1.44719221916577e-11,"Mayo","UP: BIOCARTA_ALK_PATHWAY",0.131216194772485,5.48943679380801e-06,0.000116496867074832,"MSBB","UP: BIOCARTA_ALK_PATHWAY","(BioCarta) ALK in cardiac myocytes"
"4","BIOCARTA: CALCINEURIN PATHWAY","UP",0.117923531605736,1.84701486371689e-08,2.20895515014222e-07,"Mayo","UP: BIOCARTA_CALCINEURIN_PATHWAY",0.0849432838579138,0.00205259339769508,0.00670819629972973,"MSBB","UP: BIOCARTA_CALCINEURIN_PATHWAY","(BioCarta) Effects of calcineurin in Keratinocyte Differentiation"
"5","BIOCARTA: CARDIACEGF PATHWAY","UP",0.242744094926846,7.00833605718585e-09,1.0638294732959e-07,"Mayo","UP: BIOCARTA_CARDIACEGF_PATHWAY",0.14259703860451,0.00145438940509024,0.0050947173771125,"MSBB","UP: BIOCARTA_CARDIACEGF_PATHWAY","(BioCarta) Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy"
"6","BIOCARTA: CHEMICAL PATHWAY","UP",0.100569718990268,1.35566429971515e-07,1.09190920466853e-06,"Mayo","UP: BIOCARTA_CHEMICAL_PATHWAY",0.0692484904013546,0.000345628796352441,0.00163058746666273,"MSBB","UP: BIOCARTA_CHEMICAL_PATHWAY","(BioCarta) Apoptotic Signaling in Response to DNA Damage"
"7","BIOCARTA: CHREBP2 PATHWAY","DOWN",-0.0656901454282419,3.5577156269142e-05,0.000132839615129403,"Mayo","DOWN: BIOCARTA_CHREBP2_PATHWAY",-0.0775000966936312,7.66104392689507e-05,0.00054046345278978,"MSBB","DOWN: BIOCARTA_CHREBP2_PATHWAY","(BioCarta) Regulation And Function Of ChREBP in Liver"
"8","BIOCARTA: CK1 PATHWAY","DOWN",-0.121113152731437,0.000543257866068868,0.00146518750210829,"Mayo","DOWN: BIOCARTA_CK1_PATHWAY",-0.152634021242345,0.00155525257989157,0.0053835666227016,"MSBB","DOWN: BIOCARTA_CK1_PATHWAY","(BioCarta) Regulation of ck1/cdk5 by type 1 glutamate receptors"
"9","BIOCARTA: CTCF PATHWAY","UP",0.219953608853928,4.80353338453553e-13,4.73948627274172e-11,"Mayo","UP: BIOCARTA_CTCF_PATHWAY",0.148914951324926,0.000385315742539839,0.00176101335457661,"MSBB","UP: BIOCARTA_CTCF_PATHWAY","(BioCarta) CTCF: First Multivalent Nuclear Factor"
"10","BIOCARTA: CXCR4 PATHWAY","UP",0.09702195129075,7.1820458693204e-06,3.24562683560128e-05,"Mayo","UP: BIOCARTA_CXCR4_PATHWAY",0.0918092764048331,5.29405640000952e-05,0.0004057475313429,"MSBB","UP: BIOCARTA_CXCR4_PATHWAY","(BioCarta) CXCR4 Signaling Pathway"
"11","BIOCARTA: ECM PATHWAY","UP",0.175199653612012,3.97172624871514e-10,1.02228779966929e-08,"Mayo","UP: BIOCARTA_ECM_PATHWAY",0.148550967255985,1.73214452145872e-06,5.79031168601914e-05,"MSBB","UP: BIOCARTA_ECM_PATHWAY","(BioCarta) Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia"
"12","BIOCARTA: EPO PATHWAY","UP",0.112082055430529,2.49686085161002e-05,9.82153903091783e-05,"Mayo","UP: BIOCARTA_EPO_PATHWAY",0.107209282511105,0.00105989704633809,0.00396191547672703,"MSBB","UP: BIOCARTA_EPO_PATHWAY","(BioCarta) EPO Signaling Pathway"
"13","BIOCARTA: FAS PATHWAY","UP",0.0645413618369955,0.000665964130079556,0.00176811402839471,"Mayo","UP: BIOCARTA_FAS_PATHWAY",0.0909539642331407,0.000120489284607072,0.000730427269379656,"MSBB","UP: BIOCARTA_FAS_PATHWAY","(BioCarta) FAS signaling pathway ( CD95 )"
"14","BIOCARTA: G1 PATHWAY","UP",0.0684091779181646,0.00345703001206162,0.00781130445473465,"Mayo","UP: BIOCARTA_G1_PATHWAY",0.0960486450693196,0.00145225759503807,0.0050947173771125,"MSBB","UP: BIOCARTA_G1_PATHWAY","(BioCarta) Cell Cycle: G1/S Check Point"
"15","BIOCARTA: GCR PATHWAY","UP",0.154092862476902,7.1551320782227e-12,5.17155937970552e-10,"Mayo","UP: BIOCARTA_GCR_PATHWAY",0.0711688098529852,0.0010151178767849,0.00383470411054212,"MSBB","UP: BIOCARTA_GCR_PATHWAY","(BioCarta) Corticosteroids and cardioprotection"
"16","BIOCARTA: GH PATHWAY","UP",0.0462417116796892,0.00098699354748317,0.00248638374514909,"Mayo","UP: BIOCARTA_GH_PATHWAY",0.0508785522309899,0.00151720643837139,0.00526745261986508,"MSBB","UP: BIOCARTA_GH_PATHWAY","(BioCarta) Growth Hormone Signaling Pathway"
"17","BIOCARTA: GPCR PATHWAY","UP",0.0501532245874126,0.000800444597954389,0.00206927162440611,"Mayo","UP: BIOCARTA_GPCR_PATHWAY",0.0458020495056388,0.00262990785118234,0.00805495336618674,"MSBB","UP: BIOCARTA_GPCR_PATHWAY","(BioCarta) Signaling Pathway from G-Protein Families"
"18","BIOCARTA: HER2 PATHWAY","UP",0.0904411748128542,2.01687090453498e-05,8.17799709236102e-05,"Mayo","UP: BIOCARTA_HER2_PATHWAY",0.0894231367412471,3.03652815764673e-05,0.00028499682488024,"MSBB","UP: BIOCARTA_HER2_PATHWAY","(BioCarta) Role of ERBB2 in Signal Transduction and Oncology"
"19","BIOCARTA: HSP27 PATHWAY","UP",0.10270857864595,0.000622017767366429,0.00166245832181005,"Mayo","UP: BIOCARTA_HSP27_PATHWAY",0.228617828724784,7.57852060929322e-05,0.00054046345278978,"MSBB","UP: BIOCARTA_HSP27_PATHWAY","(BioCarta) Stress Induction of HSP Regulation"
