"","Comparison","ensembl_gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","hgnc_symbol","percentage_gc_content","gene.length","Direction"
"1","AD-NORMAL","ENSG00000087116",0.417275035754508,0.288009764114801,0.546540307394216,1.30309360237736,6.33930100176959,4.45886574191578e-10,6.96519417544665e-06,11.871400866575,"ADAMTS2",53.87,8726,"UP"
"2","AD-NORMAL","ENSG00000131095",0.420409468833906,0.286980396701601,0.553838540966212,8.63083187807716,6.18760891608361,1.11326031124968e-09,8.69511966101562e-06,11.3413703981118,"GFAP",56.17,6086,"UP"
"3","AD-NORMAL","ENSG00000251442",0.450192057802646,0.305179966181127,0.595204149424165,2.9767734007099,6.09669467250664,1.9093801118152e-09,9.94214224222176e-06,11.0806209979633,"LINC01094",39.79,2951,"UP"
"4","AD-NORMAL","ENSG00000166716",0.119286947773866,0.0766069583210028,0.16196693722673,3.50893649914592,5.48869952633301,5.91903114707533e-08,0.000189126773380757,7.92855660577371,"ZNF592",45.9,8134,"NONE"
"5","AD-NORMAL","ENSG00000114126",0.16640370079136,0.106820446187893,0.225986955394828,3.74384193612153,5.48453222153711,6.05360647144092e-08,0.000189126773380757,7.90826991788698,"TFDP2",39.89,11897,"UP"
"6","AD-NORMAL","ENSG00000110492",-0.288416342743957,-0.392823171994544,-0.184009513493371,2.86809387049475,-5.42490068917212,8.33746242346878e-08,0.00021706583419501,7.57172652639976,"MDK",66.26,2196,"DOWN"
"7","AD-NORMAL","ENSG00000133069",0.1656292984499,0.105083729431538,0.226174867468263,4.93757872755501,5.37224277785668,1.10336834320167e-07,0.000223454045267375,7.34904264210377,"TMCC2",51.21,4964,"UP"
"8","AD-NORMAL","ENSG00000196517",0.265446688595275,0.168288386139409,0.36260499105114,2.72701387479355,5.36535209398402,1.14437767245311e-07,0.000223454045267375,7.26957525251576,"SLC6A9",56.44,5159,"UP"
"9","AD-NORMAL","ENSG00000198830",-0.25209673710169,-0.34595996987796,-0.158233504325419,4.81359015137952,-5.27439377660721,1.84566279533541e-07,0.00032034553917705,6.86879295171226,"HMGN2",48.34,2509,"DOWN"
"10","AD-NORMAL","ENSG00000106665",0.127319224685981,0.0789952147179582,0.175643234654004,5.22328102232659,5.17406468146113,3.10175663975463e-07,0.000484525404696071,6.38516110386299,"CLIP2",52.06,7315,"NONE"
"11","AD-NORMAL","ENSG00000158169",0.186583733674171,0.114794662391667,0.258372804956675,1.62275234404844,5.104065956613,4.43318196051809e-07,0.000612668882773241,5.87163418704668,"FANCC",41.78,9316,"UP"
"12","AD-NORMAL","ENSG00000088836",0.366362836631149,0.225076006678658,0.507649666583641,1.73781761166264,5.09225995042983,4.70650188418084e-07,0.000612668882773241,5.84197419436867,"SLC4A11",61.3,4081,"UP"
"13","AD-NORMAL","ENSG00000160991",0.198541965378534,0.118286660397389,0.278797270359679,3.74938352758378,4.85824486949401,1.503428704204e-06,0.00168921120613837,4.91898470348344,"ORAI2",54.69,11103,"UP"
"14","AD-NORMAL","ENSG00000130522",0.137179470685925,0.0817119910555501,0.192646950316299,6.0656566864963,4.8568145813305,1.51392080442592e-06,0.00168921120613837,4.91731045783031,"JUND",69.67,1863,"NONE"
"15","AD-NORMAL","ENSG00000254858",-0.136287186232556,-0.191558716335021,-0.0810156561300915,2.65135702244395,-4.84232987067937,1.62422965896806e-06,0.00169147276684934,4.83433760506434,"MPV17L2",59.62,2135,"NONE"
"16","AD-NORMAL","ENSG00000205581",-0.147946632381887,-0.208293461885311,-0.0875998028784619,4.34786196447062,-4.81450297524681,1.8582648024014e-06,0.00170208773374486,4.71876325495128,"HMGN1",42.26,5102,"DOWN"
"17","AD-NORMAL","ENSG00000205981",-0.0761459693041182,-0.107241860461264,-0.0450500781469725,3.9760826024803,-4.80888891954192,1.90926819234631e-06,0.00170208773374486,4.69323651825513,"DNAJC19",39.17,3586,"NONE"
"18","AD-NORMAL","ENSG00000188786",0.0900797531483728,0.0532486770899655,0.12691082920678,3.13189859932637,4.80301135611958,1.96410924941419e-06,0.00170208773374486,4.67762344754612,"MTF1",43.61,8024,"NONE"
"19","AD-NORMAL","ENSG00000205352",-0.122404496130453,-0.172566523801837,-0.0722424684590686,3.96855308733457,-4.79206963816852,2.07026867301404e-06,0.00170208773374486,4.61844633711586,"PRR13",48.6,2897,"NONE"
"20","AD-NORMAL","ENSG00000094916",0.0716387856168685,0.0419976948558321,0.101279876377905,4.25888341577379,4.74629652868213,2.57738107233893e-06,0.00199887739290223,4.41494450109348,"CBX5",42.96,15040,"NONE"
"21","AD-NORMAL","ENSG00000175455",-0.105803054805854,-0.14966080395192,-0.0619453056597872,2.96183102232507,-4.73753794444161,2.68717913391887e-06,0.00199887739290223,4.38835660530313,"CCDC14",36.3,11423,"NONE"
