"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"1","CRACDL",1.49835050283556,6.50865189797275,16.9817366652022,1.7787821807592e-08,2.90297251899901e-05,10.0419270829309,"UP",FALSE,"High","Master Protein","Q6NV74","CRACD-like protein [OS=Homo sapiens]",0,16.847,3,2,2,3,2,962,102.1,7.96,10.01,2,NA,NA,NA,"Pf15262","343990","Q6NV74","ENSG00000196872",NA,NA,0,0,65.4,73.7,67.6,57.7,51.9,59.9,148.3,172.4,219.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S75(100); S690(100)]",0,"ENSG00000196872"
"2","SYT6",1.51121016365614,6.53540845302235,13.2719619809486,1.72978665019563e-07,0.000125631082179995,7.95586994694281,"UP",FALSE,"High","Master Protein","Q5T7P8","Synaptotagmin-6 [OS=Homo sapiens]",0,5.739,2,1,1,1,1,510,57.3,8.19,3.23,1,"transport;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi","other molecular function","Pf00168","148281","B1AMB8; B3KPK1; hsa:148281; Q5T7P8","ENSG00000134207",NA,NA,0,0,92.9,100.8,95.5,59.1,34.4,49,157.5,140.1,150.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S216(100)]",0,"ENSG00000134207"
"3","SLC43A2",2.57173861437798,6.05961169722947,12.8581286767598,2.30939489301461e-07,0.000125631082179995,7.68019842637717,"UP",FALSE,"High","Master Protein","Q8N370","Large neutral amino acids transporter small subunit 4 [OS=Homo sapiens]",0,21.372,4,2,2,5,2,569,62.7,7.94,16.42,2,"transport;other biological processes","plasma membrane;other membranes","transporter activity",NA,"124935","B7Z6X9; C9JNU8; D3DTH9; hsa:124935; Q5CD75; Q6IPM1; Q8N370; Q8NBX1; Q8NC21; Q8WZ00","ENSG00000167703; ENSG00000278550","Amino acid transport across the plasma membrane",NA,1,0,64.8,72.8,61.7,25.2,14.4,28.2,175.3,161.7,145.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S274(100); S297(100)]",0,"ENSG00000167703"
"4","BET1",1.82467266839401,6.4080951992605,12.3725527714456,3.27703868534765e-07,0.000133703178362184,7.34363670063811,"UP",FALSE,"High","Master Protein","O15155","BET1 homolog [OS=Homo sapiens]",0,7.956,9,1,1,2,1,118,13.3,9.06,6.84,1,"cell organization and biogenesis;transport","other membranes;ER/Golgi","other molecular function",NA,"10282","hsa:10282; O15155; Q96EA0","ENSG00000105829","COPI-mediated anterograde transport; COPII-mediated vesicle transport",NA,2,0,49.2,58.8,58.2,41.9,50.9,58.7,203,165,224.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S50(100)]",0,"ENSG00000105829"
"5","MAPK8IP3",0.842060008865094,6.63902424725407,11.7622671520564,5.178808438526e-07,0.000169036307433489,6.89928244571635,"UP",FALSE,"High","Master Protein","Q9UPT6","C-Jun-amino-terminal kinase-interacting protein 3 [OS=Homo sapiens]",0,60.769,4,3,7,14,3,1336,147.4,5.4,42.78,3,"cell organization and biogenesis;stress response;transport;developmental processes;signal transduction;other biological processes","other membranes;ER/Golgi;other cell component","cytoskeletal activity;other molecular function","Pf09744, Pf16471, Pf19056","23162","A2A2B3; A7E2B3; hsa:23162; Q96RY4; Q9H4I4; Q9H7P1; Q9NUG0; Q9UPT6","ENSG00000138834",NA,"MAPK signaling pathway",1,0,75.3,79.1,82.8,85.4,73.5,81.9,139.3,137.5,161.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S273(98.9); T275(98.8); S365(100)]",0,"ENSG00000138834"
"6","CBY1",-0.886901490508166,6.60530564841272,-11.3319872785721,7.24277740128919e-07,0.000169212998788043,6.57074619944622,"DOWN",FALSE,"High","Master Protein","Q9Y3M2","Protein chibby homolog 1 [OS=Homo sapiens]",0,10.338,10,1,1,1,1,126,14.5,9.13,4.11,1,"cell-cell signaling;cell organization and biogenesis;developmental processes;signal transduction;other biological processes","cytosol;cytoskeleton;ER/Golgi;nucleus","other molecular function","Pf14645","25776","B2R4S2; hsa:25776; Q66GT6; Q9UIK9; Q9Y3M2","ENSG00000100211","Deactivation of the beta-catenin transactivating complex","Genes related to primary cilium development (based on CRISPR)",2,0,92.1,84.4,92.8,127.1,136.9,143.7,82.2,77.7,79.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S20(100)]",0,"ENSG00000100211"
"7","RTN1",-1.34357263424806,6.54616112304086,-11.2369236091113,7.81163707578586e-07,0.000169212998788043,6.49637628269776,"DOWN",FALSE,"High","Master Protein","Q16799","Reticulon-1 [OS=Homo sapiens]",0,20.124,2,1,1,5,1,776,83.6,4.69,18.76,1,"cell organization and biogenesis;developmental processes;other biological processes","other membranes;ER/Golgi;other cell component",NA,"Pf02453","6252","hsa:6252; Q16799; Q16800; Q16801; Q5BKZ4; Q9BQ59","ENSG00000139970",NA,NA,0,0,81,87.8,96.1,135.4,143.2,179.5,69.6,71.7,61.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S352(100)]",0,"ENSG00000139970"
"8","FUBP3",1.07333695918929,6.58595979189964,11.1619705274081,8.29475484255114e-07,0.000169212998788043,6.43727179122289,"UP",FALSE,"High","Master Protein","Q96I24","Far upstream element-binding protein 3 [OS=Homo sapiens]",0,26.071,6,2,2,4,2,572,61.6,8.38,12.73,2,"RNA metabolism OR transcription;other metabolic processes;other biological processes","translational apparatus;nucleus;other cell component","nucleic acid binding activity","Pf00013","8939","A3KFK8; A3KFL0; hsa:8939; Q92946; Q96I24; Q9BVB6","ENSG00000107164",NA,NA,0,0,108,102.8,108.8,62.2,50.3,59.8,116.8,124.1,158.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T76(100); S569(100)]",0,"ENSG00000107164"
"9","EPB41L3",-1.19677184465737,6.47654669115608,-10.9639613896454,9.7362347227197e-07,0.000172269411519833,6.27911631474452,"DOWN",FALSE,"High","Master Protein","Q9Y2J2-4","Isoform 4 of Band 4.1-like protein 3 [OS=Homo sapiens]",0,210.29,13,10,14,55,9,883,98.4,5.34,203.7,10,NA,NA,NA,NA,NA,"Q9Y2J2-4",NA,NA,NA,0,0,46.7,49.7,50.5,176.9,199.1,184.7,85.7,92.6,74.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T401(100); S448(100); S478(100); T487(100); T510(100); S591(99.4); S793(100)]",0,"ENSG00000082397"
"10","NEDD1",0.887550082149845,6.58923807267236,10.8652536922123,1.05557237450878e-06,0.000172269411519833,6.19916596876168,"UP",FALSE,"High","Master Protein","Q8NHV4","Protein NEDD1 [OS=Homo sapiens]",0,10.595,3,2,2,3,2,660,71.9,7.97,8.15,2,"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity","Pf00400","121441","B0AZN0; B4E145; G3V3F1; hsa:121441; Q8NA30; Q8NHV4","ENSG00000139350","Recruitment of NuMA to mitotic centrosomes; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2",NA,7,0,60.4,56.4,58.6,97.1,76.6,92.1,145.6,186.3,167.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S397(100); S493(100)]",0,"ENSG00000139350"
