"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"1","SDC2",1.95878264866551,6.52559685902118,23.8726174222529,7.28090804237767e-10,1.18824419251604e-06,13.3402111203568,"UP",FALSE,"High","Master Protein","P34741","Syndecan-2 [OS=Homo sapiens]",0,7.564,4,1,1,2,1,201,22.1,4.86,7.52,1,"cell organization and biogenesis;developmental processes;other biological processes","plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function","Pf01034","6383","B3KQA3; hsa:6383; P34741; Q6PIS6; Q9H6V1","ENSG00000169439","Cell surface interactions at the vascular wall; RSV-host interactions; Respiratory syncytial virus (RSV) attachment and entry; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; EPHB-mediated forward signaling; A tetrasaccharide linker sequence is required for GAG synthesis; HS-GAG biosynthesis; HS-GAG degradation; Defective B4GALT7 causes EDS, progeroid type; Defective B3GAT3 causes JDSSDHD; Defective EXT2 causes exostoses 2; Defective EXT1 causes exostoses 1, TRPS2 and CHDS; Defective B3GALT6 causes EDSP2 and SEMDJL1; Attachment and Entry; Retinoid metabolism and transport; Syndecan interactions","miRNA targets in ECM and membrane receptors",18,0,39.1,43.2,42.3,153.4,197.3,170.5,111.1,106.3,101.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S187(100)]",0,"ENSG00000169439"
"2","GTF2I",-1.70687008119693,6.25555617754193,-20.736749490899,2.74439567661611e-09,1.59677901213236e-06,12.0820435420211,"DOWN",FALSE,"High","Master Protein","P78347","General transcription factor II-I [OS=Homo sapiens]",0,49.377,8,7,10,25,7,998,112.3,6.39,30.19,7,"RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf02946","2969","hsa:2969; O14743; O15359; O43546; O43588; O43589; P78347; Q75M85; Q75M86; Q75M87; Q75M88; Q86U51; Q9BSZ4","ENSG00000263001",NA,"B cell receptor signaling pathway; 7q11.23 copy number variation syndrome; Genetic causes of porto-sinusoidal vascular disease",3,0,175.8,167,171.5,51.1,42.6,55,55.1,55.6,55.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S210(100); S674(100); S823(100); S831(99.6)]",0,"ENSG00000263001"
"3","RPL18A",-1.60097456777882,6.29356334024462,-19.4653636132608,4.96995365962575e-09,1.59677901213236e-06,11.5043958315669,"DOWN",FALSE,"High","Master Protein","Q02543","Large ribosomal subunit protein eL20 [OS=Homo sapiens]",0,50.071,10,2,2,7,2,176,20.7,10.71,26.67,2,"protein metabolism;other metabolic processes","cytosol;translational apparatus;other cell component","other molecular function","Pf01775","6142","hsa:6142; Q02543","ENSG00000105640","Regulation of expression of SLITs and ROBOs; L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","VEGFA-VEGFR2 signaling; Cytoplasmic ribosomal proteins",15,0,175.7,156.8,154.1,50.4,36.4,58.5,65.1,63.8,60.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S71(100)]",0,"ENSG00000105640"
"4","RPL12",-1.80486902946637,6.24546821199367,-18.8421476645528,6.74083449842543e-09,1.59677901213236e-06,11.2048487436647,"DOWN",FALSE,"High","Master Protein","P30050","Large ribosomal subunit protein uL11 [OS=Homo sapiens]",0,7.136,10,2,2,3,2,165,17.8,9.42,7.09,2,"protein metabolism;other metabolic processes","cytosol;translational apparatus;nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00298, Pf03946","6136","hsa:6136; P30050; Q5VVV2; Q6PB27","ENSG00000197958","Regulation of expression of SLITs and ROBOs; L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Cytoplasmic ribosomal proteins",14,0,171.7,169.8,138,40.8,33.5,44.3,69.5,64.6,63.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S38(100); S126(100)]",0,"ENSG00000197958"
"5","ACTL6A",-1.43245723107553,6.40926345394252,-18.6534586879814,7.40647404626386e-09,1.59677901213236e-06,11.1118925756262,"DOWN",FALSE,"High","Master Protein","O96019","Actin-like protein 6A [OS=Homo sapiens]",0.006,1.808,2,1,1,2,1,429,47.4,5.6,4.55,1,"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;nucleus;other cell component","other molecular function","Pf00022","86","B3KMN1; D3DNR9; hsa:86; O96019; Q8TAE5; Q9BVS8; Q9H0W6","ENSG00000136518","UCH proteinases; RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known; RMTs methylate histone arginines; HATs acetylate histones; DNA Damage Recognition in GG-NER","Androgen receptor network in prostate cancer; Gastric cancer network 1; Tumor suppressor activity of SMARCB1; Thermogenesis; Kleefstra syndrome",10,0,165.2,154.2,139.4,52.4,46,57.9,79.8,77.8,74.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S233(100)]",0,"ENSG00000136518"
"6","SRSF6",-1.29235929654608,6.35616979316684,-18.5114785128013,7.95509929986902e-09,1.59677901213236e-06,11.041232909846,"DOWN",FALSE,"High","Master Protein","Q13247","Serine/arginine-rich splicing factor 6 [OS=Homo sapiens]",0,51.706,8,6,9,46,5,344,39.6,11.43,114.78,6,"cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus","nucleic acid binding activity","Pf00076","6431","B7Z6J3; E1P5W6; hsa:6431; Q13244; Q13245; Q13247; Q96J06; Q9UJB8; Q9Y3N7","ENSG00000124193","Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; RNA Polymerase II Transcription Termination; mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway","mRNA processing",7,0,165.1,153.4,152.6,61.9,54.8,61.2,61.4,62.8,64.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S301(100); S303(100); S314(100); S316(100)]",0,"ENSG00000124193"
"7","MCM6",-1.84419786001721,6.14713940397995,-18.5082561759663,7.96805948851246e-09,1.59677901213236e-06,11.0396220482214,"DOWN",FALSE,"High","Master Protein","Q14566","DNA replication licensing factor MCM6 [OS=Homo sapiens]",0,11.186,2,1,1,2,1,821,92.8,5.41,7.11,1,"cell cycle OR cell proliferation;cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00493, Pf14551, Pf17207, Pf17855, Pf18263","4175","B2R6H2; hsa:4175; Q13504; Q14566; Q99859","ENSG00000076003","Orc1 removal from chromatin; Assembly of the pre-replicative complex; Activation of ATR in response to replication stress; Activation of the pre-replicative complex; Unwinding of DNA","Cell cycle; Retinoblastoma gene in cancer; Ciliary landscape; G1 to S cell cycle control; DNA replication",11,0,178.7,175.2,167.2,44.6,36.4,46.8,51.4,55.6,49.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S762(100)]",0,"ENSG00000076003"
"8","RNPS1",-1.67175820190365,6.30033940168392,-18.3796253603489,8.50490345446221e-09,1.59677901213236e-06,10.9750559300881,"DOWN",FALSE,"High","Master Protein","Q15287-2","Isoform 2 of RNA-binding protein with serine-rich domain 1 [OS=Homo sapiens]",0,37.872,13,8,12,61,8,282,31.7,11.9,91.82,8,NA,NA,NA,NA,NA,"Q15287-2",NA,NA,NA,0,0,169.7,167.4,155.7,48.8,40.1,49.1,69.1,57,64.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S4(100); S29(100); S132(100); S134(100); S228(100)]; Met-loss [N-Term]",0,"ENSG00000205937"
"9","NUF2",-2.29003370158384,6.20755859607081,-18.3113902844318,8.80576661102406e-09,1.59677901213236e-06,10.9405958123512,"DOWN",FALSE,"High","Master Protein","Q9BZD4","Kinetochore protein Nuf2 [OS=Homo sapiens]",0,4.066,2,1,1,1,1,464,54.3,8.27,2.58,1,"cell cycle OR cell proliferation;cell organization and biogenesis;signal transduction;other biological processes","cytosol;nucleus;other cell component","cytoskeletal activity;other molecular function","Pf03800","83540","hsa:83540; Q8WU69; Q96HJ4; Q96Q78; Q9BZD4","ENSG00000143228","Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",NA,6,0,163.9,148.5,158,23,21,31.1,74.3,95.6,87.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S247(100)]",0,"ENSG00000143228"
"10","PTDSS1",-1.49977166364578,6.25348155560688,-18.0675962811958,9.98042437474683e-09,1.62880525795868e-06,10.8162713103559,"DOWN",FALSE,"High","Master Protein","P48651","Phosphatidylserine synthase 1 [OS=Homo sapiens]",0.004,2.094,2,1,1,2,1,473,55.5,8.43,4.09,1,"other metabolic processes","other membranes;ER/Golgi","other molecular function","Pf03034","9791","B4DE85; E5RFC5; hsa:9791; P48651; Q9BUQ5","ENSG00000156471","Synthesis of PS","Kennedy pathway from sphingolipids; Glycerolipids and glycerophospholipids",3,0,169.3,155.7,150.4,55.5,39.6,56.8,63.3,59.6,54.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S442(100)]",0,"ENSG00000156471"
