"","Comparison","ensembl_gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","hgnc_symbol","percentage_gc_content","gene.length","Direction"
"1","AD-CONTROL","ENSG00000151789",-0.49147761597029,-0.590536392776916,-0.392418839163664,2.08996439567031,-9.74866241434506,1.26822708664891e-20,2.15738109709847e-16,36.0158052099354,"ZNF385D",36.24,13621,"DOWN"
"2","AD-CONTROL","ENSG00000188730",-0.548907143865665,-0.661775715278287,-0.436038572453043,2.04944182387906,-9.5556471422033,6.15054055277019e-20,3.48756151143913e-16,34.4928452925716,"VWC2",39.85,11299,"DOWN"
"3","AD-CONTROL","ENSG00000154188",0.813896920055092,0.646843364018297,0.980950476091887,1.10156051330772,9.57299715181775,5.34126882952042e-20,3.48756151143913e-16,34.4645280929205,"ANGPT1",36.05,7128,"UP"
"4","AD-CONTROL","ENSG00000168743",0.970381792765753,0.769020192157248,1.17174339337426,0.168023812961167,9.46891534934902,1.24189919423318e-19,5.28148679827516e-16,33.6178511006833,"NPNT",38.07,6117,"UP"
"5","AD-CONTROL","ENSG00000138193",0.435244238122396,0.341657489469839,0.528830986774954,1.24771678515805,9.13803717555269,1.74216981075422e-18,5.927210130148e-15,31.1085528198425,"PLCE1",41.18,12930,"UP"
"6","AD-CONTROL","ENSG00000143772",0.603045240085049,0.468904581999702,0.737185898170396,4.55441211772709,8.83331485508022,1.87345512927899e-17,5.31155753402748e-14,28.9740101921479,"ITPKB",49.82,7036,"UP"
"7","AD-CONTROL","ENSG00000119283",-0.531700968007953,-0.650246628384592,-0.413155307631314,1.24650513434498,-8.81284313988432,2.19317199146676e-17,5.32972124954872e-14,28.7663265655302,"TRIM67",48.93,9326,"DOWN"
"8","AD-CONTROL","ENSG00000003989",0.937663411658534,0.727464741895794,1.14786208142127,2.2657583760399,8.7649865912903,3.16669039877911e-17,6.73357129670393e-14,28.4347151170896,"SLC7A2",40.13,7905,"UP"
"9","AD-CONTROL","ENSG00000172935",0.783346328194103,0.605928280382762,0.960764376005445,1.21467724369752,8.675415125945,6.27416095357552e-17,1.01861234733493e-13,27.7206123616483,"MRGPRF",60.12,2746,"UP"
"10","AD-CONTROL","ENSG00000147571",-1.39891784706048,-1.7160691953663,-1.08176649875466,-0.643750247674957,-8.66682242293269,6.69775642060862e-17,1.01861234733493e-13,27.5861480472056,"CRH",54.27,1543,"DOWN"
"11","AD-CONTROL","ENSG00000142227",0.635000219859087,0.490549622582682,0.779450817135492,2.99773354447996,8.63751437654013,8.36675283629982e-17,1.01861234733493e-13,27.5157851879385,"EMP3",52.78,1667,"UP"
"12","AD-CONTROL","ENSG00000089169",-0.692505191434573,-0.850041796208425,-0.534968586660721,3.89458916351461,-8.63725619449276,8.38314788236377e-17,1.01861234733493e-13,27.5120820797163,"RPH3A",43.79,10369,"DOWN"
"13","AD-CONTROL","ENSG00000177119",0.553851369143196,0.427930714817697,0.679772023468696,1.98630113050735,8.64232335180137,8.06710671685349e-17,1.01861234733493e-13,27.50350987443,"ANO6",39.44,8235,"UP"
"14","AD-CONTROL","ENSG00000179954",0.557535565659755,0.430874500124358,0.684196631195152,0.75459479520162,8.64895602337544,7.67117320550496e-17,1.01861234733493e-13,27.4395808272449,"SSC5D",54.52,7314,"UP"
"15","AD-CONTROL","ENSG00000178104",0.373716632543185,0.288296620642742,0.459136644443627,3.94791753044423,8.59640857643585,1.14206410394871e-16,1.29517683148476e-13,27.2101469797266,"PDE4DIP",41,27623,"UP"
"16","AD-CONTROL","ENSG00000166535",0.679874975464377,0.522226628299816,0.837523322628938,0.855385322940172,8.47371559916159,2.87281047168392e-16,3.05433618336345e-13,26.1785145066879,"A2ML1",44.25,7303,"UP"
"17","AD-CONTROL","ENSG00000275830",1.14211146369551,0.871141362353603,1.41308156503742,1.19231323027488,8.28173569874491,1.19357686731542e-15,1.19434918175898e-12,24.8827038487918,"",42.05,1331,"UP"
"18","AD-CONTROL","ENSG00000107779",0.297661930404355,0.226718846764432,0.368605014044277,2.17436970031667,8.24418030821439,1.57271998806278e-15,1.486307762052e-12,24.6454557502776,"BMPR1A",39.89,11363,"UP"
"19","AD-CONTROL","ENSG00000123094",0.380662520833051,0.289278579134286,0.472046462531816,2.75084215773551,8.18473234969064,2.42929042250725e-15,2.17498207248794e-12,24.2395197028796,"RASSF8",38.09,7619,"UP"
"20","AD-CONTROL","ENSG00000197256",0.501386230062636,0.380375031915912,0.622397428209361,2.1078922010704,8.14106253881855,3.33852881420995e-15,2.78626760222246e-12,23.9151700034252,"KANK2",52.98,7638,"UP"
"21","AD-CONTROL","ENSG00000021645",-0.399472813792885,-0.495935538387192,-0.303010089198578,3.56224653223451,-8.13695574005191,3.4396343334708e-15,2.78626760222246e-12,23.8984200484688,"NRXN3",39.46,15535,"DOWN"
"22","AD-CONTROL","ENSG00000174099",0.369018062066809,0.279806658779423,0.458229465354195,2.46597880381305,8.12758466875751,3.68180294959794e-15,2.83460072444302e-12,23.8348184060676,"MSRB3",37.17,5791,"UP"
"23","AD-CONTROL","ENSG00000166272",0.225498576955334,0.170946383464551,0.280050770446117,3.35580666764364,8.12205333779631,3.83256814191931e-15,2.83460072444302e-12,23.7878668269488,"WBP1L",46.72,4281,"UP"
"24","AD-CONTROL","ENSG00000184384",0.352572332215014,0.266909768778433,0.438234895651595,2.34326706847139,8.08707389564121,4.93752679726765e-15,3.49967784784666e-12,23.5479585912118,"MAML2",40.05,7109,"UP"
"25","AD-CONTROL","ENSG00000135862",0.330644203729972,0.249909878545199,0.411378528914744,2.29379196778639,8.04705451948768,6.59103018121029e-15,4.48480057650273e-12,23.265460654036,"LAMC1",40.08,8406,"UP"
"26","AD-CONTROL","ENSG00000183255",0.414360484008717,0.313080014881063,0.515640953136372,4.70823750175718,8.03871953778255,6.99878040801315e-15,4.57908667387352e-12,23.2073026446944,"PTTG1IP",51,3537,"UP"
"27","AD-CONTROL","ENSG00000178209",0.322806272090537,0.243461699647192,0.402150844533882,4.29871186856834,7.99390512693972,9.65707827650169e-15,6.08431698376186e-12,22.8886903521731,"PLEC",63.62,16991,"UP"
"28","AD-CONTROL","ENSG00000155760",0.540476208652041,0.407523630652323,0.67342878665176,3.16314323109925,7.98755879618509,1.01064827489124e-14,6.11994402564534e-12,22.8536552578834,"FZD7",52.76,3859,"UP"
"29","AD-CONTROL","ENSG00000251442",0.784965846451414,0.591763474506788,0.978168218396041,2.10336453751826,7.98311814728701,1.04331536502096e-14,6.11994402564534e-12,22.8124582573351,"LINC01094",39.79,2951,"UP"
"30","AD-CONTROL","ENSG00000164761",0.965918535004674,0.727436376256934,1.20440069375241,1.39718312959652,7.9582734021869,1.24625470831147e-14,7.06667961436211e-12,22.5952281025918,"TNFRSF11B",37.64,2827,"UP"
"31","AD-CONTROL","ENSG00000068697",0.309511244131624,0.232557257983825,0.386465230279423,5.30249784904274,7.90277395080105,1.85095921520489e-14,9.83958350307824e-12,22.2685687695821,"LAPTM4A",41.61,1946,"UP"
"32","AD-CONTROL","ENSG00000205929",0.766567477733178,0.576114168921046,0.957020786545311,1.41866086272494,7.90853638942478,1.77664872068144e-14,9.74921657661675e-12,22.2518366708315,"C21orf62",44.02,1230,"UP"
"33","AD-CONTROL","ENSG00000232480",0.693415556701008,0.520641805428514,0.866189307973501,1.86000160581914,7.8858782457991,2.08697782963157e-14,1.07580545029887e-11,22.1393088499071,"TGFB2-AS1",43.76,557,"UP"
