"","Comparison","ensembl_gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","hgnc_symbol","percentage_gc_content","gene.length","Direction"
"1","AD-CONTROL","ENSG00000067445",-0.248356123332976,-0.328132710336458,-0.168579536329495,3.92194860883027,-6.15306437819306,7.05146072916327e-09,0.000115093942021403,9.98102638784506,"TRO",51.41,6716,"DOWN"
"2","AD-CONTROL","ENSG00000086717",-0.557449246055158,-0.747430690191106,-0.36746780191921,1.72478556507369,-5.79944170130091,4.0161083395127e-08,0.000327754601587632,8.06130842302553,"PPEF1",41.71,3513,"DOWN"
"3","AD-CONTROL","ENSG00000187601",-0.199583742827336,-0.269981528116281,-0.129185957538391,4.83309237203963,-5.60348489484401,1.02673987215574e-07,0.000418961204833151,7.45467945688959,"MAGEH1",48.02,1462,"DOWN"
"4","AD-CONTROL","ENSG00000233123",-0.796942509219527,-1.07694830567972,-0.516936712759338,1.86567600886052,-5.62538188447662,9.25365330628481e-08,0.000418961204833151,7.40391279322384,"LINC01007",48.99,2641,"DOWN"
"5","AD-CONTROL","ENSG00000059691",-0.252307637647973,-0.343378327290525,-0.161236948005421,2.29869644915459,-5.47575251439678,1.87384955682999e-07,0.000611699449331582,6.80791205880054,"GATB",43.81,11757,"DOWN"
"6","AD-CONTROL","ENSG00000128422",-0.52613070614359,-0.724321001930412,-0.327940410356769,2.32091172991891,-5.24690622489871,5.39125377280015e-07,0.00125708634399492,5.86054688179593,"KRT17",58.64,2537,"DOWN"
"7","AD-CONTROL","ENSG00000095596",-0.649381156674215,-0.89197616017509,-0.406786153173341,0.958901414362371,-5.29066020641652,4.41436640569265e-07,0.00120085480789526,5.76267814035851,"CYP26A1",53.01,2972,"DOWN"
"8","AD-CONTROL","ENSG00000135540",0.315333167279736,0.195757595174901,0.434908739384571,2.15337959117377,5.21217783246813,6.31369472136247e-07,0.00128815156552598,5.69175249371615,"NHSL1",40.97,8741,"UP"
"9","AD-CONTROL","ENSG00000099204",0.207895925485595,0.128478343500099,0.28731350747109,4.49620108778961,5.17393962958458,7.50726277088559e-07,0.0013614838105155,5.62309267925141,"ABLIM1",42.59,9871,"UP"
"10","AD-CONTROL","ENSG00000248455",-0.47833945574289,-0.665192907098925,-0.291486004386855,1.81092469804862,-5.0597274116209,1.25318109686797e-06,0.00204544218630789,5.00551857917425,"",40.42,979,"DOWN"
"11","AD-CONTROL","ENSG00000111863",-0.508932044048235,-0.710401482828678,-0.307462605267793,1.3636577123803,-4.99278263357837,1.68649103748124e-06,0.00229975371401295,4.65384526853085,"ADTRP",43.46,4150,"DOWN"
"12","AD-CONTROL","ENSG00000104321",-0.468470960079001,-0.653944590196336,-0.282997329961666,0.575129058538824,-4.99220650487643,1.69078817351767e-06,0.00229975371401295,4.53305204532809,"TRPA1",36.36,6377,"DOWN"
"13","AD-CONTROL","ENSG00000143198",-0.16331718143589,-0.229316294001377,-0.097318068870403,3.77188819006797,-4.89086662234424,2.63759681670355e-06,0.00283726840943254,4.45950022147028,"MGST3",43.51,8401,"DOWN"
"14","AD-CONTROL","ENSG00000274561",0.310665470534055,0.184992126059144,0.436338815008965,2.68896408903576,4.88586937592499,2.69566120883001e-06,0.00283726840943254,4.43056041280587,"",33.41,446,"UP"
"15","AD-CONTROL","ENSG00000257103",0.160135121387513,0.0952603702503362,0.22500987252469,3.78067969212055,4.87868668058376,2.78129485056492e-06,0.00283726840943254,4.41017521454947,"LSM14A",39.83,4748,"UP"
"16","AD-CONTROL","ENSG00000279281",0.39214655636213,0.234102523581157,0.550190589143104,1.61536051361094,4.90413415377566,2.48926027809246e-06,0.00283726840943254,4.34465011361747,"",45.42,2074,"UP"
"17","AD-CONTROL","ENSG00000128849",0.36821959803882,0.216855742576062,0.519583453501577,2.84448654763861,4.8081361567626,3.77537021257506e-06,0.00294827446615202,4.12967747629542,"CGNL1",43.81,8663,"UP"
"18","AD-CONTROL","ENSG00000165899",-0.458884364212896,-0.64640966091461,-0.271359067511182,1.72700253999673,-4.83654728454487,3.33938693887316e-06,0.00294827446615202,4.11878026390009,"OTOGL",36.03,8380,"DOWN"
"19","AD-CONTROL","ENSG00000134333",-0.241136120079645,-0.34032903931419,-0.1419432008451,4.64637271530945,-4.80478142993331,3.83035225432017e-06,0.00294827446615202,4.11790050909334,"LDHA",44.3,6210,"DOWN"
"20","AD-CONTROL","ENSG00000115267",0.342618780055218,0.202233617362125,0.483003942748311,1.70553239036961,4.82371892721871,3.52984125434689e-06,0.00294827446615202,4.06997387543817,"IFIH1",35.76,4528,"UP"
"21","AD-CONTROL","ENSG00000146386",-0.284691083864387,-0.402104092099442,-0.167278075629332,2.7033732303014,-4.79236281670798,4.04071448973453e-06,0.00294827446615202,4.06498748081526,"ABRACL",44.2,1200,"DOWN"
"22","AD-CONTROL","ENSG00000169271",-0.613197276762392,-0.865986404718591,-0.360408148806193,1.68321389905699,-4.79439558772245,4.00553124020957e-06,0.00294827446615202,3.9894771480356,"HSPB3",47.58,784,"DOWN"
"23","AD-CONTROL","ENSG00000114790",0.2635854855988,0.154401336094302,0.372769635103298,3.15921801044717,4.77148909736033,4.4197498393494e-06,0.00294827446615202,3.98557957129503,"ARHGEF26",38.97,5489,"UP"
"24","AD-CONTROL","ENSG00000111669",-0.264625094323538,-0.374161171668379,-0.155089016978697,6.29827394165144,-4.77491759496108,4.35521439764157e-06,0.00294827446615202,3.96351452563585,"TPI1",59.16,2700,"DOWN"
"25","AD-CONTROL","ENSG00000216863",-0.413163867649515,-0.584487408727259,-0.241840326571771,2.66492758267082,-4.76647512904963,4.51579841035415e-06,0.00294827446615202,3.9626278963917,"LY86-AS1",41.2,5603,"DOWN"
"26","AD-CONTROL","ENSG00000151320",-0.133866000742536,-0.190187081344493,-0.0775449201405788,4.21673342406816,-4.69776566577531,6.05384742428447e-06,0.00353759797958814,3.692692781375,"AKAP6",37.92,19748,"NONE"
"27","AD-CONTROL","ENSG00000163349",0.157344253833903,0.0910220174505489,0.223666490217258,4.17594700686369,4.68903812993865,6.28222447883233e-06,0.00353759797958814,3.65804026576846,"HIPK1",39.82,9280,"UP"
"28","AD-CONTROL","ENSG00000151500",-0.130651361127157,-0.185733202908637,-0.0755695193456773,4.27734393096836,-4.68810709813231,6.3070731506612e-06,0.00353759797958814,3.65519649339762,"THYN1",43.95,2119,"NONE"
"29","AD-CONTROL","ENSG00000213079",0.113442516072099,0.0654214677929866,0.161463564351211,4.03431838220968,4.66913308917722,6.83467350109737e-06,0.00353759797958814,3.57869107410386,"SCAF8",37.66,5481,"NONE"
"30","AD-CONTROL","ENSG00000006468",-0.269206385485384,-0.3836119406216,-0.154800830349168,2.67648867217755,-4.65082805372383,7.38394659238492e-06,0.00353759797958814,3.51485361409865,"ETV1",36.3,9616,"DOWN"
"31","AD-CONTROL","ENSG00000084676",0.148735315140006,0.0854470680256246,0.212023562254387,4.2589893329333,4.64497167475618,7.56851073864412e-06,0.00353759797958814,3.48771359540394,"NCOA1",37.1,8633,"UP"
"32","AD-CONTROL","ENSG00000101849",0.27319978488982,0.156845132426405,0.389554437353235,2.51300872311879,4.64075497591706,7.70415157849332e-06,0.00353759797958814,3.47070510573202,"TBL1X",45.23,7009,"UP"
"33","AD-CONTROL","ENSG00000150593",0.186187616721488,0.106860818824004,0.265514414618972,3.49283008492231,4.63898435818974,7.76180536163853e-06,0.00353759797958814,3.46220464328102,"PDCD4",34.69,4547,"UP"
"34","AD-CONTROL","ENSG00000146830",0.138498856951518,0.0794744244764221,0.197523289426615,3.67554032341183,4.63774011471018,7.80256875782213e-06,0.00353759797958814,3.45610927717417,"GIGYF1",62.01,6709,"UP"
"35","AD-CONTROL","ENSG00000147883",0.365104059016093,0.210650625674455,0.519557492357732,1.25536207669674,4.67208928641838,6.74975498193226e-06,0.00353759797958814,3.44451717841935,"CDKN2B",41.28,4058,"UP"
"36","AD-CONTROL","ENSG00000246363",-0.599740521016746,-0.854369890130761,-0.34511115190273,0.538693738563599,-4.65529211650748,7.24618956757307e-06,0.00353759797958814,3.32177945106453,"",36.48,2941,"DOWN"
"37","AD-CONTROL","ENSG00000137501",-0.322161878037041,-0.46057823894992,-0.183745517124162,4.13166038513196,-4.60022168122836,9.13359140073359e-06,0.00402914807683172,3.31197017786518,"SYTL2",40.22,11258,"DOWN"
"38","AD-CONTROL","ENSG00000183354",0.102792072717699,0.0580907824280338,0.147493363007365,3.87529012858794,4.54497609691405,1.14997534611564e-05,0.00445141739359886,3.09720324890268,"KIAA2026",37.58,7930,"NONE"
"39","AD-CONTROL","ENSG00000009413",0.135457642358449,0.0765137152693365,0.194401569447562,3.52490301529609,4.54209783715455,1.1638008710782e-05,0.00445141739359886,3.08852399481676,"REV3L",36.9,12425,"NONE"
"40","AD-CONTROL","ENSG00000137161",0.171361016324539,0.096662304488903,0.246059728160175,4.10584341019863,4.53409855567338,1.20307186013675e-05,0.00445141739359886,3.05804430852,"CNPY3",50.57,1712,"UP"
"41","AD-CONTROL","ENSG00000111961",0.240577215415794,0.135634424313058,0.345520006518529,3.98600441341444,4.53099854131297,1.2186317736789e-05,0.00445141739359886,3.04461717245154,"SASH1",43.29,11143,"UP"
"42","AD-CONTROL","ENSG00000183779",0.224492176281675,0.126553725650431,0.322430626912919,2.1486684477191,4.53043621345387,1.22147498166896e-05,0.00445141739359886,3.02808298247543,"ZNF703",65.89,3349,"UP"
"43","AD-CONTROL","ENSG00000171509",-0.42750564349697,-0.614366452150457,-0.240644834843482,2.9026923083752,-4.52184495864631,1.26571701556731e-05,0.00445141739359886,3.02178606955195,"RXFP1",37.72,5684,"DOWN"
"44","AD-CONTROL","ENSG00000259366",0.300367001934343,0.168992332969853,0.431741670898834,3.02743755094672,4.51889889152079,1.28124092590199e-05,0.00445141739359886,3.01002379394126,"",40.61,552,"UP"
"45","AD-CONTROL","ENSG00000119004",0.26261985377724,0.147826897920712,0.377412809633768,3.90262918701502,4.52172718091193,1.26633413502666e-05,0.00445141739359886,3.00929688679905,"CYP20A1",42.38,3079,"UP"
"46","AD-CONTROL","ENSG00000134283",-0.112556585913035,-0.161843335502936,-0.0632698363231333,2.57482001962711,-4.51370085588447,1.30907998341346e-05,0.00445141739359886,2.99144771195933,"PPHLN1",39.77,12155,"NONE"
"47","AD-CONTROL","ENSG00000146147",-0.37482412912963,-0.538877814426669,-0.210770443832591,3.24836960763052,-4.51578845656598,1.29783008935184e-05,0.00445141739359886,2.99117152233086,"MLIP",36.72,7293,"DOWN"
"48","AD-CONTROL","ENSG00000143933",-0.114835131227201,-0.165272004368852,-0.0643982580855503,6.27346196044243,-4.50006364237619,1.3849159241105e-05,0.00457179229342785,2.92749584397193,"CALM2",39.71,6466,"NONE"
"49","AD-CONTROL","ENSG00000180044",-0.481095747864619,-0.692751935424483,-0.269439560304756,3.11223285609832,-4.49254657834602,1.42851002919263e-05,0.00457179229342785,2.90773246063502,"C3orf80",50.7,2578,"DOWN"
"50","AD-CONTROL","ENSG00000173905",0.311862332189378,0.174705613093118,0.449019051285638,4.05623392919851,4.49404972815017,1.41968829944362e-05,0.00457179229342785,2.90651143302949,"GOLIM4",38.33,4647,"UP"
"51","AD-CONTROL","ENSG00000235531",-0.403125327798578,-0.579525795087902,-0.226724860509255,1.2136982014613,-4.51681593675508,1.29232736753367e-05,0.00445141739359886,2.88325322211766,"MSC-AS1",37.87,6284,"DOWN"
"52","AD-CONTROL","ENSG00000143727",-0.134149214247347,-0.193311986975406,-0.0749864415192882,4.00077934930999,-4.48158515595558,1.49445663978945e-05,0.00457846596606699,2.85659565337965,"ACP1",42.67,4160,"NONE"
"53","AD-CONTROL","ENSG00000175471",-0.214990086701503,-0.309828291996653,-0.120151881406353,3.38288672925553,-4.4805068667664,1.50110008676456e-05,0.00457846596606699,2.85488892023809,"MCTP1",37.29,12089,"DOWN"
"54","AD-CONTROL","ENSG00000101577",0.13287596743993,0.0740665464753927,0.191685388404468,4.10499502669427,4.46572088477953,1.59511765119706e-05,0.00457846596606699,2.7973007935481,"LPIN2",41.63,6800,"NONE"
"55","AD-CONTROL","ENSG00000131375",0.116246660443089,0.0647929267814747,0.167700394104702,3.4881454436655,4.46535128749907,1.59753892243443e-05,0.00457846596606699,2.79638796746259,"CAPN7",37.11,5598,"NONE"
"56","AD-CONTROL","ENSG00000125962",-0.256707832799039,-0.370448034320564,-0.142967631277513,2.34864116993797,-4.46084533891258,1.6273439661464e-05,0.00457846596606699,2.78553119305528,"ARMCX5",45.27,4911,"DOWN"
"57","AD-CONTROL","ENSG00000091436",0.263858484794952,0.147212265231879,0.380504704358025,1.84535047732281,4.47087404882758,1.56172468738842e-05,0.00457846596606699,2.77706520685412,"",38.91,13799,"UP"
