Gene.ID	ensembl_gene_id	position	hgnc_symbol	percentage_gc_content	gene.length
ENSG00000223972.5	ENSG00000223972	5	DDX11L1	57.5	1735
ENSG00000227232.5	ENSG00000227232	5	WASH7P	54.43	1351
ENSG00000278267.1	ENSG00000278267	1	MIR6859-1	61.76	68
ENSG00000243485.3	ENSG00000243485	3	MIR1302-2	48.84	1021
ENSG00000274890.1	ENSG00000274890	1	NA	NA	NA
ENSG00000237613.2	ENSG00000237613	2	FAM138A	50.26	1219
ENSG00000268020.3	ENSG00000268020	3	OR4G4P	37.74	840
ENSG00000240361.1	ENSG00000240361	1	OR4G11P	39.15	940
ENSG00000186092.4	ENSG00000186092	4	OR4F5	42.81	918
ENSG00000238009.6	ENSG00000238009	6		39.91	3726
ENSG00000239945.1	ENSG00000239945	1		48.75	1319
ENSG00000233750.3	ENSG00000233750	3	CICP27	59.71	3812
ENSG00000268903.1	ENSG00000268903	1		67.68	755
ENSG00000269981.1	ENSG00000269981	1		64.44	284
ENSG00000239906.1	ENSG00000239906	1		52.73	323
ENSG00000241860.6	ENSG00000241860	6		44.96	6195
ENSG00000222623.1	ENSG00000222623	1	RNU6-1100P	39.42	104
ENSG00000241599.1	ENSG00000241599	1		43.24	457
ENSG00000279928.1	ENSG00000279928	1		58.38	718
ENSG00000279457.3	ENSG00000279457	3		54.65	1982
ENSG00000273874.1	ENSG00000273874	1	MIR6859-2	61.76	68
ENSG00000275135.1	ENSG00000275135	1	NA	NA	NA
ENSG00000228463.9	ENSG00000228463	9		39.19	4039
ENSG00000241670.3	ENSG00000241670	3	RPL23AP21	50.77	457
ENSG00000236679.2	ENSG00000236679	2	RPL23AP24	50.39	385
ENSG00000236743.1	ENSG00000236743	1		49.41	676
ENSG00000236601.2	ENSG00000236601	2		47.65	1095
ENSG00000237094.11	ENSG00000237094	11		42.38	4792
ENSG00000269732.1	ENSG00000269732	1	WBP1LP7	50.96	363
ENSG00000278566.1	ENSG00000278566	1	OR4F29	46.01	939
ENSG00000224813.3	ENSG00000224813	3	SEPT14P13	40.44	183
ENSG00000233653.3	ENSG00000233653	3	CICP7	61.69	2477
ENSG00000250575.1	ENSG00000250575	1		66.19	1239
ENSG00000278757.1	ENSG00000278757	1		39.42	104
ENSG00000230021.8	ENSG00000230021	8		43.1	4479
ENSG00000235146.2	ENSG00000235146	2		48.56	635
ENSG00000225972.1	ENSG00000225972	1	MTND1P23	44.35	372
ENSG00000225630.1	ENSG00000225630	1	MTND2P28	43.1	1044
ENSG00000276171.1	ENSG00000276171	1	NA	NA	NA
ENSG00000237973.1	ENSG00000237973	1	MTCO1P12	45.76	1543
ENSG00000278791.1	ENSG00000278791	1	MIR6723	49.44	89
ENSG00000229344.1	ENSG00000229344	1	MTCO2P12	45.31	682
ENSG00000240409.1	ENSG00000240409	1	MTATP8P1	38.16	207
ENSG00000248527.1	ENSG00000248527	1	MTATP6P1	43.91	681
ENSG00000198744.5	ENSG00000198744	5	MTCO3P12	48.26	547
ENSG00000268663.1	ENSG00000268663	1	WBP1LP6	51.18	424
ENSG00000273547.1	ENSG00000273547	1	OR4F16	46.01	939
ENSG00000229376.3	ENSG00000229376	3	CICP3	61.45	2455
ENSG00000228327.3	ENSG00000228327	3		46.47	6432
ENSG00000223181.1	ENSG00000223181	1	RNU6-1199P	39.42	104
ENSG00000229905.1	ENSG00000229905	1		43.19	456
ENSG00000237491.8	ENSG00000237491	8		40.42	5517
ENSG00000230092.7	ENSG00000230092	7		39.72	872
ENSG00000177757.2	ENSG00000177757	2	FAM87B	48.52	1947
ENSG00000228794.8	ENSG00000228794	8	LINC01128	46.54	9470
ENSG00000225880.5	ENSG00000225880	5	LINC00115	52.7	1317
ENSG00000230368.2	ENSG00000230368	2	FAM41C	48.14	1971
ENSG00000234711.1	ENSG00000234711	1	TUBB8P11	55.39	1058
ENSG00000283040.1	ENSG00000283040	1		59.2	837
ENSG00000272438.1	ENSG00000272438	1		61.47	351
ENSG00000230699.2	ENSG00000230699	2		58.54	3043
ENSG00000241180.1	ENSG00000241180	1		58.93	443
ENSG00000223764.2	ENSG00000223764	2		61.68	4152
ENSG00000187634.10	ENSG00000187634	10	SAMD11	66.58	4166
ENSG00000188976.10	ENSG00000188976	10	NOC2L	59.55	5539
ENSG00000187961.13	ENSG00000187961	13	KLHL17	67.87	3395
ENSG00000277294.1	ENSG00000277294	1	NA	NA	NA
ENSG00000187583.10	ENSG00000187583	10	PLEKHN1	62.65	2833
ENSG00000187642.9	ENSG00000187642	9	PERM1	67.76	3424
ENSG00000272512.1	ENSG00000272512	1		66.16	2086
ENSG00000188290.10	ENSG00000188290	10	HES4	74.32	1118
ENSG00000187608.8	ENSG00000187608	8	ISG15	56.43	942
ENSG00000231702.2	ENSG00000231702	2		44.81	154
ENSG00000224969.1	ENSG00000224969	1		44.7	471
ENSG00000188157.13	ENSG00000188157	13	AGRN	65.71	10758
ENSG00000242590.1	ENSG00000242590	1		62.27	402
ENSG00000217801.9	ENSG00000217801	9		64.27	2171
ENSG00000273443.1	ENSG00000273443	1		65.12	829
ENSG00000237330.2	ENSG00000237330	2	RNF223	65.44	1902
ENSG00000131591.17	ENSG00000131591	17	C1orf159	54.65	6322
ENSG00000223823.1	ENSG00000223823	1	LINC01342	65	1620
ENSG00000207730.2	ENSG00000207730	2	MIR200B	60	95
ENSG00000207607.2	ENSG00000207607	2	MIR200A	55.56	90
ENSG00000198976.1	ENSG00000198976	1	MIR429	57.83	83
ENSG00000272141.1	ENSG00000272141	1		65.75	987
ENSG00000205231.1	ENSG00000205231	1	TTLL10-AS1	61.03	3532
ENSG00000162571.13	ENSG00000162571	13	TTLL10	54.75	3943
ENSG00000186891.13	ENSG00000186891	13	TNFRSF18	67.46	1370
ENSG00000186827.10	ENSG00000186827	10	TNFRSF4	70.39	1721
ENSG00000078808.16	ENSG00000078808	16	SDF4	61.35	4709
ENSG00000176022.4	ENSG00000176022	4	B3GALT6	64.03	2777
ENSG00000184163.3	ENSG00000184163	3	FAM132A	69.35	1794
ENSG00000260179.1	ENSG00000260179	1		55.71	1558
ENSG00000160087.20	ENSG00000160087	20	UBE2J2	56.33	4712
ENSG00000230415.1	ENSG00000230415	1		50.06	513
ENSG00000162572.19	ENSG00000162572	19	SCNN1D	65.93	4025
ENSG00000131584.18	ENSG00000131584	18	ACAP3	67.3	8809
ENSG00000278073.1	ENSG00000278073	1	MIR6726	70.49	61
ENSG00000169972.11	ENSG00000169972	11	PUSL1	66.76	2489
ENSG00000127054.18	ENSG00000127054	18	CPSF3L	60.46	8220
ENSG00000274153.1	ENSG00000274153	1	NA	NA	NA
ENSG00000240731.1	ENSG00000240731	1		47.97	386
ENSG00000224051.6	ENSG00000224051	6	CPTP	65.26	2556
ENSG00000169962.4	ENSG00000169962	4	TAS1R3	66.74	3433
ENSG00000107404.17	ENSG00000107404	17	DVL1	66.25	3814
ENSG00000275884.1	ENSG00000275884	1	NA	NA	NA
ENSG00000162576.16	ENSG00000162576	16	MXRA8	65.3	3622
ENSG00000175756.13	ENSG00000175756	13	AURKAIP1	66.87	1669
ENSG00000223663.2	ENSG00000223663	2	NDUFB4P8	48.77	367
ENSG00000221978.11	ENSG00000221978	11	CCNL2	51.37	6850
ENSG00000224870.6	ENSG00000224870	6		59.37	2525
ENSG00000242485.5	ENSG00000242485	5	MRPL20	53.09	2788
ENSG00000264293.2	ENSG00000264293	2	RN7SL657P	54.61	293
ENSG00000272455.1	ENSG00000272455	1		49.44	1523
ENSG00000235098.8	ENSG00000235098	8	ANKRD65	66.51	2644
ENSG00000225905.1	ENSG00000225905	1		66.57	543
ENSG00000205116.3	ENSG00000205116	3	TMEM88B	70.6	492
ENSG00000225285.1	ENSG00000225285	1		66.84	851
ENSG00000179403.11	ENSG00000179403	11	VWA1	66.36	5065
ENSG00000215915.9	ENSG00000215915	9	ATAD3C	56.98	3976
ENSG00000160072.19	ENSG00000160072	19	ATAD3B	58.83	7682
ENSG00000197785.13	ENSG00000197785	13	ATAD3A	59.87	3069
ENSG00000205090.8	ENSG00000205090	8	TMEM240	66.02	1380
ENSG00000160075.11	ENSG00000160075	11	SSU72	53.87	6925
ENSG00000215014.4	ENSG00000215014	4		48.88	2101
ENSG00000279244.1	ENSG00000279244	1		49.48	276
ENSG00000274481.1	ENSG00000274481	1		63.75	400
ENSG00000280747.1	ENSG00000280747	1	NA	NA	NA
ENSG00000228594.3	ENSG00000228594	3	FNDC10	70.31	2085
ENSG00000272106.1	ENSG00000272106	1		57.36	2038
ENSG00000197530.12	ENSG00000197530	12	MIB2	66.41	8767
ENSG00000189409.12	ENSG00000189409	12	MMP23B	70.43	2273
ENSG00000248333.8	ENSG00000248333	8	CDK11B	51.91	3488
ENSG00000272004.1	ENSG00000272004	1		49.3	400
ENSG00000189339.11	ENSG00000189339	11	SLC35E2B	53.52	8395
ENSG00000269737.1	ENSG00000269737	1		51.62	1819
ENSG00000269227.1	ENSG00000269227	1	NA	NA	NA
ENSG00000215914.4	ENSG00000215914	4	MMP23A	72.13	1017
ENSG00000008128.22	ENSG00000008128	22	CDK11A	51.99	4701
ENSG00000268575.1	ENSG00000268575	1		51.55	5079
ENSG00000227775.3	ENSG00000227775	3		50.91	2759
ENSG00000215790.6	ENSG00000215790	6	SLC35E2	52.17	3264
ENSG00000008130.15	ENSG00000008130	15	NADK	53.7	5570
ENSG00000078369.17	ENSG00000078369	17	GNB1	46.7	6417
ENSG00000231050.1	ENSG00000231050	1		65.32	906
ENSG00000169885.9	ENSG00000169885	9	CALML6	63.04	2321
ENSG00000178821.12	ENSG00000178821	12	TMEM52	67.46	1594
ENSG00000142609.17	ENSG00000142609	17	CFAP74	55.65	10422
ENSG00000233542.1	ENSG00000233542	1		51.68	1954
ENSG00000187730.7	ENSG00000187730	7	GABRD	62.53	1928
ENSG00000226969.1	ENSG00000226969	1		64.4	538
ENSG00000067606.15	ENSG00000067606	15	PRKCZ	56.44	7636
ENSG00000271806.1	ENSG00000271806	1		55.74	4196
ENSG00000182873.5	ENSG00000182873	5		57.78	1734
ENSG00000162585.16	ENSG00000162585	16	FAAP20	60.96	10916
ENSG00000234396.3	ENSG00000234396	3		57.52	326
ENSG00000277082.1	ENSG00000277082	1	NA	NA	NA
ENSG00000157933.9	ENSG00000157933	9	SKI	57.48	6080
ENSG00000116151.13	ENSG00000116151	13	MORN1	57.29	11337
ENSG00000272161.1	ENSG00000272161	1		62.07	493
ENSG00000269896.2	ENSG00000269896	2		57.62	2407
ENSG00000272420.1	ENSG00000272420	1		36.09	568
ENSG00000157916.18	ENSG00000157916	18	RER1	53.95	5691
ENSG00000157911.9	ENSG00000157911	9	PEX10	61.52	3789
ENSG00000149527.17	ENSG00000149527	17	PLCH2	64.62	10781
ENSG00000224387.1	ENSG00000224387	1		64.55	455
ENSG00000229393.1	ENSG00000229393	1		64.91	514
ENSG00000157881.13	ENSG00000157881	13	PANK4	60.69	5107
ENSG00000197921.5	ENSG00000197921	5	HES5	68.29	1306
ENSG00000272449.1	ENSG00000272449	1		69.48	996
ENSG00000238164.6	ENSG00000238164	6		62.87	6137
ENSG00000157873.17	ENSG00000157873	17	TNFRSF14	64.06	6219
ENSG00000225931.3	ENSG00000225931	3		64.01	1297
ENSG00000228037.1	ENSG00000228037	1		51.11	626
ENSG00000157870.14	ENSG00000157870	14	FAM213B	64.59	3371
ENSG00000142606.15	ENSG00000142606	15	MMEL1	54.94	3844
ENSG00000237058.1	ENSG00000237058	1		59.71	373
ENSG00000215912.11	ENSG00000215912	11	TTC34	59.48	8814
ENSG00000233234.1	ENSG00000233234	1		51.84	607
ENSG00000231630.1	ENSG00000231630	1		60.32	429
ENSG00000169717.6	ENSG00000169717	6	ACTRT2	61.51	1421
ENSG00000177133.10	ENSG00000177133	10	LINC00982	61.79	5600
ENSG00000142611.16	ENSG00000142611	16	PRDM16	57.58	9767
ENSG00000226286.1	ENSG00000226286	1		58.24	469
ENSG00000279839.1	ENSG00000279839	1		59.06	2677
ENSG00000272235.1	ENSG00000272235	1		54.23	3461
ENSG00000130762.14	ENSG00000130762	14	ARHGEF16	63.08	5563
ENSG00000272088.1	ENSG00000272088	1		40.31	382
ENSG00000162591.15	ENSG00000162591	15	MEGF6	62.62	7039
ENSG00000207776.1	ENSG00000207776	1	MIR551A	61.46	96
ENSG00000238260.1	ENSG00000238260	1		61.65	622
ENSG00000158109.14	ENSG00000158109	14	TPRG1L	52.22	2414
ENSG00000116213.15	ENSG00000116213	15	WRAP73	55.25	7604
ENSG00000078900.14	ENSG00000078900	14	TP73	59.52	6763
ENSG00000227589.1	ENSG00000227589	1		48.83	754
ENSG00000235131.1	ENSG00000235131	1		59.84	351
ENSG00000227372.10	ENSG00000227372	10	TP73-AS1	54.46	7209
ENSG00000276189.1	ENSG00000276189	1		57.76	161
ENSG00000162592.8	ENSG00000162592	8	CCDC27	53.23	4285
ENSG00000235169.7	ENSG00000235169	7	SMIM1	64.91	954
ENSG00000130764.9	ENSG00000130764	9	LRRC47	54.71	4516
ENSG00000266075.2	ENSG00000266075	2	RN7SL574P	58.59	297
ENSG00000272153.1	ENSG00000272153	1		53.86	531
ENSG00000116198.12	ENSG00000116198	12	CEP104	47.92	7876
ENSG00000169598.15	ENSG00000169598	15	DFFB	51.66	3870
ENSG00000198912.10	ENSG00000198912	10	C1orf174	49.32	4388
